"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","6123","36"
"Hispanic/Latino","American Indian/Alaska Native","306","2"
"Hispanic/Latino","Asian","615","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","398","4"
"Hispanic/Latino","Other","48488","453"
"Hispanic/Latino","Unknown","24941","14"
"Hispanic/Latino","White","66438","831"
"Non-Hispanic/Latino","African-American/Black","382410","8826"
"Non-Hispanic/Latino","American Indian/Alaska Native","743","23"
"Non-Hispanic/Latino","Asian","27660","442"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1031","16"
"Non-Hispanic/Latino","Other","22844","98"
"Non-Hispanic/Latino","Unknown","9833","12"
"Non-Hispanic/Latino","White","537186","15471"
"Unknown","African-American/Black","29402","15"
"Unknown","American Indian/Alaska Native","233","0"
"Unknown","Asian","5136","2"
"Unknown","Native Hawaiian/Pacific Islander","244","0"
"Unknown","Other","28665","12"
"Unknown","Unknown","149536","74"
"Unknown","White","42374","24"
