"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","25424","3","395"
"05-09 years","Georgia","48099","5","354"
"10-17 years","Georgia","132641","15","1324"
"18-29 years","Georgia","302078","228","6680"
"30-39 years","Georgia","231075","599","8537"
"40-49 years","Georgia","211012","1344","11634"
"50-59 years","Georgia","189164","3136","16759"
"60-69 years","Georgia","125390","5581","18727"
"70-79 years","Georgia","70557","7139","16877"
"80 & Older years","Georgia","38284","8307","12313"
"<1 years","Georgia","8004","1","475"
"Unknown years","Georgia","2878","0","175"
"01-04 years","Appling","56","0","0"
"05-09 years","Appling","93","0","0"
"10-17 years","Appling","341","0","3"
"18-29 years","Appling","502","1","8"
"30-39 years","Appling","374","3","10"
"40-49 years","Appling","378","9","27"
"50-59 years","Appling","402","11","44"
"60-69 years","Appling","335","21","67"
"70-79 years","Appling","222","25","46"
"80 & Older years","Appling","114","28","41"
"<1 years","Appling","9","0","0"
"01-04 years","Atkinson","21","0","1"
"05-09 years","Atkinson","46","0","1"
"10-17 years","Atkinson","118","0","1"
"18-29 years","Atkinson","250","0","15"
"30-39 years","Atkinson","186","0","15"
"40-49 years","Atkinson","189","4","34"
"50-59 years","Atkinson","184","5","37"
"60-69 years","Atkinson","122","7","40"
"70-79 years","Atkinson","62","8","25"
"80 & Older years","Atkinson","21","8","14"
"<1 years","Atkinson","4","0","0"
"01-04 years","Bacon","40","0","0"
"05-09 years","Bacon","56","0","0"
"10-17 years","Bacon","171","0","1"
"18-29 years","Bacon","521","0","9"
"30-39 years","Bacon","286","1","10"
"40-49 years","Bacon","295","5","22"
"50-59 years","Bacon","224","3","22"
"60-69 years","Bacon","207","17","47"
"70-79 years","Bacon","126","13","36"
"80 & Older years","Bacon","57","13","20"
"<1 years","Bacon","13","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","10","0","0"
"05-09 years","Baker","13","0","0"
"10-17 years","Baker","15","0","0"
"18-29 years","Baker","44","0","0"
"30-39 years","Baker","28","0","4"
"40-49 years","Baker","27","3","3"
"50-59 years","Baker","34","0","4"
"60-69 years","Baker","39","3","16"
"70-79 years","Baker","20","3","11"
"80 & Older years","Baker","15","4","6"
"<1 years","Baker","2","0","0"
"01-04 years","Baldwin","68","0","1"
"05-09 years","Baldwin","145","0","0"
"10-17 years","Baldwin","410","1","5"
"18-29 years","Baldwin","1623","0","20"
"30-39 years","Baldwin","707","2","20"
"40-49 years","Baldwin","695","5","43"
"50-59 years","Baldwin","671","22","77"
"60-69 years","Baldwin","521","40","90"
"70-79 years","Baldwin","316","43","69"
"80 & Older years","Baldwin","197","61","74"
"<1 years","Baldwin","29","0","1"
"Unknown years","Baldwin","1","0","0"
"01-04 years","Banks","28","0","1"
"05-09 years","Banks","61","0","1"
"10-17 years","Banks","200","0","5"
"18-29 years","Banks","481","0","19"
"30-39 years","Banks","363","0","18"
"40-49 years","Banks","376","5","29"
"50-59 years","Banks","382","6","40"
"60-69 years","Banks","309","15","68"
"70-79 years","Banks","222","23","76"
"80 & Older years","Banks","102","15","35"
"<1 years","Banks","16","0","2"
"Unknown years","Banks","15","0","1"
"01-04 years","Barrow","218","0","1"
"05-09 years","Barrow","455","0","2"
"10-17 years","Barrow","1424","1","13"
"18-29 years","Barrow","2752","1","60"
"30-39 years","Barrow","2451","3","83"
"40-49 years","Barrow","2372","12","120"
"50-59 years","Barrow","1974","19","171"
"60-69 years","Barrow","1298","48","194"
"70-79 years","Barrow","719","53","138"
"80 & Older years","Barrow","318","61","115"
"<1 years","Barrow","78","0","7"
"Unknown years","Barrow","11","0","2"
"01-04 years","Bartow","277","0","8"
"05-09 years","Bartow","454","0","4"
"10-17 years","Bartow","1563","0","16"
"18-29 years","Bartow","3164","0","37"
"30-39 years","Bartow","2582","6","63"
"40-49 years","Bartow","2580","8","118"
"50-59 years","Bartow","2571","35","214"
"60-69 years","Bartow","1645","78","218"
"70-79 years","Bartow","1093","108","244"
"80 & Older years","Bartow","510","94","148"
"<1 years","Bartow","99","0","6"
"Unknown years","Bartow","32","0","4"
"01-04 years","Ben Hill","39","0","1"
"05-09 years","Ben Hill","31","0","0"
"10-17 years","Ben Hill","149","0","0"
"18-29 years","Ben Hill","366","0","5"
"30-39 years","Ben Hill","271","3","12"
"40-49 years","Ben Hill","261","2","14"
"50-59 years","Ben Hill","278","8","34"
"60-69 years","Ben Hill","240","17","36"
"70-79 years","Ben Hill","161","22","56"
"80 & Older years","Ben Hill","77","20","21"
"<1 years","Ben Hill","11","0","2"
"01-04 years","Berrien","40","0","0"
"05-09 years","Berrien","44","0","0"
"10-17 years","Berrien","148","0","1"
"18-29 years","Berrien","295","0","0"
"30-39 years","Berrien","255","0","4"
"40-49 years","Berrien","201","1","7"
"50-59 years","Berrien","221","6","22"
"60-69 years","Berrien","175","11","26"
"70-79 years","Berrien","122","18","22"
"80 & Older years","Berrien","61","15","15"
"<1 years","Berrien","10","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","322","0","6"
"05-09 years","Bibb","574","0","3"
"10-17 years","Bibb","1637","0","14"
"18-29 years","Bibb","4816","4","131"
"30-39 years","Bibb","3547","11","186"
"40-49 years","Bibb","3207","28","307"
"50-59 years","Bibb","2877","61","415"
"60-69 years","Bibb","2186","134","544"
"70-79 years","Bibb","1231","166","456"
"80 & Older years","Bibb","731","194","367"
"<1 years","Bibb","94","0","8"
"Unknown years","Bibb","3","0","1"
"01-04 years","Bleckley","14","0","0"
"05-09 years","Bleckley","37","0","0"
"10-17 years","Bleckley","116","0","0"
"18-29 years","Bleckley","259","0","6"
"30-39 years","Bleckley","152","1","5"
"40-49 years","Bleckley","141","1","2"
"50-59 years","Bleckley","148","4","9"
"60-69 years","Bleckley","107","9","15"
"70-79 years","Bleckley","75","8","14"
"80 & Older years","Bleckley","62","18","13"
"<1 years","Bleckley","8","0","0"
"01-04 years","Brantley","34","0","0"
"05-09 years","Brantley","66","0","0"
"10-17 years","Brantley","209","0","1"
"18-29 years","Brantley","349","0","5"
"30-39 years","Brantley","280","2","8"
"40-49 years","Brantley","263","5","20"
"50-59 years","Brantley","303","17","33"
"60-69 years","Brantley","209","15","37"
"70-79 years","Brantley","141","24","44"
"80 & Older years","Brantley","61","13","17"
"<1 years","Brantley","5","0","0"
"01-04 years","Brooks","29","0","1"
"05-09 years","Brooks","49","0","0"
"10-17 years","Brooks","122","0","0"
"18-29 years","Brooks","263","0","4"
"30-39 years","Brooks","200","1","10"
"40-49 years","Brooks","190","2","15"
"50-59 years","Brooks","223","6","30"
"60-69 years","Brooks","141","12","28"
"70-79 years","Brooks","116","16","26"
"80 & Older years","Brooks","75","19","22"
"<1 years","Brooks","11","0","0"
"01-04 years","Bryan","126","0","0"
"05-09 years","Bryan","230","0","2"
"10-17 years","Bryan","605","0","4"
"18-29 years","Bryan","876","1","20"
"30-39 years","Bryan","822","4","29"
"40-49 years","Bryan","820","5","49"
"50-59 years","Bryan","560","8","52"
"60-69 years","Bryan","376","18","61"
"70-79 years","Bryan","224","19","86"
"80 & Older years","Bryan","80","10","31"
"<1 years","Bryan","49","0","3"
"Unknown years","Bryan","7","0","0"
"01-04 years","Bulloch","158","0","1"
"05-09 years","Bulloch","314","0","1"
"10-17 years","Bulloch","880","0","4"
"18-29 years","Bulloch","3062","1","15"
"30-39 years","Bulloch","1098","5","30"
"40-49 years","Bulloch","882","7","37"
"50-59 years","Bulloch","758","18","61"
"60-69 years","Bulloch","540","24","71"
"70-79 years","Bulloch","261","26","60"
"80 & Older years","Bulloch","127","19","43"
"<1 years","Bulloch","68","0","4"
"01-04 years","Burke","34","0","0"
"05-09 years","Burke","73","0","0"
"10-17 years","Burke","200","0","1"
"18-29 years","Burke","475","2","12"
"30-39 years","Burke","375","1","16"
"40-49 years","Burke","380","4","23"
"50-59 years","Burke","346","6","39"
"60-69 years","Burke","274","8","49"
"70-79 years","Burke","138","16","41"
"80 & Older years","Burke","47","11","19"
"<1 years","Burke","14","0","0"
"Unknown years","Burke","2","0","0"
"01-04 years","Butts","53","0","3"
"05-09 years","Butts","81","0","0"
"10-17 years","Butts","273","0","5"
"18-29 years","Butts","681","0","9"
"30-39 years","Butts","614","0","11"
"40-49 years","Butts","549","5","26"
"50-59 years","Butts","556","17","47"
"60-69 years","Butts","374","19","49"
"70-79 years","Butts","262","34","46"
"80 & Older years","Butts","150","39","14"
"<1 years","Butts","19","0","3"
"01-04 years","Calhoun","16","0","0"
"05-09 years","Calhoun","13","0","0"
"10-17 years","Calhoun","62","0","1"
"18-29 years","Calhoun","96","0","6"
"30-39 years","Calhoun","81","3","7"
"40-49 years","Calhoun","97","1","11"
"50-59 years","Calhoun","103","4","21"
"60-69 years","Calhoun","88","4","24"
"70-79 years","Calhoun","34","7","11"
"80 & Older years","Calhoun","22","2","10"
"<1 years","Calhoun","5","0","0"
"Unknown years","Calhoun","1","0","0"
"01-04 years","Camden","136","0","0"
"05-09 years","Camden","249","0","2"
"10-17 years","Camden","638","0","1"
"18-29 years","Camden","1390","0","11"
"30-39 years","Camden","1125","3","26"
"40-49 years","Camden","790","10","29"
"50-59 years","Camden","830","12","38"
"60-69 years","Camden","568","22","52"
"70-79 years","Camden","322","13","35"
"80 & Older years","Camden","130","22","29"
"<1 years","Camden","24","0","2"
"Unknown years","Camden","8","0","0"
"01-04 years","Candler","15","0","0"
"05-09 years","Candler","40","0","0"
"10-17 years","Candler","105","0","0"
"18-29 years","Candler","190","0","1"
"30-39 years","Candler","156","0","6"
"40-49 years","Candler","169","5","4"
"50-59 years","Candler","187","13","20"
"60-69 years","Candler","131","9","20"
"70-79 years","Candler","95","15","23"
"80 & Older years","Candler","35","8","15"
"<1 years","Candler","6","0","0"
"01-04 years","Carroll","183","0","1"
"05-09 years","Carroll","321","0","3"
"10-17 years","Carroll","1084","0","6"
"18-29 years","Carroll","2503","1","19"
"30-39 years","Carroll","1703","4","25"
"40-49 years","Carroll","1572","10","47"
"50-59 years","Carroll","1492","17","66"
"60-69 years","Carroll","1043","33","101"
"70-79 years","Carroll","576","39","78"
"80 & Older years","Carroll","321","58","49"
"<1 years","Carroll","55","0","2"
"Unknown years","Carroll","12","0","1"
"01-04 years","Catoosa","183","0","1"
"05-09 years","Catoosa","323","0","2"
"10-17 years","Catoosa","937","0","2"
"18-29 years","Catoosa","1675","1","13"
"30-39 years","Catoosa","1333","2","14"
"40-49 years","Catoosa","1415","3","32"
"50-59 years","Catoosa","1257","11","54"
"60-69 years","Catoosa","854","13","75"
"70-79 years","Catoosa","519","26","78"
"80 & Older years","Catoosa","346","42","61"
"<1 years","Catoosa","68","0","1"
"Unknown years","Catoosa","40","0","2"
"01-04 years","Charlton","21","0","0"
"05-09 years","Charlton","45","0","0"
"10-17 years","Charlton","99","0","0"
"18-29 years","Charlton","415","1","3"
"30-39 years","Charlton","347","2","6"
"40-49 years","Charlton","282","3","14"
"50-59 years","Charlton","209","5","13"
"60-69 years","Charlton","200","12","33"
"70-79 years","Charlton","92","11","25"
"80 & Older years","Charlton","40","10","18"
"<1 years","Charlton","7","0","0"
"Unknown years","Charlton","1","0","0"
"01-04 years","Chatham","1013","0","6"
"05-09 years","Chatham","1565","1","5"
"10-17 years","Chatham","3293","0","32"
"18-29 years","Chatham","8212","6","158"
"30-39 years","Chatham","6164","24","251"
"40-49 years","Chatham","4606","42","309"
"50-59 years","Chatham","3893","86","442"
"60-69 years","Chatham","3002","143","574"
"70-79 years","Chatham","1590","173","512"
"80 & Older years","Chatham","928","208","423"
"<1 years","Chatham","351","0","15"
"Unknown years","Chatham","25","0","2"
"01-04 years","Chattahoochee","13","0","0"
"05-09 years","Chattahoochee","30","0","0"
"10-17 years","Chattahoochee","192","0","2"
"18-29 years","Chattahoochee","4650","7","9"
"30-39 years","Chattahoochee","440","2","5"
"40-49 years","Chattahoochee","80","1","1"
"50-59 years","Chattahoochee","47","1","10"
"60-69 years","Chattahoochee","22","1","6"
"70-79 years","Chattahoochee","16","1","5"
"80 & Older years","Chattahoochee","9","3","5"
"<1 years","Chattahoochee","12","0","0"
"Unknown years","Chattahoochee","1","0","0"
"01-04 years","Chattooga","64","0","0"
"05-09 years","Chattooga","118","0","1"
"10-17 years","Chattooga","425","0","3"
"18-29 years","Chattooga","665","0","8"
"30-39 years","Chattooga","572","2","11"
"40-49 years","Chattooga","575","4","28"
"50-59 years","Chattooga","560","10","45"
"60-69 years","Chattooga","425","23","60"
"70-79 years","Chattooga","260","22","68"
"80 & Older years","Chattooga","152","31","39"
"<1 years","Chattooga","28","0","3"
"Unknown years","Chattooga","9","0","1"
"01-04 years","Cherokee","511","0","8"
"05-09 years","Cherokee","1250","0","12"
"10-17 years","Cherokee","3943","0","23"
"18-29 years","Cherokee","6426","2","127"
"30-39 years","Cherokee","5028","8","183"
"40-49 years","Cherokee","5530","13","243"
"50-59 years","Cherokee","5155","43","379"
"60-69 years","Cherokee","3133","83","404"
"70-79 years","Cherokee","1944","126","390"
"80 & Older years","Cherokee","1049","189","324"
"<1 years","Cherokee","141","0","7"
"Unknown years","Cherokee","15","0","0"
"01-04 years","Clarke","335","0","4"
"05-09 years","Clarke","543","0","7"
"10-17 years","Clarke","1205","0","16"
"18-29 years","Clarke","8453","0","105"
"30-39 years","Clarke","2514","3","88"
"40-49 years","Clarke","1968","6","105"
"50-59 years","Clarke","1653","17","137"
"60-69 years","Clarke","1080","35","147"
"70-79 years","Clarke","638","60","153"
"80 & Older years","Clarke","320","60","100"
"<1 years","Clarke","112","0","4"
"Unknown years","Clarke","10","0","0"
"01-04 years","Clay","3","0","0"
"05-09 years","Clay","5","0","0"
"10-17 years","Clay","23","0","0"
"18-29 years","Clay","39","0","0"
"30-39 years","Clay","40","0","2"
"40-49 years","Clay","41","0","2"
"50-59 years","Clay","25","1","3"
"60-69 years","Clay","27","1","2"
"70-79 years","Clay","21","0","1"
"80 & Older years","Clay","14","2","4"
"Unknown years","Clay","1","0","0"
"01-04 years","Clayton","970","0","16"
"05-09 years","Clayton","1706","1","13"
"10-17 years","Clayton","4152","1","67"
"18-29 years","Clayton","8385","9","244"
"30-39 years","Clayton","7660","35","354"
"40-49 years","Clayton","6373","55","372"
"50-59 years","Clayton","5442","111","494"
"60-69 years","Clayton","3329","194","456"
"70-79 years","Clayton","1362","182","299"
"80 & Older years","Clayton","629","159","181"
"<1 years","Clayton","240","0","17"
"Unknown years","Clayton","37","0","8"
"01-04 years","Clinch","23","0","0"
"05-09 years","Clinch","37","0","0"
"10-17 years","Clinch","101","0","0"
"18-29 years","Clinch","193","0","2"
"30-39 years","Clinch","157","1","5"
"40-49 years","Clinch","138","0","4"
"50-59 years","Clinch","141","3","19"
"60-69 years","Clinch","141","12","24"
"70-79 years","Clinch","68","10","23"
"80 & Older years","Clinch","23","8","10"
"<1 years","Clinch","7","0","0"
"01-04 years","Cobb","1695","1","27"
"05-09 years","Cobb","3850","0","29"
"10-17 years","Cobb","9676","0","73"
"18-29 years","Cobb","22666","9","320"
"30-39 years","Cobb","16528","36","376"
"40-49 years","Cobb","15281","61","576"
"50-59 years","Cobb","12961","127","791"
"60-69 years","Cobb","7762","238","782"
"70-79 years","Cobb","4128","366","728"
"80 & Older years","Cobb","2299","508","659"
"<1 years","Cobb","481","0","27"
"Unknown years","Cobb","71","0","1"
"01-04 years","Coffee","146","0","2"
"05-09 years","Coffee","231","0","3"
"10-17 years","Coffee","567","0","6"
"18-29 years","Coffee","1298","1","40"
"30-39 years","Coffee","1012","6","66"
"40-49 years","Coffee","977","16","140"
"50-59 years","Coffee","923","24","196"
"60-69 years","Coffee","691","51","194"
"70-79 years","Coffee","356","53","161"
"80 & Older years","Coffee","188","46","105"
"<1 years","Coffee","42","0","4"
"01-04 years","Colquitt","87","0","0"
"05-09 years","Colquitt","211","0","2"
"10-17 years","Colquitt","683","0","12"
"18-29 years","Colquitt","1133","1","31"
"30-39 years","Colquitt","847","3","34"
"40-49 years","Colquitt","845","8","49"
"50-59 years","Colquitt","770","24","53"
"60-69 years","Colquitt","541","32","65"
"70-79 years","Colquitt","353","31","67"
"80 & Older years","Colquitt","188","37","43"
"<1 years","Colquitt","37","0","2"
"Unknown years","Colquitt","1","0","0"
"01-04 years","Columbia","247","1","3"
"05-09 years","Columbia","572","1","6"
"10-17 years","Columbia","1714","0","9"
"18-29 years","Columbia","3028","2","37"
"30-39 years","Columbia","2836","6","51"
"40-49 years","Columbia","2440","16","75"
"50-59 years","Columbia","1997","36","114"
"60-69 years","Columbia","1304","45","128"
"70-79 years","Columbia","679","66","148"
"80 & Older years","Columbia","400","87","137"
"<1 years","Columbia","72","0","4"
"Unknown years","Columbia","9","0","0"
"01-04 years","Cook","35","0","3"
"05-09 years","Cook","63","0","0"
"10-17 years","Cook","161","0","2"
"18-29 years","Cook","312","0","8"
"30-39 years","Cook","257","0","4"
"40-49 years","Cook","260","3","19"
"50-59 years","Cook","228","7","23"
"60-69 years","Cook","163","11","23"
"70-79 years","Cook","121","13","30"
"80 & Older years","Cook","74","19","16"
"<1 years","Cook","17","0","2"
"Unknown years","Cook","1","0","0"
"01-04 years","Coweta","279","0","3"
"05-09 years","Coweta","492","0","2"
"10-17 years","Coweta","1563","0","18"
"18-29 years","Coweta","2764","5","72"
"30-39 years","Coweta","2223","11","115"
"40-49 years","Coweta","2317","28","137"
"50-59 years","Coweta","2448","49","199"
"60-69 years","Coweta","1469","65","171"
"70-79 years","Coweta","890","98","175"
"80 & Older years","Coweta","456","101","103"
"<1 years","Coweta","72","0","5"
"Unknown years","Coweta","14","0","1"
"01-04 years","Crawford","6","0","0"
"05-09 years","Crawford","10","0","0"
"10-17 years","Crawford","51","0","2"
"18-29 years","Crawford","138","0","4"
"30-39 years","Crawford","141","1","11"
"40-49 years","Crawford","99","3","8"
"50-59 years","Crawford","166","9","25"
"60-69 years","Crawford","142","12","24"
"70-79 years","Crawford","71","12","23"
"80 & Older years","Crawford","32","3","15"
"01-04 years","Crisp","30","0","0"
"05-09 years","Crisp","53","0","0"
"10-17 years","Crisp","199","0","3"
"18-29 years","Crisp","319","0","13"
"30-39 years","Crisp","310","2","19"
"40-49 years","Crisp","269","4","23"
"50-59 years","Crisp","249","4","31"
"60-69 years","Crisp","232","20","48"
"70-79 years","Crisp","124","16","35"
"80 & Older years","Crisp","75","20","18"
"<1 years","Crisp","17","0","0"
"Unknown years","Crisp","9","0","0"
"01-04 years","Dade","40","0","0"
"05-09 years","Dade","85","0","0"
"10-17 years","Dade","218","0","1"
"18-29 years","Dade","381","0","2"
"30-39 years","Dade","258","0","2"
"40-49 years","Dade","292","1","9"
"50-59 years","Dade","252","3","16"
"60-69 years","Dade","206","2","13"
"70-79 years","Dade","135","10","22"
"80 & Older years","Dade","63","3","12"
"<1 years","Dade","13","0","0"
"Unknown years","Dade","15","0","1"
"01-04 years","Dawson","76","0","0"
"05-09 years","Dawson","134","0","0"
"10-17 years","Dawson","376","0","6"
"18-29 years","Dawson","864","0","20"
"30-39 years","Dawson","709","2","26"
"40-49 years","Dawson","647","1","40"
"50-59 years","Dawson","666","9","60"
"60-69 years","Dawson","525","14","97"
"70-79 years","Dawson","320","27","67"
"80 & Older years","Dawson","129","24","38"
"<1 years","Dawson","26","0","3"
"Unknown years","Dawson","22","0","1"
"01-04 years","DeKalb","1900","0","27"
"05-09 years","DeKalb","3270","0","33"
"10-17 years","DeKalb","7344","0","106"
"18-29 years","DeKalb","21003","15","644"
"30-39 years","DeKalb","18303","28","881"
"40-49 years","DeKalb","13896","62","956"
"50-59 years","DeKalb","11634","157","1222"
"60-69 years","DeKalb","7207","260","1320"
"70-79 years","DeKalb","3562","333","983"
"80 & Older years","DeKalb","2027","418","683"
"<1 years","DeKalb","454","0","29"
"Unknown years","DeKalb","187","0","18"
"01-04 years","Decatur","147","0","2"
"05-09 years","Decatur","166","0","0"
"10-17 years","Decatur","388","0","1"
"18-29 years","Decatur","691","1","18"
"30-39 years","Decatur","525","1","11"
"40-49 years","Decatur","512","3","31"
"50-59 years","Decatur","436","10","43"
"60-69 years","Decatur","328","18","56"
"70-79 years","Decatur","198","24","41"
"80 & Older years","Decatur","121","22","26"
"<1 years","Decatur","45","0","0"
"Unknown years","Decatur","4","0","0"
"01-04 years","Dodge","19","0","0"
"05-09 years","Dodge","40","0","0"
"10-17 years","Dodge","174","1","2"
"18-29 years","Dodge","310","0","7"
"30-39 years","Dodge","219","2","10"
"40-49 years","Dodge","230","3","13"
"50-59 years","Dodge","225","6","23"
"60-69 years","Dodge","173","19","31"
"70-79 years","Dodge","97","18","24"
"80 & Older years","Dodge","62","15","16"
"<1 years","Dodge","9","0","0"
"01-04 years","Dooly","16","0","0"
"05-09 years","Dooly","32","0","0"
"10-17 years","Dooly","107","0","1"
"18-29 years","Dooly","186","1","5"
"30-39 years","Dooly","143","0","11"
"40-49 years","Dooly","183","2","14"
"50-59 years","Dooly","176","6","22"
"60-69 years","Dooly","149","11","26"
"70-79 years","Dooly","70","10","20"
"80 & Older years","Dooly","27","8","6"
"<1 years","Dooly","7","0","0"
"Unknown years","Dooly","2","0","0"
"01-04 years","Dougherty","207","0","4"
"05-09 years","Dougherty","418","0","0"
"10-17 years","Dougherty","885","0","14"
"18-29 years","Dougherty","1797","3","134"
"30-39 years","Dougherty","1521","8","118"
"40-49 years","Dougherty","1329","31","165"
"50-59 years","Dougherty","1258","40","219"
"60-69 years","Dougherty","1032","102","329"
"70-79 years","Dougherty","559","89","223"
"80 & Older years","Dougherty","336","120","164"
"<1 years","Dougherty","74","0","7"
"Unknown years","Dougherty","6","0","0"
"01-04 years","Douglas","391","0","8"
"05-09 years","Douglas","751","0","9"
