Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,267,7
Hispanic/Latino,American Indian/Alaska Native,16,0
Hispanic/Latino,Asian,25,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,16,0
Hispanic/Latino,Other,5035,62
Hispanic/Latino,Unknown,2366,4
Hispanic/Latino,White,7091,73
Non-Hispanic/Latino,African-American/Black,22595,1331
Non-Hispanic/Latino,American Indian/Alaska Native,47,3
Non-Hispanic/Latino,Asian,1027,47
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,47,5
Non-Hispanic/Latino,Other,1013,8
Non-Hispanic/Latino,Unknown,711,1
Non-Hispanic/Latino,White,20160,1285
Unknown,African-American/Black,3613,14
Unknown,American Indian/Alaska Native,8,0
Unknown,Asian,317,0
Unknown,Native Hawaiian/Pacific Islander,37,0
Unknown,Other,1567,2
Unknown,Unknown,26372,12
Unknown,White,3186,6
