"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2987","23"
"Hispanic/Latino","American Indian/Alaska Native","148","0"
"Hispanic/Latino","Asian","311","2"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","201","2"
"Hispanic/Latino","Other","33244","329"
"Hispanic/Latino","Unknown","14389","8"
"Hispanic/Latino","White","43923","606"
"Non-Hispanic/Latino","African-American/Black","217172","6130"
"Non-Hispanic/Latino","American Indian/Alaska Native","384","13"
"Non-Hispanic/Latino","Asian","16476","356"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","667","10"
"Non-Hispanic/Latino","Other","11389","51"
"Non-Hispanic/Latino","Unknown","7135","11"
"Non-Hispanic/Latino","White","317617","10153"
"Unknown","African-American/Black","24737","16"
"Unknown","American Indian/Alaska Native","153","0"
"Unknown","Asian","3710","1"
"Unknown","Native Hawaiian/Pacific Islander","174","0"
"Unknown","Other","26413","8"
"Unknown","Unknown","129629","28"
"Unknown","White","37925","18"
