"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","12130","1","242"
"05-09 years","Georgia","19902","2","183"
"10-17 years","Georgia","67848","7","718"
"18-29 years","Georgia","200429","126","3892"
"30-39 years","Georgia","145141","262","5079"
"40-49 years","Georgia","140163","624","7370"
"50-59 years","Georgia","132738","1700","11044"
"60-69 years","Georgia","89451","3564","13078"
"70-79 years","Georgia","51733","5131","12370"
"80 & Older years","Georgia","29825","6651","9541"
"<1 years","Georgia","3355","0","184"
"Unknown years","Georgia","3540","1","88"
"01-04 years","Appling","31","0","0"
"05-09 years","Appling","53","0","0"
"10-17 years","Appling","163","0","1"
"18-29 years","Appling","350","1","7"
"30-39 years","Appling","258","1","5"
"40-49 years","Appling","260","4","19"
"50-59 years","Appling","299","7","31"
"60-69 years","Appling","256","15","54"
"70-79 years","Appling","168","18","35"
"80 & Older years","Appling","83","21","32"
"<1 years","Appling","5","0","0"
"01-04 years","Atkinson","6","0","1"
"05-09 years","Atkinson","19","0","1"
"10-17 years","Atkinson","51","0","0"
"18-29 years","Atkinson","173","0","9"
"30-39 years","Atkinson","123","0","9"
"40-49 years","Atkinson","138","2","25"
"50-59 years","Atkinson","138","2","25"
"60-69 years","Atkinson","87","6","26"
"70-79 years","Atkinson","42","5","14"
"80 & Older years","Atkinson","14","5","10"
"<1 years","Atkinson","3","0","0"
"01-04 years","Bacon","18","0","0"
"05-09 years","Bacon","23","0","0"
"10-17 years","Bacon","77","0","1"
"18-29 years","Bacon","399","0","1"
"30-39 years","Bacon","191","0","5"
"40-49 years","Bacon","174","2","12"
"50-59 years","Bacon","155","2","16"
"60-69 years","Bacon","127","9","25"
"70-79 years","Bacon","82","7","20"
"80 & Older years","Bacon","39","9","10"
"<1 years","Bacon","4","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","7","0","0"
"05-09 years","Baker","4","0","0"
"10-17 years","Baker","9","0","0"
"18-29 years","Baker","25","0","0"
"30-39 years","Baker","22","0","3"
"40-49 years","Baker","14","1","2"
"50-59 years","Baker","21","0","1"
"60-69 years","Baker","33","3","15"
"70-79 years","Baker","18","2","10"
"80 & Older years","Baker","9","3","3"
"<1 years","Baker","1","0","0"
"01-04 years","Baldwin","31","0","0"
"05-09 years","Baldwin","54","0","0"
"10-17 years","Baldwin","204","1","5"
"18-29 years","Baldwin","1286","0","15"
"30-39 years","Baldwin","481","1","16"
"40-49 years","Baldwin","494","2","32"
"50-59 years","Baldwin","498","12","60"
"60-69 years","Baldwin","389","23","76"
"70-79 years","Baldwin","261","29","58"
"80 & Older years","Baldwin","161","49","65"
"<1 years","Baldwin","14","0","0"
"01-04 years","Banks","11","0","0"
"05-09 years","Banks","31","0","1"
"10-17 years","Banks","109","0","2"
"18-29 years","Banks","311","0","9"
"30-39 years","Banks","214","0","8"
"40-49 years","Banks","240","0","18"
"50-59 years","Banks","264","2","26"
"60-69 years","Banks","215","6","45"
"70-79 years","Banks","158","18","59"
"80 & Older years","Banks","80","12","30"
"<1 years","Banks","6","0","1"
"Unknown years","Banks","21","0","1"
"01-04 years","Barrow","101","0","0"
"05-09 years","Barrow","186","0","0"
"10-17 years","Barrow","703","0","8"
"18-29 years","Barrow","1815","2","39"
"30-39 years","Barrow","1527","1","50"
"40-49 years","Barrow","1572","5","71"
"50-59 years","Barrow","1318","8","106"
"60-69 years","Barrow","880","32","145"
"70-79 years","Barrow","511","36","108"
"80 & Older years","Barrow","246","52","93"
"<1 years","Barrow","31","0","2"
"Unknown years","Barrow","16","0","0"
"01-04 years","Bartow","118","0","6"
"05-09 years","Bartow","229","0","2"
"10-17 years","Bartow","955","0","13"
"18-29 years","Bartow","2134","0","26"
"30-39 years","Bartow","1753","4","53"
"40-49 years","Bartow","1825","3","87"
"50-59 years","Bartow","1872","18","161"
"60-69 years","Bartow","1148","39","160"
"70-79 years","Bartow","758","75","194"
"80 & Older years","Bartow","377","77","129"
"<1 years","Bartow","41","0","2"
"Unknown years","Bartow","141","0","7"
"01-04 years","Ben Hill","29","0","1"
"05-09 years","Ben Hill","20","0","0"
"10-17 years","Ben Hill","98","0","0"
"18-29 years","Ben Hill","263","0","4"
"30-39 years","Ben Hill","219","3","11"
"40-49 years","Ben Hill","210","1","11"
"50-59 years","Ben Hill","240","6","30"
"60-69 years","Ben Hill","204","12","29"
"70-79 years","Ben Hill","145","19","51"
"80 & Older years","Ben Hill","71","20","19"
"<1 years","Ben Hill","6","0","1"
"Unknown years","Ben Hill","2","0","0"
"01-04 years","Berrien","16","0","0"
"05-09 years","Berrien","23","0","0"
"10-17 years","Berrien","96","0","1"
"18-29 years","Berrien","206","0","0"
"30-39 years","Berrien","164","0","3"
"40-49 years","Berrien","141","0","5"
"50-59 years","Berrien","171","3","17"
"60-69 years","Berrien","124","8","17"
"70-79 years","Berrien","81","10","16"
"80 & Older years","Berrien","48","12","14"
"<1 years","Berrien","2","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","136","0","3"
"05-09 years","Bibb","191","0","0"
"10-17 years","Bibb","669","0","9"
"18-29 years","Bibb","3006","1","87"
"30-39 years","Bibb","2136","6","113"
"40-49 years","Bibb","2147","17","205"
"50-59 years","Bibb","1984","26","283"
"60-69 years","Bibb","1587","93","425"
"70-79 years","Bibb","958","119","366"
"80 & Older years","Bibb","597","152","298"
"<1 years","Bibb","46","0","4"
"Unknown years","Bibb","3","0","0"
"01-04 years","Bleckley","5","0","0"
"05-09 years","Bleckley","16","0","0"
"10-17 years","Bleckley","70","0","0"
"18-29 years","Bleckley","189","0","3"
"30-39 years","Bleckley","98","1","4"
"40-49 years","Bleckley","106","1","2"
"50-59 years","Bleckley","108","2","5"
"60-69 years","Bleckley","86","7","11"
"70-79 years","Bleckley","64","5","12"
"80 & Older years","Bleckley","61","18","12"
"<1 years","Bleckley","3","0","0"
"01-04 years","Brantley","12","0","0"
"05-09 years","Brantley","14","0","0"
"10-17 years","Brantley","89","0","1"
"18-29 years","Brantley","164","0","2"
"30-39 years","Brantley","126","0","4"
"40-49 years","Brantley","136","1","6"
"50-59 years","Brantley","156","2","15"
"60-69 years","Brantley","119","5","16"
"70-79 years","Brantley","90","17","27"
"80 & Older years","Brantley","50","10","13"
"<1 years","Brantley","1","0","0"
"01-04 years","Brooks","15","0","1"
"05-09 years","Brooks","25","0","0"
"10-17 years","Brooks","87","0","0"
"18-29 years","Brooks","178","0","1"
"30-39 years","Brooks","127","0","4"
"40-49 years","Brooks","125","1","12"
"50-59 years","Brooks","151","2","21"
"60-69 years","Brooks","101","6","17"
"70-79 years","Brooks","87","10","19"
"80 & Older years","Brooks","56","17","15"
"<1 years","Brooks","4","0","0"
"01-04 years","Bryan","54","0","0"
"05-09 years","Bryan","82","0","0"
"10-17 years","Bryan","283","0","3"
"18-29 years","Bryan","544","0","11"
"30-39 years","Bryan","464","1","10"
"40-49 years","Bryan","496","0","17"
"50-59 years","Bryan","365","5","30"
"60-69 years","Bryan","262","12","31"
"70-79 years","Bryan","160","11","54"
"80 & Older years","Bryan","68","9","28"
"<1 years","Bryan","14","0","0"
"Unknown years","Bryan","3","0","0"
"01-04 years","Bulloch","61","0","0"
"05-09 years","Bulloch","106","0","0"
"10-17 years","Bulloch","381","0","2"
"18-29 years","Bulloch","2281","0","11"
"30-39 years","Bulloch","653","4","22"
"40-49 years","Bulloch","558","2","24"
"50-59 years","Bulloch","533","8","38"
"60-69 years","Bulloch","388","16","48"
"70-79 years","Bulloch","199","17","43"
"80 & Older years","Bulloch","107","17","38"
"<1 years","Bulloch","26","0","2"
"Unknown years","Bulloch","1","0","0"
"01-04 years","Burke","21","0","0"
"05-09 years","Burke","45","0","0"
"10-17 years","Burke","144","0","1"
"18-29 years","Burke","353","1","8"
"30-39 years","Burke","270","1","10"
"40-49 years","Burke","300","2","17"
"50-59 years","Burke","280","4","34"
"60-69 years","Burke","218","7","40"
"70-79 years","Burke","124","14","34"
"80 & Older years","Burke","40","11","14"
"<1 years","Burke","7","0","0"
"Unknown years","Burke","2","0","0"
"01-04 years","Butts","25","0","3"
"05-09 years","Butts","30","0","0"
"10-17 years","Butts","120","0","4"
"18-29 years","Butts","431","0","6"
"30-39 years","Butts","398","0","8"
"40-49 years","Butts","368","4","16"
"50-59 years","Butts","393","8","25"
"60-69 years","Butts","279","17","35"
"70-79 years","Butts","191","23","25"
"80 & Older years","Butts","115","29","8"
"<1 years","Butts","7","0","1"
"Unknown years","Butts","3","0","0"
"01-04 years","Calhoun","7","0","0"
"05-09 years","Calhoun","1","0","0"
"10-17 years","Calhoun","39","0","0"
"18-29 years","Calhoun","69","0","6"
"30-39 years","Calhoun","62","2","6"
"40-49 years","Calhoun","77","2","9"
"50-59 years","Calhoun","83","2","18"
"60-69 years","Calhoun","72","2","19"
"70-79 years","Calhoun","25","5","9"
"80 & Older years","Calhoun","15","2","8"
"<1 years","Calhoun","3","0","0"
"Unknown years","Calhoun","1","0","0"
"01-04 years","Camden","46","0","0"
"05-09 years","Camden","42","0","1"
"10-17 years","Camden","232","0","1"
"18-29 years","Camden","799","0","6"
"30-39 years","Camden","529","1","18"
"40-49 years","Camden","441","2","12"
"50-59 years","Camden","489","2","22"
"60-69 years","Camden","370","6","29"
"70-79 years","Camden","213","5","26"
"80 & Older years","Camden","93","15","23"
"<1 years","Camden","8","0","2"
"01-04 years","Candler","9","0","0"
"05-09 years","Candler","15","0","0"
"10-17 years","Candler","57","0","0"
"18-29 years","Candler","134","0","0"
"30-39 years","Candler","99","0","3"
"40-49 years","Candler","129","3","3"
"50-59 years","Candler","128","6","13"
"60-69 years","Candler","101","9","14"
"70-79 years","Candler","72","14","18"
"80 & Older years","Candler","27","6","11"
"<1 years","Candler","5","0","0"
"01-04 years","Carroll","93","0","1"
"05-09 years","Carroll","140","0","2"
"10-17 years","Carroll","627","0","6"
"18-29 years","Carroll","1770","0","13"
"30-39 years","Carroll","1124","4","19"
"40-49 years","Carroll","1095","4","30"
"50-59 years","Carroll","1099","13","59"
"60-69 years","Carroll","771","25","73"
"70-79 years","Carroll","460","35","69"
"80 & Older years","Carroll","271","51","44"
"<1 years","Carroll","28","0","1"
"Unknown years","Carroll","7","0","0"
"01-04 years","Catoosa","90","0","0"
"05-09 years","Catoosa","156","0","1"
"10-17 years","Catoosa","499","0","2"
"18-29 years","Catoosa","1058","0","8"
"30-39 years","Catoosa","802","1","11"
"40-49 years","Catoosa","934","2","16"
"50-59 years","Catoosa","866","6","38"
"60-69 years","Catoosa","626","7","63"
