"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","3075","24"
"Hispanic/Latino","American Indian/Alaska Native","142","0"
"Hispanic/Latino","Asian","320","2"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","207","2"
"Hispanic/Latino","Other","34085","333"
"Hispanic/Latino","Unknown","14536","8"
"Hispanic/Latino","White","45136","612"
"Non-Hispanic/Latino","African-American/Black","223595","6251"
"Non-Hispanic/Latino","American Indian/Alaska Native","380","12"
"Non-Hispanic/Latino","Asian","16925","363"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","672","10"
"Non-Hispanic/Latino","Other","11582","54"
"Non-Hispanic/Latino","Unknown","6938","14"
"Non-Hispanic/Latino","White","326594","10310"
"Unknown","African-American/Black","24573","16"
"Unknown","American Indian/Alaska Native","139","0"
"Unknown","Asian","3850","1"
"Unknown","Native Hawaiian/Pacific Islander","174","0"
"Unknown","Other","25756","9"
"Unknown","Unknown","119082","28"
"Unknown","White","38494","20"
