"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","907","13"
"Hispanic/Latino","American Indian/Alaska Native","46","0"
"Hispanic/Latino","Asian","91","0"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","94","0"
"Hispanic/Latino","Other","14814","158"
"Hispanic/Latino","Unknown","5881","6"
"Hispanic/Latino","White","19732","258"
"Non-Hispanic/Latino","African-American/Black","72170","2903"
"Non-Hispanic/Latino","American Indian/Alaska Native","124","7"
"Non-Hispanic/Latino","Asian","4013","130"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","220","7"
"Non-Hispanic/Latino","Other","3715","17"
"Non-Hispanic/Latino","Unknown","2924","33"
"Non-Hispanic/Latino","White","86289","3555"
"Unknown","African-American/Black","12673","19"
"Unknown","American Indian/Alaska Native","51","0"
"Unknown","Asian","1221","0"
"Unknown","Native Hawaiian/Pacific Islander","84","0"
"Unknown","Other","5261","5"
"Unknown","Unknown","77173","62"
"Unknown","White","16231","19"
