Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,762,13
Hispanic/Latino,American Indian/Alaska Native,67,1
Hispanic/Latino,Asian,79,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,91,0
Hispanic/Latino,Other,13107,141
Hispanic/Latino,Unknown,5248,6
Hispanic/Latino,White,17278,215
Non-Hispanic/Latino,African-American/Black,61692,2567
Non-Hispanic/Latino,American Indian/Alaska Native,111,5
Non-Hispanic/Latino,Asian,3169,107
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,179,7
Non-Hispanic/Latino,Other,3117,14
Non-Hispanic/Latino,Unknown,2380,18
Non-Hispanic/Latino,White,67599,2950
Unknown,African-American/Black,11423,19
Unknown,American Indian/Alaska Native,55,0
Unknown,Asian,1050,0
Unknown,Native Hawaiian/Pacific Islander,129,2
Unknown,Other,4782,4
Unknown,Unknown,81189,44
Unknown,White,13780,15
