"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","1123","13"
"Hispanic/Latino","American Indian/Alaska Native","52","0"
"Hispanic/Latino","Asian","105","0"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","102","0"
"Hispanic/Latino","Other","16961","177"
"Hispanic/Latino","Unknown","6680","11"
"Hispanic/Latino","White","22788","292"
"Non-Hispanic/Latino","African-American/Black","89257","3263"
"Non-Hispanic/Latino","American Indian/Alaska Native","139","10"
"Non-Hispanic/Latino","Asian","5209","146"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","256","6"
"Non-Hispanic/Latino","Other","4456","13"
"Non-Hispanic/Latino","Unknown","3218","14"
"Non-Hispanic/Latino","White","116267","4240"
"Unknown","African-American/Black","14126","14"
"Unknown","American Indian/Alaska Native","56","0"
"Unknown","Asian","1473","0"
"Unknown","Native Hawaiian/Pacific Islander","90","0"
"Unknown","Other","4927","3"
"Unknown","Unknown","69532","47"
"Unknown","White","19237","15"
