"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases"
"Pickens","785","US-13227","13","227","33530","68","10","2341.19","29.82","354.91","119"
"Pierce","680","US-13229","13","229","19545","83","24","3479.15","122.79","220.01","43"
"Pike","389","US-13231","13","231","18860","33","11","2062.57","58.32","116.65","22"
"Polk","1711","US-13233","13","233","43482","136","29","3934.96","66.69","308.17","134"
"Pulaski","339","US-13235","13","235","10893","41","23","3112.09","211.14","183.6","20"
"Putnam","800","US-13237","13","237","21885","72","27","3655.47","123.37","178.2","39"
"Quitman","40","US-13239","13","239","2294","7","1","1743.68","43.59","87.18","2"
"Rabun","429","US-13241","13","241","16986","54","11","2525.61","64.76","100.08","17"
"Randolph","339","US-13243","13","243","6754","56","29","5019.25","429.38","14.81","1"
"Richmond","7964","US-13245","13","245","202240","629","183","3937.9","90.49","184.93","374"
"Rockdale","2136","US-13247","13","247","94960","272","40","2249.37","42.12","151.64","144"
"Schley","109","US-13249","13","249","5275","16","2","2066.35","37.91","37.91","2"
"Screven","450","US-13251","13","251","13900","47","11","3237.41","79.14","115.11","16"
"Seminole","393","US-13253","13","253","8140","31","11","4828.01","135.14","196.56","16"
"Spalding","1599","US-13255","13","255","69110","207","62","2313.7","89.71","211.26","146"
"Stephens","1280","US-13257","13","257","26328","131","41","4861.74","155.73","227.89","60"
"Stewart","567","US-13259","13","259","6129","81","16","9251.1","261.05","750.53","46"
"Sumter","959","US-13261","13","261","29399","206","68","3262.02","231.3","34.01","10"
"Talbot","174","US-13263","13","263","6158","26","8","2825.59","129.91","113.67","7"
"Taliaferro","28","US-13265","13","265","1632","2","0","1715.69","0","183.82","3"
"Tattnall","933","US-13267","13","267","25411","68","15","3671.64","59.03","192.83","49"
"Taylor","232","US-13269","13","269","7958","32","12","2915.31","150.79","100.53","8"
"Telfair","507","US-13271","13","271","15644","44","24","3240.86","153.41","588.08","92"
"Terrell","341","US-13273","13","273","8467","74","32","4027.4","377.94","70.86","6"
"Thomas","1605","US-13275","13","275","44431","176","69","3612.34","155.3","126.04","56"
"Tift","1964","US-13277","13","277","40830","239","64","4810.19","156.75","181.24","74"
"Toombs","1499","US-13279","13","279","26983","114","56","5555.35","207.54","285.36","77"
"Towns","441","US-13281","13","281","12034","57","13","3664.62","108.03","382.25","46"
"Treutlen","311","US-13283","13","283","6829","33","12","4554.11","175.72","512.52","35"
"Troup","3068","US-13285","13","285","70414","334","108","4357.09","153.38","169","119"
"Turner","335","US-13287","13","287","8076","51","24","4148.09","297.18","74.29","6"
"Twiggs","217","US-13289","13","289","8086","53","10","2683.65","123.67","136.04","11"
"Union","890","US-13291","13","291","25335","95","26","3512.93","102.62","146.04","37"
"Unknown","1888","US-.",".",".","0","37","6","0","0","0","188"
"Upson","839","US-13293","13","293","26277","97","70","3192.91","266.39","49.47","13"
"Walker","1894","US-13295","13","295","69610","97","44","2720.87","63.21","274.39","191"
"Walton","2354","US-13297","13","297","95814","230","68","2456.84","70.97","159.68","153"
"Ware","1737","US-13299","13","299","35853","190","63","4844.78","175.72","334.7","120"
"Warren","165","US-13301","13","301","5210","27","5","3166.99","95.97","38.39","2"
"Washington","776","US-13303","13","303","20302","50","13","3822.28","64.03","315.24","64"
"Wayne","1242","US-13305","13","305","29974","116","33","4143.59","110.1","160.14","48"
"Webster","44","US-13307","13","307","2550","10","2","1725.49","78.43","39.22","1"
"Wheeler","369","US-13309","13","309","7909","22","16","4665.57","202.3","265.52","21"
"White","1005","US-13311","13","311","31758","106","23","3164.56","72.42","107.06","34"
"Whitfield","5469","US-13313","13","313","104672","275","64","5224.89","61.14","494.88","518"
"Wilcox","257","US-13315","13","315","8790","52","25","2923.78","284.41","113.77","10"
"Wilkes","300","US-13317","13","317","10014","32","6","2995.81","59.92","269.62","27"
"Wilkinson","369","US-13319","13","319","8919","67","17","4137.24","190.6","112.12","10"
"Worth","607","US-13321","13","321","20142","103","32","3013.6","158.87","124.12","25"
