"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",991,0,0,6,985,"2020-06MAY"
"18","China","Beijing Municipality",593,29,164,9,555,"2020-06MAY"
"38","China","Chongqing Municipality",579,0,1,6,573,"2020-06MAY"
"78","China","Fujian Province",356,2,3,1,353,"2020-06MAY"
"87","China","Gansu province",139,0,0,2,137,"2020-06MAY"
"102","China","Guangdong Province",1588,5,11,8,1575,"2020-06MAY"
"126","China","Guangxi Zhuang Autonomous Region",254,0,0,2,252,"2020-06MAY"
"141","China","Guizhou Province",147,0,0,2,145,"2020-06MAY"
"150","China","Hainan Province",168,0,0,6,162,"2020-06MAY"
"169","China","Hebei Province",328,2,0,6,320,"2020-06MAY"
"180","China","Heilongjiang Province",944,148,394,13,783,"2020-06MAY"
"193","China","Henan Province",1276,0,0,22,1254,"2020-06MAY"
"213","China","Hong Kong Special Administrative Region",1040,116,47,4,920,"2020-06MAY"
"214","China","Hubei Province",68128,0,0,4512,63616,"2020-06MAY"
"232","China","Hunan Province",1019,0,0,4,1015,"2020-06MAY"
"246","China","Inner Mongolia Autonomous Region",201,33,34,1,167,"2020-06MAY"
"259","China","Jiangsu Province",653,3,3,0,650,"2020-06MAY"
"272","China","Jiangxi Province",937,0,0,1,936,"2020-06MAY"
"284","China","Jilin Province",112,8,19,1,103,"2020-06MAY"
"295","China","Liaoning Province",146,0,0,2,144,"2020-06MAY"
"309","China","Macao Special Administrative Region",45,6,9,0,39,"2020-06MAY"
"310","China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-06MAY"
"317","China","Qinghai Province",18,0,0,0,18,"2020-06MAY"
"325","China","Shaanxi Province",308,41,1,3,264,"2020-06MAY"
"337","China","Shandong Province",788,6,14,7,775,"2020-06MAY"
"354","China","Shanghai Municipality",656,29,300,7,620,"2020-06MAY"
"373","China","Shanxi Province",198,5,64,0,193,"2020-06MAY"
"384","China","Sichuan Province",561,0,13,3,558,"2020-06MAY"
"405","China","Taiwan Province",439,94,348,6,339,"2020-06MAY"
"406","China","Tianjin Municipality",190,1,48,3,186,"2020-06MAY"
"423","China","Tibet Autonomous Region",1,0,0,0,1,"2020-06MAY"
"430","China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-06MAY"
"453","China","Yunnan Province",185,2,0,2,181,"2020-06MAY"
"469","China","Zhejiang Province",1268,0,3,1,1267,"2020-06MAY"
