"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",992,1,0,6,985,"2020-11-22"
"China","Beijing Municipality",949,4,164,9,936,"2020-11-22"
"China","Chongqing Municipality",590,1,1,6,583,"2020-11-22"
"China","Fujian Province",473,38,3,1,434,"2020-11-22"
"China","Gansu province",181,1,0,2,178,"2020-11-22"
"China","Guangdong Province",1975,30,14,8,1937,"2020-11-22"
"China","Guangxi Zhuang Autonomous Region",263,3,0,2,258,"2020-11-22"
"China","Guizhou Province",147,0,0,2,145,"2020-11-22"
"China","Hainan Province",171,0,0,6,165,"2020-11-22"
"China","Hebei Province",373,4,0,6,363,"2020-11-22"
"China","Heilongjiang Province",949,0,394,13,936,"2020-11-22"
"China","Henan Province",1288,5,0,22,1261,"2020-11-22"
"China","Hong Kong Special Administrative Region",5628,261,176,108,5259,"2020-11-22"
"China","Hubei Province",68148,8,0,4512,63628,"2020-11-22"
"China","Hunan Province",1020,1,0,4,1015,"2020-11-22"
"China","Inner Mongolia Autonomous Region",310,19,34,1,290,"2020-11-22"
"China","Jiangsu Province",677,7,3,0,670,"2020-11-22"
"China","Jiangxi Province",935,0,0,1,934,"2020-11-22"
"China","Jilin Province",157,0,19,2,155,"2020-11-22"
"China","Liaoning Province",289,6,0,2,281,"2020-11-22"
"China","Macao Special Administrative Region",46,0,9,0,46,"2020-11-22"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-11-22"
"China","Qinghai Province",18,0,0,0,18,"2020-11-22"
"China","Shaanxi Province",492,42,1,3,447,"2020-11-22"
"China","Shandong Province",849,1,14,7,841,"2020-11-22"
"China","Shanghai Municipality",1305,65,393,7,1233,"2020-11-22"
"China","Shanxi Province",220,6,64,0,214,"2020-11-22"
"China","Sichuan Province",797,49,14,3,745,"2020-11-22"
"China","Taiwan Province",617,62,431,7,548,"2020-11-22"
"China","Tianjin Municipality",297,17,50,3,277,"2020-11-22"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-11-22"
"China","Xinjiang Uygur Autonomous Region",980,0,0,3,977,"2020-11-22"
"China","Yunnan Province",217,5,0,2,210,"2020-11-22"
"China","Zhejiang Province",1293,9,3,1,1283,"2020-11-22"
