"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",990,5,0,6,979,"2020-03-06"
"China","Beijing Municipality",422,115,0,8,299,"2020-03-06"
"China","Chongqing Municipality",576,57,0,6,513,"2020-03-06"
"China","Fujian Province",296,11,0,1,284,"2020-03-06"
"China","Gansu province",119,30,0,2,87,"2020-03-06"
"China","Guangdong Province",1352,129,0,7,1216,"2020-03-06"
"China","Guangxi Zhuang Autonomous Region",252,33,0,2,217,"2020-03-06"
"China","Guizhou Province",146,30,0,2,114,"2020-03-06"
"China","Hainan Province",168,4,0,6,158,"2020-03-06"
"China","Hebei Province",318,7,0,6,305,"2020-03-06"
"China","Heilongjiang Province",481,72,0,13,396,"2020-03-06"
"China","Henan Province",1272,6,0,22,1244,"2020-03-06"
"China","Hong Kong Special Administrative Region",106,58,0,2,46,"2020-03-06"
"China","Hubei Province",67592,22628,0,2931,42033,"2020-03-06"
"China","Hunan Province",1018,59,0,4,955,"2020-03-06"
"China","Inner Mongolia Autonomous Region",75,9,0,1,65,"2020-03-06"
"China","Jiangsu Province",631,37,0,0,594,"2020-03-06"
"China","Jiangxi Province",935,25,0,1,909,"2020-03-06"
"China","Jilin Province",93,2,0,1,90,"2020-03-06"
"China","Liaoning Province",125,18,0,1,106,"2020-03-06"
"China","Macao Special Administrative Region",10,0,0,0,10,"2020-03-06"
"China","Ningxia Hui Autonomous Region",75,4,0,0,71,"2020-03-06"
"China","Qinghai Province",18,0,0,0,18,"2020-03-06"
"China","Shaanxi Province",245,18,0,1,226,"2020-03-06"
"China","Shandong Province",758,134,0,6,618,"2020-03-06"
"China","Shanghai Municipality",342,33,0,3,306,"2020-03-06"
"China","Shanxi Province",133,7,0,0,126,"2020-03-06"
"China","Sichuan Province",539,94,0,3,442,"2020-03-06"
"China","Taiwan Province",45,32,0,1,12,"2020-03-06"
"China","Tianjin Municipality",136,5,0,3,128,"2020-03-06"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-03-06"
"China","Xinjiang Uygur Autonomous Region",76,2,0,3,71,"2020-03-06"
"China","Yunnan Province",174,2,0,2,170,"2020-03-06"
"China","Zhejiang Province",1215,67,0,1,1147,"2020-03-06"
