"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",991,1,0,6,984,"2020-04-17"
"China","Beijing Municipality",593,76,164,8,509,"2020-04-17"
"China","Chongqing Municipality",579,3,1,6,570,"2020-04-17"
"China","Fujian Province",354,19,3,1,334,"2020-04-17"
"China","Gansu province",139,0,0,2,137,"2020-04-17"
"China","Guangdong Province",1577,94,11,8,1475,"2020-04-17"
"China","Guangxi Zhuang Autonomous Region",254,0,0,2,252,"2020-04-17"
"China","Guizhou Province",147,1,0,2,144,"2020-04-17"
"China","Hainan Province",168,0,0,6,162,"2020-04-17"
"China","Hebei Province",328,6,0,6,316,"2020-04-17"
"China","Heilongjiang Province",872,388,38,13,471,"2020-04-17"
"China","Henan Province",1276,0,0,22,1254,"2020-04-17"
"China","Hong Kong Special Administrative Region",1021,484,39,4,533,"2020-04-17"
"China","Hubei Province",68128,129,0,4512,63487,"2020-04-17"
"China","Hunan Province",1019,1,0,4,1014,"2020-04-17"
"China","Inner Mongolia Autonomous Region",193,89,34,1,103,"2020-04-17"
"China","Jiangsu Province",653,10,3,0,643,"2020-04-17"
"China","Jiangxi Province",937,0,0,1,936,"2020-04-17"
"China","Jilin Province",102,4,3,1,97,"2020-04-17"
"China","Liaoning Province",146,4,0,2,140,"2020-04-17"
"China","Macao Special Administrative Region",45,29,9,0,16,"2020-04-17"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-04-17"
"China","Qinghai Province",18,0,0,0,18,"2020-04-17"
"China","Shaanxi Province",256,1,1,3,252,"2020-04-17"
"China","Shandong Province",787,19,14,7,761,"2020-04-17"
"China","Shanghai Municipality",628,109,19,7,512,"2020-04-17"
"China","Shanxi Province",197,62,18,0,135,"2020-04-17"
"China","Sichuan Province",560,5,13,3,552,"2020-04-17"
"China","Taiwan Province",395,223,340,6,166,"2020-04-17"
"China","Tianjin Municipality",189,13,48,3,173,"2020-04-17"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-04-17"
"China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-04-17"
"China","Yunnan Province",184,5,0,2,177,"2020-04-17"
"China","Zhejiang Province",1268,21,3,1,1246,"2020-04-17"
