"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",991,0,0,6,985,"2020-06-22"
"China","Beijing Municipality",830,237,164,9,584,"2020-06-22"
"China","Chongqing Municipality",582,3,1,6,573,"2020-06-22"
"China","Fujian Province",363,5,3,1,357,"2020-06-22"
"China","Gansu province",158,19,0,2,137,"2020-06-22"
"China","Guangdong Province",1634,12,11,8,1614,"2020-06-22"
"China","Guangxi Zhuang Autonomous Region",254,0,0,2,252,"2020-06-22"
"China","Guizhou Province",147,0,0,2,145,"2020-06-22"
"China","Hainan Province",171,2,0,6,163,"2020-06-22"
"China","Hebei Province",346,18,0,6,322,"2020-06-22"
"China","Heilongjiang Province",947,0,394,13,934,"2020-06-22"
"China","Henan Province",1276,0,0,22,1254,"2020-06-22"
"China","Hong Kong Special Administrative Region",1161,78,63,5,1078,"2020-06-22"
"China","Hubei Province",68135,0,0,4512,63623,"2020-06-22"
"China","Hunan Province",1019,0,0,4,1015,"2020-06-22"
"China","Inner Mongolia Autonomous Region",238,2,34,1,235,"2020-06-22"
"China","Jiangsu Province",653,0,3,0,653,"2020-06-22"
"China","Jiangxi Province",932,0,0,1,931,"2020-06-22"
"China","Jilin Province",155,0,19,2,153,"2020-06-22"
"China","Liaoning Province",154,5,0,2,147,"2020-06-22"
"China","Macao Special Administrative Region",45,0,9,0,45,"2020-06-22"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-06-22"
"China","Qinghai Province",18,0,0,0,18,"2020-06-22"
"China","Shaanxi Province",317,8,1,3,306,"2020-06-22"
"China","Shandong Province",792,0,14,7,785,"2020-06-22"
"China","Shanghai Municipality",701,25,300,7,669,"2020-06-22"
"China","Shanxi Province",198,0,64,0,198,"2020-06-22"
"China","Sichuan Province",589,16,13,3,570,"2020-06-22"
"China","Taiwan Province",446,5,348,7,434,"2020-06-22"
"China","Tianjin Municipality",198,4,48,3,191,"2020-06-22"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-06-22"
"China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-06-22"
"China","Yunnan Province",185,0,0,2,183,"2020-06-22"
"China","Zhejiang Province",1269,1,3,1,1267,"2020-06-22"
