"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",991,0,0,6,985,"2020-09-06"
"China","Beijing Municipality",935,0,164,9,926,"2020-09-06"
"China","Chongqing Municipality",583,0,1,6,577,"2020-09-06"
"China","Fujian Province",386,13,3,1,372,"2020-09-06"
"China","Gansu province",170,1,0,2,167,"2020-09-06"
"China","Guangdong Province",1763,28,14,8,1727,"2020-09-06"
"China","Guangxi Zhuang Autonomous Region",257,2,0,2,253,"2020-09-06"
"China","Guizhou Province",147,0,0,2,145,"2020-09-06"
"China","Hainan Province",171,0,0,6,165,"2020-09-06"
"China","Hebei Province",365,5,0,6,354,"2020-09-06"
"China","Heilongjiang Province",948,0,394,13,935,"2020-09-06"
"China","Henan Province",1276,0,0,22,1254,"2020-09-06"
"China","Hong Kong Special Administrative Region",4878,274,126,94,4510,"2020-09-06"
"China","Hubei Province",68139,0,0,4512,63627,"2020-09-06"
"China","Hunan Province",1019,0,0,4,1015,"2020-09-06"
"China","Inner Mongolia Autonomous Region",261,1,34,1,259,"2020-09-06"
"China","Jiangsu Province",665,4,3,0,661,"2020-09-06"
"China","Jiangxi Province",935,0,0,1,934,"2020-09-06"
"China","Jilin Province",157,0,19,2,155,"2020-09-06"
"China","Liaoning Province",263,2,0,2,259,"2020-09-06"
"China","Macao Special Administrative Region",46,0,9,0,46,"2020-09-06"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-09-06"
"China","Qinghai Province",18,0,0,0,18,"2020-09-06"
"China","Shaanxi Province",377,14,1,3,360,"2020-09-06"
"China","Shandong Province",831,14,14,7,810,"2020-09-06"
"China","Shanghai Municipality",918,45,393,7,866,"2020-09-06"
"China","Shanxi Province",203,2,64,0,201,"2020-09-06"
"China","Sichuan Province",656,19,14,3,634,"2020-09-06"
"China","Taiwan Province",493,13,371,7,473,"2020-09-06"
"China","Tianjin Municipality",231,14,50,3,214,"2020-09-06"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-09-06"
"China","Xinjiang Uygur Autonomous Region",902,10,0,3,889,"2020-09-06"
"China","Yunnan Province",201,7,0,2,192,"2020-09-06"
"China","Zhejiang Province",1278,9,3,1,1268,"2020-09-06"
