"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",991,0,0,6,985,"2020-11-04"
"China","Beijing Municipality",944,6,164,9,929,"2020-11-04"
"China","Chongqing Municipality",589,3,1,6,580,"2020-11-04"
"China","Fujian Province",443,29,3,1,413,"2020-11-04"
"China","Gansu province",180,10,0,2,168,"2020-11-04"
"China","Guangdong Province",1938,38,14,8,1892,"2020-11-04"
"China","Guangxi Zhuang Autonomous Region",260,0,0,2,258,"2020-11-04"
"China","Guizhou Province",147,0,0,2,145,"2020-11-04"
"China","Hainan Province",171,0,0,6,165,"2020-11-04"
"China","Hebei Province",373,7,0,6,360,"2020-11-04"
"China","Heilongjiang Province",949,1,394,13,935,"2020-11-04"
"China","Henan Province",1284,4,0,22,1258,"2020-11-04"
"China","Hong Kong Special Administrative Region",5348,124,176,106,5118,"2020-11-04"
"China","Hubei Province",68143,4,0,4512,63627,"2020-11-04"
"China","Hunan Province",1020,1,0,4,1015,"2020-11-04"
"China","Inner Mongolia Autonomous Region",297,26,34,1,270,"2020-11-04"
"China","Jiangsu Province",674,8,3,0,666,"2020-11-04"
"China","Jiangxi Province",935,0,0,1,934,"2020-11-04"
"China","Jilin Province",157,0,19,2,155,"2020-11-04"
"China","Liaoning Province",283,3,0,2,278,"2020-11-04"
"China","Macao Special Administrative Region",46,0,9,0,46,"2020-11-04"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-11-04"
"China","Qinghai Province",18,0,0,0,18,"2020-11-04"
"China","Shaanxi Province",456,26,1,3,427,"2020-11-04"
"China","Shandong Province",848,5,14,7,836,"2020-11-04"
"China","Shanghai Municipality",1200,92,393,7,1101,"2020-11-04"
"China","Shanxi Province",215,5,64,0,210,"2020-11-04"
"China","Sichuan Province",757,39,14,3,715,"2020-11-04"
"China","Taiwan Province",568,40,431,7,521,"2020-11-04"
"China","Tianjin Municipality",273,15,50,3,255,"2020-11-04"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-11-04"
"China","Xinjiang Uygur Autonomous Region",966,64,0,3,899,"2020-11-04"
"China","Yunnan Province",213,3,0,2,208,"2020-11-04"
"China","Zhejiang Province",1287,7,3,1,1279,"2020-11-04"
