"ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province",991,0,0,6,985,"2020-08-03"
"China","Beijing Municipality",933,7,164,9,917,"2020-08-03"
"China","Chongqing Municipality",583,0,1,6,577,"2020-08-03"
"China","Fujian Province",367,3,3,1,363,"2020-08-03"
"China","Gansu province",167,0,0,2,165,"2020-08-03"
"China","Guangdong Province",1683,18,14,8,1657,"2020-08-03"
"China","Guangxi Zhuang Autonomous Region",255,0,0,2,253,"2020-08-03"
"China","Guizhou Province",147,0,0,2,145,"2020-08-03"
"China","Hainan Province",171,0,0,6,165,"2020-08-03"
"China","Hebei Province",349,0,0,6,343,"2020-08-03"
"China","Heilongjiang Province",947,0,394,13,934,"2020-08-03"
"China","Henan Province",1276,0,0,22,1254,"2020-08-03"
"China","Hong Kong Special Administrative Region",3591,1516,93,38,2037,"2020-08-03"
"China","Hubei Province",68138,3,0,4512,63623,"2020-08-03"
"China","Hunan Province",1019,0,0,4,1015,"2020-08-03"
"China","Inner Mongolia Autonomous Region",258,13,34,1,244,"2020-08-03"
"China","Jiangsu Province",658,4,3,0,654,"2020-08-03"
"China","Jiangxi Province",932,0,0,1,931,"2020-08-03"
"China","Jilin Province",157,2,19,2,153,"2020-08-03"
"China","Liaoning Province",253,91,0,2,160,"2020-08-03"
"China","Macao Special Administrative Region",46,0,9,0,46,"2020-08-03"
"China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-08-03"
"China","Qinghai Province",18,0,0,0,18,"2020-08-03"
"China","Shaanxi Province",326,5,1,3,318,"2020-08-03"
"China","Shandong Province",804,11,14,7,786,"2020-08-03"
"China","Shanghai Municipality",749,17,393,7,725,"2020-08-03"
"China","Shanxi Province",201,0,64,0,201,"2020-08-03"
"China","Sichuan Province",608,8,13,3,597,"2020-08-03"
"China","Taiwan Province",475,27,371,7,441,"2020-08-03"
"China","Tianjin Municipality",205,6,49,3,196,"2020-08-03"
"China","Tibet Autonomous Region",1,0,0,0,1,"2020-08-03"
"China","Xinjiang Uygur Autonomous Region",696,590,0,3,103,"2020-08-03"
"China","Yunnan Province",191,2,0,2,187,"2020-08-03"
"China","Zhejiang Province",1270,1,3,1,1268,"2020-08-03"
