"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",990,0,0,6,984,"2020-29MAR"
"18","China","Beijing Municipality",577,157,157,8,412,"2020-29MAR"
"38","China","Chongqing Municipality",579,3,1,6,570,"2020-29MAR"
"78","China","Fujian Province",340,44,0,1,295,"2020-29MAR"
"87","China","Gansu province",138,11,0,2,125,"2020-29MAR"
"102","China","Guangdong Province",1475,118,10,8,1349,"2020-29MAR"
"126","China","Guangxi Zhuang Autonomous Region",254,2,0,2,250,"2020-29MAR"
"141","China","Guizhou Province",147,1,0,2,144,"2020-29MAR"
"150","China","Hainan Province",168,0,0,6,162,"2020-29MAR"
"169","China","Hebei Province",319,3,0,6,310,"2020-29MAR"
"180","China","Heilongjiang Province",484,2,0,13,469,"2020-29MAR"
"193","China","Henan Province",1276,3,0,22,1251,"2020-29MAR"
"213","China","Hong Kong Special Administrative Region",641,525,21,4,112,"2020-29MAR"
"214","China","Hubei Province",67801,2049,0,3182,62570,"2020-29MAR"
"232","China","Hunan Province",1018,0,0,4,1014,"2020-29MAR"
"246","China","Inner Mongolia Autonomous Region",97,22,0,1,74,"2020-29MAR"
"259","China","Jiangsu Province",644,13,3,0,631,"2020-29MAR"
"272","China","Jiangxi Province",937,2,0,1,934,"2020-29MAR"
"284","China","Jilin Province",98,5,2,1,92,"2020-29MAR"
"295","China","Liaoning Province",136,10,0,2,124,"2020-29MAR"
"309","China","Macao Special Administrative Region",37,27,7,0,10,"2020-29MAR"
"310","China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-29MAR"
"317","China","Qinghai Province",18,0,0,0,18,"2020-29MAR"
"325","China","Shaanxi Province",253,8,1,3,242,"2020-29MAR"
"337","China","Shandong Province",773,13,14,7,753,"2020-29MAR"
"354","China","Shanghai Municipality",498,159,19,5,334,"2020-29MAR"
"373","China","Shanxi Province",136,3,1,0,133,"2020-29MAR"
"384","China","Sichuan Province",550,11,2,3,536,"2020-29MAR"
"405","China","Taiwan Province",298,266,0,2,30,"2020-29MAR"
"406","China","Tianjin Municipality",166,30,25,3,133,"2020-29MAR"
"423","China","Tibet Autonomous Region",1,0,0,0,1,"2020-29MAR"
"430","China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-29MAR"
"453","China","Yunnan Province",180,6,0,2,172,"2020-29MAR"
"469","China","Zhejiang Province",1254,28,3,1,1225,"2020-29MAR"
