"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","8680","38"
"Hispanic/Latino","American Indian/Alaska Native","597","3"
"Hispanic/Latino","Asian","975","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","624","4"
"Hispanic/Latino","Other","59583","472"
"Hispanic/Latino","Unknown","36968","16"
"Hispanic/Latino","White","84228","857"
"Non-Hispanic/Latino","African-American/Black","489656","9234"
"Non-Hispanic/Latino","American Indian/Alaska Native","1091","22"
"Non-Hispanic/Latino","Asian","40669","471"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1313","17"
"Non-Hispanic/Latino","Other","34029","153"
"Non-Hispanic/Latino","Unknown","18921","15"
"Non-Hispanic/Latino","White","674395","16490"
"Unknown","African-American/Black","43467","19"
"Unknown","American Indian/Alaska Native","781","0"
"Unknown","Asian","7220","3"
"Unknown","Native Hawaiian/Pacific Islander","424","0"
"Unknown","Other","34941","18"
"Unknown","Unknown","275465","98"
"Unknown","White","53650","29"
