"sex","county name","cases","deaths","hospitalization"
"Female","Georgia","482640","8693","33311"
"Male","Georgia","414976","9848","31927"
"Unknown","Georgia","8520","3","147"
"Female","Appling","1062","27","97"
"Male","Appling","882","40","93"
"Female","Atkinson","435","9","64"
"Male","Atkinson","370","11","64"
"Female","Bacon","559","14","44"
"Male","Bacon","747","15","49"
"Female","Baker","88","2","15"
"Male","Baker","81","8","22"
"Female","Baldwin","2153","38","142"
"Male","Baldwin","1724","81","187"
"Unknown","Baldwin","18","0","0"
"Female","Banks","893","19","116"
"Male","Banks","766","17","88"
"Unknown","Banks","15","0","0"
"Female","Barrow","4837","68","328"
"Male","Barrow","4157","74","301"
"Unknown","Barrow","34","0","1"
"Female","Bartow","5996","102","410"
"Male","Bartow","5323","117","443"
"Unknown","Bartow","108","0","0"
"Female","Ben Hill","866","27","87"
"Male","Ben Hill","642","35","74"
"Unknown","Ben Hill","1","0","0"
"Female","Berrien","597","18","41"
"Male","Berrien","491","16","34"
"Unknown","Berrien","5","0","0"
"Female","Bibb","7769","210","973"
"Male","Bibb","5756","210","839"
"Unknown","Bibb","113","0","2"
"Female","Bleckley","469","17","25"
"Male","Bleckley","336","15","23"
"Unknown","Bleckley","6","0","1"
"Female","Brantley","525","17","48"
"Male","Brantley","448","19","38"
"Unknown","Brantley","1","0","0"
"Female","Brooks","559","14","50"
"Male","Brooks","403","24","41"
"Unknown","Brooks","4","0","0"
"Female","Bryan","1512","18","89"
"Male","Bryan","1331","20","100"
"Unknown","Bryan","13","0","0"
"Female","Bulloch","2960","36","126"
"Male","Bulloch","2287","26","100"
"Female","Burke","1010","24","89"
"Male","Burke","801","16","73"
"Unknown","Burke","10","0","1"
"Female","Butts","1108","37","56"
"Male","Butts","1176","46","84"
"Unknown","Butts","120","0","1"
"Female","Calhoun","226","11","37"
"Male","Calhoun","220","5","38"
"Unknown","Calhoun","2","0","0"
"Female","Camden","1795","18","81"
"Male","Camden","1569","15","68"
"Unknown","Camden","10","0","0"
"Female","Candler","431","14","34"
"Male","Candler","366","24","30"
"Female","Carroll","3986","63","163"
"Male","Carroll","3541","69","179"
"Unknown","Carroll","39","0","1"
"Female","Catoosa","3160","36","141"
"Male","Catoosa","2673","33","125"
"Unknown","Catoosa","86","0","3"
"Female","Charlton","469","11","37"
"Male","Charlton","830","17","31"
"Unknown","Charlton","2","0","0"
"Female","Chatham","11344","200","876"
