"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","689538","12049","46185"
"Male","Georgia","594019","13811","44012"
"Unknown","Georgia","9813","14","194"
"Female","Appling","1535","45","126"
"Male","Appling","1256","52","118"
"Unknown","Appling","18","0","0"
"Female","Atkinson","645","12","90"
"Male","Atkinson","541","20","91"
"Unknown","Atkinson","7","0","0"
"Female","Bacon","875","21","73"
"Male","Bacon","1086","31","87"
"Unknown","Bacon","4","0","1"
"Female","Baker","133","5","21"
"Male","Baker","111","8","23"
"Female","Baldwin","2948","58","170"
"Male","Baldwin","2345","114","227"
"Unknown","Baldwin","17","0","0"
"Female","Banks","1340","32","158"
"Male","Banks","1132","30","128"
"Unknown","Banks","14","1","1"
"Female","Barrow","7155","93","470"
"Male","Barrow","6189","102","412"
"Unknown","Barrow","54","0","1"
"Female","Bartow","8279","143","506"
"Male","Bartow","7383","177","544"
"Unknown","Bartow","117","0","2"
"Female","Ben Hill","1076","30","97"
"Male","Ben Hill","797","41","84"
"Unknown","Ben Hill","3","0","0"
"Female","Berrien","847","27","54"
"Male","Berrien","704","23","42"
"Unknown","Berrien","4","0","0"
"Female","Bibb","11573","307","1303"
"Male","Bibb","8750","284","1088"
"Unknown","Bibb","143","0","4"
"Female","Bleckley","625","22","34"
"Male","Bleckley","475","18","29"
"Unknown","Bleckley","6","0","1"
"Female","Brantley","1019","35","87"
"Male","Brantley","877","41","76"
"Unknown","Brantley","7","0","0"
"Female","Brooks","793","21","73"
"Male","Brooks","608","33","63"
"Unknown","Brooks","5","0","0"
"Female","Bryan","2439","25","148"
"Male","Bryan","2233","40","182"
"Unknown","Bryan","2","0","0"
"Female","Bulloch","4492","57","178"
"Male","Bulloch","3493","43","142"
"Unknown","Bulloch","16","0","0"
"Female","Burke","1281","25","105"
"Male","Burke","1025","24","91"
"Unknown","Burke","16","0","1"
"Female","Butts","1657","54","90"
"Male","Butts","1737","59","110"
"Unknown","Butts","33","0","1"
"Female","Calhoun","318","14","42"
"Male","Calhoun","298","7","48"
"Unknown","Calhoun","1","0","0"
"Female","Camden","3210","40","122"
"Male","Camden","2884","40","103"
"Unknown","Camden","4","0","0"
"Female","Candler","606","17","51"
"Male","Candler","506","32","34"
"Female","Carroll","5376","73","186"
"Male","Carroll","4827","88","205"
"Unknown","Carroll","43","0","2"
"Female","Catoosa","4566","52","161"
"Male","Catoosa","4001","46","156"
"Unknown","Catoosa","83","0","3"
"Female","Charlton","671","17","57"
"Male","Charlton","1075","26","51"
"Unknown","Charlton","4","0","0"
"Female","Chatham","18327","304","1385"
"Male","Chatham","15292","366","1309"
"Unknown","Chatham","12","0","0"
"Female","Chattahoochee","381","3","15"
"Male","Chattahoochee","5005","13","27"
"Unknown","Chattahoochee","17","0","0"
"Female","Chattooga","2022","44","118"
"Male","Chattooga","1722","47","140"
"Unknown","Chattooga","14","0","0"
"Female","Cherokee","16967","188","957"
"Male","Cherokee","15139","268","1089"
"Unknown","Cherokee","90","0","2"
"Female","Clarke","9889","75","415"
"Male","Clarke","7807","104","390"
"Unknown","Clarke","60","0","2"
"Female","Clay","137","1","7"
"Male","Clay","95","3","6"
"Unknown","Clay","2","0","0"
"Female","Clayton","20346","364","1237"
"Male","Clayton","15549","368","1055"
"Unknown","Clayton","175","1","1"
"Female","Clinch","512","15","44"
"Male","Clinch","497","19","42"
"Unknown","Clinch","3","0","0"
"Female","Cobb","46594","597","2129"
"Male","Cobb","40516","721","2164"
"Unknown","Cobb","380","0","6"
"Female","Coffee","3462","101","507"
"Male","Coffee","2878","91","405"
"Unknown","Coffee","31","0","0"
"Female","Colquitt","2882","57","171"
"Male","Colquitt","2673","78","180"
"Unknown","Colquitt","18","0","0"
"Female","Columbia","7887","104","336"
"Male","Columbia","7001","154","347"
"Unknown","Columbia","41","0","0"
"Female","Cook","945","24","69"
"Male","Cook","732","29","60"
"Unknown","Cook","4","0","0"
"Female","Coweta","6878","148","447"
"Male","Coweta","6279","201","439"
"Unknown","Coweta","44","0","0"
"Female","Crawford","451","18","55"
"Male","Crawford","380","22","55"
"Unknown","Crawford","4","0","0"
"Female","Crisp","1056","31","110"
"Male","Crisp","788","34","76"
"Unknown","Crisp","22","0","0"
"Female","Dade","964","10","34"
"Male","Dade","890","8","38"
"Unknown","Dade","19","0","0"
"Female","Dawson","2263","32","166"
"Male","Dawson","1977","43","185"
"Unknown","Dawson","28","0","0"
"Female","DeKalb","44712","596","3495"
"Male","DeKalb","36648","656","3063"
"Unknown","DeKalb","724","0","12"
"Female","Decatur","1988","35","125"
"Male","Decatur","1482","44","99"
"Unknown","Decatur","18","0","0"
"Female","Dodge","817","28","65"
"Male","Dodge","707","35","60"
"Unknown","Dodge","12","0","0"
"Female","Dooly","580","17","52"
"Male","Dooly","499","21","52"
"Unknown","Dooly","9","0","0"
"Female","Dougherty","5337","208","786"
"Male","Dougherty","3788","182","575"
"Unknown","Dougherty","56","1","2"
"Female","Douglas","9809","122","616"
"Male","Douglas","8111","129","524"
"Unknown","Douglas","64","0","2"
"Female","Early","910","30","67"
"Male","Early","630","23","38"
"Unknown","Early","7","0","0"
"Female","Echols","169","1","3"
"Male","Echols","244","4","12"
"Unknown","Echols","2","0","0"
"Female","Effingham","3757","65","252"
"Male","Effingham","3343","88","256"
"Unknown","Effingham","2","0","0"
"Female","Elbert","1205","35","116"
"Male","Elbert","870","36","71"
"Unknown","Elbert","9","0","3"
"Female","Emanuel","1531","42","110"
"Male","Emanuel","1157","30","64"
"Unknown","Emanuel","13","1","0"
"Female","Evans","631","16","68"
"Male","Evans","493","20","40"
"Unknown","Evans","2","0","0"
"Female","Fannin","1757","36","123"
"Male","Fannin","1528","59","152"
"Unknown","Fannin","5","0","0"
"Female","Fayette","5248","97","307"
"Male","Fayette","4779","124","344"
"Unknown","Fayette","43","0","0"
"Female","Floyd","8501","135","595"
"Male","Floyd","7214","181","624"
"Unknown","Floyd","102","0","2"
"Female","Forsyth","13950","113","582"
"Male","Forsyth","13182","166","716"
"Unknown","Forsyth","696","0","0"
"Female","Franklin","1844","26","118"
"Male","Franklin","1499","42","105"
"Unknown","Franklin","16","0","0"
"Female","Fulton","60917","807","4004"
"Male","Fulton","53147","886","3653"
"Unknown","Fulton","544","0","24"
"Female","Gilmer","1948","53","172"
"Male","Gilmer","1616","67","173"
"Unknown","Gilmer","21","0","0"
"Female","Glascock","89","3","11"
"Male","Glascock","89","4","17"
"Unknown","Glascock","9","0","0"
"Female","Glynn","6663","139","340"
"Male","Glynn","5814","166","337"
"Unknown","Glynn","2","0","0"
"Female","Gordon","4667","79","211"
"Male","Gordon","4106","101","221"
"Unknown","Gordon","100","0","1"
"Female","Grady","1376","29","125"
"Male","Grady","1048","38","115"
"Unknown","Grady","18","0","0"
"Female","Greene","1197","29","90"
"Male","Greene","1037","35","113"
"Unknown","Greene","4","0","0"
"Female","Gwinnett","60907","661","3341"
"Male","Gwinnett","53543","775","3145"
"Unknown","Gwinnett","775","0","2"
"Female","Habersham","3577","92","311"
"Male","Habersham","2971","102","334"
"Unknown","Habersham","31","1","1"
"Female","Hall","18484","290","1563"
"Male","Hall","16255","346","1652"
"Unknown","Hall","238","1","0"
"Female","Hancock","507","31","59"
"Male","Hancock","502","44","64"
"Unknown","Hancock","4","0","0"
"Female","Haralson","1259","26","56"
"Male","Haralson","1143","21","40"
"Unknown","Haralson","19","0","0"
"Female","Harris","1695","39","121"
"Male","Harris","1529","47","132"
"Unknown","Harris","38","0","0"
"Female","Hart","1316","25","87"
"Male","Hart","1024","25","81"
"Unknown","Hart","11","0","0"
"Female","Heard","549","17","29"
"Male","Heard","498","9","42"
"Unknown","Heard","4","0","0"
"Female","Henry","16352","220","727"
"Male","Henry","13334","266","617"
"Unknown","Henry","69","0","0"
"Female","Houston","8879","139","555"
"Male","Houston","7320","155","536"
"Unknown","Houston","73","0","2"
"Female","Irwin","442","14","51"
"Male","Irwin","464","8","43"
"Unknown","Irwin","2","0","0"
"Female","Jackson","6987","93","407"
"Male","Jackson","6100","120","439"
"Unknown","Jackson","69","0","2"
"Female","Jasper","560","14","60"
"Male","Jasper","491","18","48"
"Unknown","Jasper","4","0","0"
"Female","Jeff Davis","970","17","54"
"Male","Jeff Davis","844","27","68"
"Unknown","Jeff Davis","4","0","0"
"Female","Jefferson","1056","32","100"
"Male","Jefferson","798","37","88"
"Unknown","Jefferson","12","0","1"
"Female","Jenkins","521","18","43"
"Male","Jenkins","375","24","51"
"Unknown","Jenkins","2","1","1"
"Female","Johnson","498","22","57"
"Male","Johnson","523","30","58"
"Unknown","Johnson","5","0","1"
"Female","Jones","1476","36","135"
"Male","Jones","1162","54","137"
"Unknown","Jones","9","0","0"
"Female","Lamar","1284","34","93"
"Male","Lamar","1037","50","100"
"Unknown","Lamar","3","0","0"
"Female","Lanier","379","5","15"
"Male","Lanier","403","7","21"
"Unknown","Lanier","5","0","0"
"Female","Laurens","3339","88","208"
"Male","Laurens","2538","119","219"
"Unknown","Laurens","28","0","0"
"Female","Lee","1470","37","163"
"Male","Lee","1180","37","146"
"Unknown","Lee","12","0","0"
"Female","Liberty","3431","43","175"
"Male","Liberty","3243","55","158"
