"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","4510","31"
"Hispanic/Latino","American Indian/Alaska Native","275","1"
"Hispanic/Latino","Asian","436","5"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","331","4"
"Hispanic/Latino","Other","43047","378"
"Hispanic/Latino","Unknown","19888","7"
"Hispanic/Latino","White","56851","687"
"Non-Hispanic/Latino","African-American/Black","309633","7397"
"Non-Hispanic/Latino","American Indian/Alaska Native","603","19"
"Non-Hispanic/Latino","Asian","21804","399"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","897","11"
"Non-Hispanic/Latino","Other","20294","145"
"Non-Hispanic/Latino","Unknown","10806","6"
"Non-Hispanic/Latino","White","448822","12771"
"Unknown","African-American/Black","30122","21"
"Unknown","American Indian/Alaska Native","235","0"
"Unknown","Asian","5023","2"
"Unknown","Native Hawaiian/Pacific Islander","206","0"
"Unknown","Other","28695","11"
"Unknown","Unknown","158931","55"
"Unknown","White","45615","41"
