"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","44452","7","639"
"05-09 years","Georgia","76074","5","446"
"10-17 years","Georgia","185825","20","1604"
"18-29 years","Georgia","419280","267","8151"
"30-39 years","Georgia","329816","699","9995"
"40-49 years","Georgia","296305","1536","13314"
"50-59 years","Georgia","264238","3716","19503"
"60-69 years","Georgia","174394","6714","22291"
"70-79 years","Georgia","96247","8683","20363"
"80 & Older years","Georgia","50403","9976","15010"
"<1 years","Georgia","14509","4","666"
"Unknown years","Georgia","3687","0","356"
"01-04 years","Appling","77","0","0"
"05-09 years","Appling","124","0","0"
"10-17 years","Appling","415","1","3"
"18-29 years","Appling","637","1","8"
"30-39 years","Appling","499","4","10"
"40-49 years","Appling","486","10","31"
"50-59 years","Appling","484","12","48"
"60-69 years","Appling","403","24","74"
"70-79 years","Appling","276","27","56"
"80 & Older years","Appling","136","34","45"
"<1 years","Appling","15","0","0"
"01-04 years","Atkinson","36","1","3"
"05-09 years","Atkinson","73","0","1"
"10-17 years","Atkinson","190","0","2"
"18-29 years","Atkinson","321","0","17"
"30-39 years","Atkinson","239","0","16"
"40-49 years","Atkinson","230","4","38"
"50-59 years","Atkinson","215","5","39"
"60-69 years","Atkinson","147","9","49"
"70-79 years","Atkinson","77","10","31"
"80 & Older years","Atkinson","35","12","23"
"<1 years","Atkinson","12","0","1"
"01-04 years","Bacon","55","0","1"
"05-09 years","Bacon","77","0","1"
"10-17 years","Bacon","227","0","1"
"18-29 years","Bacon","641","0","13"
"30-39 years","Bacon","382","1","12"
"40-49 years","Bacon","377","5","25"
"50-59 years","Bacon","288","5","30"
"60-69 years","Bacon","232","20","51"
"70-79 years","Bacon","165","18","49"
"80 & Older years","Bacon","81","16","28"
"<1 years","Bacon","17","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","12","0","0"
"05-09 years","Baker","21","0","0"
"10-17 years","Baker","22","0","0"
"18-29 years","Baker","58","0","0"
"30-39 years","Baker","36","0","4"
"40-49 years","Baker","36","3","3"
"50-59 years","Baker","40","0","5"
"60-69 years","Baker","46","3","17"
"70-79 years","Baker","24","3","11"
"80 & Older years","Baker","17","5","6"
"<1 years","Baker","3","0","0"
"01-04 years","Baldwin","118","0","2"
"05-09 years","Baldwin","248","0","0"
"10-17 years","Baldwin","567","1","5"
"18-29 years","Baldwin","2035","0","22"
"30-39 years","Baldwin","1032","2","21"
"40-49 years","Baldwin","973","7","47"
"50-59 years","Baldwin","926","24","83"
"60-69 years","Baldwin","715","44","100"
"70-79 years","Baldwin","436","52","78"
"80 & Older years","Baldwin","238","70","80"
"<1 years","Baldwin","39","0","3"
"Unknown years","Baldwin","1","0","0"
"01-04 years","Banks","47","0","2"
"05-09 years","Banks","94","0","1"
"10-17 years","Banks","255","0","5"
"18-29 years","Banks","659","1","24"
"30-39 years","Banks","501","0","22"
"40-49 years","Banks","498","8","33"
"50-59 years","Banks","509","9","48"
"60-69 years","Banks","402","17","78"
"70-79 years","Banks","285","30","89"
"80 & Older years","Banks","126","20","43"
"<1 years","Banks","27","0","2"
"Unknown years","Banks","13","0","1"
"01-04 years","Barrow","395","0","2"
"05-09 years","Barrow","702","0","3"
"10-17 years","Barrow","1946","1","17"
"18-29 years","Barrow","3808","2","74"
"30-39 years","Barrow","3425","3","95"
