"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9653","50"
"Hispanic/Latino","American Indian/Alaska Native","566","2"
"Hispanic/Latino","Asian","1157","5"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","681","4"
"Hispanic/Latino","Other","62843","504"
"Hispanic/Latino","Unknown","35873","10"
"Hispanic/Latino","White","92422","977"
"Non-Hispanic/Latino","African-American/Black","538217","10432"
"Non-Hispanic/Latino","American Indian/Alaska Native","1078","29"
"Non-Hispanic/Latino","Asian","47210","536"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1486","17"
"Non-Hispanic/Latino","Other","35409","91"
"Non-Hispanic/Latino","Unknown","15494","6"
"Non-Hispanic/Latino","White","744483","18836"
"Unknown","African-American/Black","38538","7"
"Unknown","American Indian/Alaska Native","459","0"
"Unknown","Asian","7125","2"
"Unknown","Native Hawaiian/Pacific Islander","400","0"
"Unknown","Other","33147","7"
"Unknown","Unknown","239755","91"
"Unknown","White","49234","21"
