"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9041","43"
"Hispanic/Latino","American Indian/Alaska Native","600","3"
"Hispanic/Latino","Asian","1040","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","640","4"
"Hispanic/Latino","Other","60067","484"
"Hispanic/Latino","Unknown","37419","8"
"Hispanic/Latino","White","86634","907"
"Non-Hispanic/Latino","African-American/Black","500513","9686"
"Non-Hispanic/Latino","American Indian/Alaska Native","1113","29"
"Non-Hispanic/Latino","Asian","42787","498"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1353","15"
"Non-Hispanic/Latino","Other","34243","142"
"Non-Hispanic/Latino","Unknown","18900","7"
"Non-Hispanic/Latino","White","693004","17451"
"Unknown","African-American/Black","44023","14"
"Unknown","American Indian/Alaska Native","728","0"
"Unknown","Asian","7407","2"
"Unknown","Native Hawaiian/Pacific Islander","421","0"
"Unknown","Other","33909","9"
"Unknown","Unknown","278605","103"
"Unknown","White","54760","33"
