"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","6366","36"
"Hispanic/Latino","American Indian/Alaska Native","313","2"
"Hispanic/Latino","Asian","640","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","414","4"
"Hispanic/Latino","Other","49423","453"
"Hispanic/Latino","Unknown","25511","14"
"Hispanic/Latino","White","67525","833"
"Non-Hispanic/Latino","African-American/Black","393086","8844"
"Non-Hispanic/Latino","American Indian/Alaska Native","765","23"
"Non-Hispanic/Latino","Asian","28473","445"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1058","17"
"Non-Hispanic/Latino","Other","23389","99"
"Non-Hispanic/Latino","Unknown","10332","12"
"Non-Hispanic/Latino","White","545572","15511"
"Unknown","African-American/Black","30804","15"
"Unknown","American Indian/Alaska Native","243","0"
"Unknown","Asian","5231","2"
"Unknown","Native Hawaiian/Pacific Islander","253","0"
"Unknown","Other","29608","13"
"Unknown","Unknown","157833","75"
"Unknown","White","43195","24"
