Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,690,12
Hispanic/Latino,American Indian/Alaska Native,54,1
Hispanic/Latino,Asian,70,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,79,0
Hispanic/Latino,Other,12112,134
Hispanic/Latino,Unknown,5020,4
Hispanic/Latino,White,16060,185
Non-Hispanic/Latino,African-American/Black,57661,2340
Non-Hispanic/Latino,American Indian/Alaska Native,108,6
Non-Hispanic/Latino,Asian,2751,101
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,156,6
Non-Hispanic/Latino,Other,2754,16
Non-Hispanic/Latino,Unknown,2196,26
Non-Hispanic/Latino,White,58894,2643
Unknown,African-American/Black,11109,24
Unknown,American Indian/Alaska Native,52,0
Unknown,Asian,971,0
Unknown,Native Hawaiian/Pacific Islander,120,1
Unknown,Other,4638,5
Unknown,Unknown,79757,54
Unknown,White,12506,18
