Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,839,14
Hispanic/Latino,American Indian/Alaska Native,56,1
Hispanic/Latino,Asian,86,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,93,0
Hispanic/Latino,Other,14016,155
Hispanic/Latino,Unknown,5507,6
Hispanic/Latino,White,18633,241
Non-Hispanic/Latino,African-American/Black,66940,2739
Non-Hispanic/Latino,American Indian/Alaska Native,129,6
Non-Hispanic/Latino,Asian,3636,121
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,200,6
Non-Hispanic/Latino,Other,3468,18
Non-Hispanic/Latino,Unknown,2753,25
Non-Hispanic/Latino,White,76759,3211
Unknown,African-American/Black,12268,21
Unknown,American Indian/Alaska Native,54,0
Unknown,Asian,1155,1
Unknown,Native Hawaiian/Pacific Islander,82,0
Unknown,Other,5093,8
Unknown,Unknown,81068,78
Unknown,White,15386,26
