"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","1018088","13095","53797"
"Male","Georgia","847196","15080","50611"
"Unknown","Georgia","14927","16","322"
"Female","Appling","1892","50","133"
"Male","Appling","1574","52","126"
"Unknown","Appling","14","0","0"
"Female","Atkinson","817","12","97"
"Male","Atkinson","668","20","95"
"Unknown","Atkinson","5","0","0"
"Female","Bacon","1186","23","93"
"Male","Bacon","1297","32","100"
"Unknown","Bacon","6","0","0"
"Female","Baker","168","5","22"
"Male","Baker","139","8","23"
"Unknown","Baker","2","0","0"
"Female","Baldwin","4033","60","180"
"Male","Baldwin","3149","118","240"
"Unknown","Baldwin","26","0","0"
"Female","Banks","1773","35","168"
"Male","Banks","1486","36","143"
"Unknown","Banks","15","0","1"
"Female","Barrow","10384","103","514"
"Male","Barrow","8701","116","443"
"Unknown","Barrow","70","0","1"
"Female","Bartow","11311","167","579"
"Male","Bartow","9695","201","595"
"Unknown","Bartow","115","1","1"
"Female","Ben Hill","1229","31","99"
"Male","Ben Hill","912","41","86"
"Unknown","Ben Hill","5","0","0"
"Female","Berrien","1089","27","57"
"Male","Berrien","885","24","48"
"Unknown","Berrien","6","0","0"
"Female","Bibb","16090","318","1428"
"Male","Bibb","11886","306","1206"
"Unknown","Bibb","287","0","3"
"Female","Bleckley","832","23","37"
"Male","Bleckley","601","18","31"
"Unknown","Bleckley","11","0","0"
"Female","Brantley","1324","37","93"
"Male","Brantley","1103","45","85"
"Unknown","Brantley","7","0","0"
"Female","Brooks","1032","23","80"
"Male","Brooks","801","36","65"
"Unknown","Brooks","6","0","0"
"Female","Bryan","3461","26","169"
"Male","Bryan","3171","41","200"
"Unknown","Bryan","5","0","0"
"Female","Bulloch","5854","58","191"
"Male","Bulloch","4553","45","159"
"Unknown","Bulloch","34","0","0"
"Female","Burke","1614","26","112"
"Male","Burke","1304","28","106"
"Unknown","Burke","11","0","1"
"Female","Butts","2288","58","110"
"Male","Butts","2331","68","135"
"Unknown","Butts","36","0","0"
"Female","Calhoun","395","14","45"
"Male","Calhoun","563","7","54"
"Unknown","Calhoun","15","0","1"
"Female","Camden","4481","44","126"
"Male","Camden","3788","46","111"
"Unknown","Camden","52","0","0"
"Female","Candler","707","17","54"
"Male","Candler","594","34","37"
"Unknown","Candler","1","0","0"
"Female","Carroll","7577","77","203"
"Male","Carroll","6538","90","219"
"Unknown","Carroll","64","0","6"
"Female","Catoosa","6363","60","190"
"Male","Catoosa","5535","52","185"
"Unknown","Catoosa","112","1","4"
"Female","Charlton","845","18","61"
"Male","Charlton","1246","26","52"
"Unknown","Charlton","19","0","0"
