"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","41244","3","526"
"05-09 years","Georgia","72091","5","405"
"10-17 years","Georgia","179138","17","1492"
"18-29 years","Georgia","404615","248","7672"
"30-39 years","Georgia","317206","640","9447"
"40-49 years","Georgia","285436","1409","12677"
"50-59 years","Georgia","254282","3350","18361"
"60-69 years","Georgia","166571","5959","20631"
"70-79 years","Georgia","91319","7675","18794"
"80 & Older years","Georgia","47998","8884","13900"
"<1 years","Georgia","13743","1","613"
"Unknown years","Georgia","6568","0","212"
"01-04 years","Appling","74","0","0"
"05-09 years","Appling","125","0","0"
"10-17 years","Appling","413","0","3"
"18-29 years","Appling","627","1","8"
"30-39 years","Appling","487","3","10"
"40-49 years","Appling","473","9","29"
"50-59 years","Appling","474","11","44"
"60-69 years","Appling","390","22","72"
"70-79 years","Appling","263","25","51"
"80 & Older years","Appling","134","31","42"
"<1 years","Appling","15","0","0"
"Unknown years","Appling","5","0","0"
"01-04 years","Atkinson","34","0","2"
"05-09 years","Atkinson","69","0","1"
"10-17 years","Atkinson","179","0","2"
"18-29 years","Atkinson","311","0","16"
"30-39 years","Atkinson","231","0","15"
"40-49 years","Atkinson","216","4","35"
"50-59 years","Atkinson","208","5","37"
"60-69 years","Atkinson","139","7","43"
"70-79 years","Atkinson","68","8","26"
"80 & Older years","Atkinson","27","8","15"
"<1 years","Atkinson","8","0","0"
"01-04 years","Bacon","53","0","1"
"05-09 years","Bacon","76","0","0"
"10-17 years","Bacon","228","0","1"
"18-29 years","Bacon","625","0","10"
"30-39 years","Bacon","366","1","13"
"40-49 years","Bacon","373","5","24"
"50-59 years","Bacon","281","3","27"
"60-69 years","Bacon","240","18","50"
"70-79 years","Bacon","154","14","45"
"80 & Older years","Bacon","73","14","22"
"<1 years","Bacon","18","0","0"
"Unknown years","Bacon","2","0","0"
"01-04 years","Baker","12","0","0"
"05-09 years","Baker","21","0","0"
"10-17 years","Baker","22","0","0"
"18-29 years","Baker","55","0","0"
"30-39 years","Baker","34","0","4"
"40-49 years","Baker","35","3","3"
"50-59 years","Baker","39","0","4"
"60-69 years","Baker","46","3","17"
"70-79 years","Baker","24","3","11"
"80 & Older years","Baker","16","4","6"
"<1 years","Baker","3","0","0"
"Unknown years","Baker","2","0","0"
"01-04 years","Baldwin","117","0","2"
"05-09 years","Baldwin","245","0","0"
"10-17 years","Baldwin","559","1","5"
"18-29 years","Baldwin","2006","0","22"
"30-39 years","Baldwin","1019","2","20"
"40-49 years","Baldwin","957","6","46"
"50-59 years","Baldwin","906","22","80"
"60-69 years","Baldwin","697","40","94"
"70-79 years","Baldwin","428","44","72"
"80 & Older years","Baldwin","231","63","76"
"<1 years","Baldwin","38","0","3"
"Unknown years","Baldwin","5","0","0"
"01-04 years","Banks","46","0","2"
"05-09 years","Banks","85","0","1"
"10-17 years","Banks","245","0","5"
"18-29 years","Banks","639","0","21"
"30-39 years","Banks","471","0","21"
"40-49 years","Banks","480","6","31"
"50-59 years","Banks","486","6","41"
"60-69 years","Banks","386","16","71"
"70-79 years","Banks","267","26","78"
"80 & Older years","Banks","114","17","37"
"<1 years","Banks","27","0","3"
"Unknown years","Banks","28","0","1"
"01-04 years","Barrow","377","0","1"
"05-09 years","Barrow","676","0","3"
"10-17 years","Barrow","1892","1","15"
"18-29 years","Barrow","3748","1","66"
"30-39 years","Barrow","3363","3","90"
"40-49 years","Barrow","3181","14","120"
"50-59 years","Barrow","2647","22","179"
"60-69 years","Barrow","1714","49","194"
"70-79 years","Barrow","963","61","150"
"80 & Older years","Barrow","423","68","127"
"<1 years","Barrow","150","0","11"
"Unknown years","Barrow","21","0","2"
"01-04 years","Bartow","443","0","14"
"05-09 years","Bartow","668","0","4"
"10-17 years","Bartow","1985","0","17"
"18-29 years","Bartow","4068","0","39"
"30-39 years","Bartow","3327","7","70"
"40-49 years","Bartow","3195","11","128"
"50-59 years","Bartow","3273","38","229"
"60-69 years","Bartow","2057","92","240"
"70-79 years","Bartow","1262","116","262"
"80 & Older years","Bartow","598","105","161"
"<1 years","Bartow","189","0","8"
"Unknown years","Bartow","56","0","3"
"01-04 years","Ben Hill","43","0","1"
"05-09 years","Ben Hill","41","0","0"
"10-17 years","Ben Hill","177","0","0"
"18-29 years","Ben Hill","426","0","5"
"30-39 years","Ben Hill","338","3","13"
"40-49 years","Ben Hill","294","2","16"
"50-59 years","Ben Hill","306","8","34"
"60-69 years","Ben Hill","259","17","37"
"70-79 years","Ben Hill","170","22","56"
"80 & Older years","Ben Hill","78","20","21"
"<1 years","Ben Hill","14","0","2"
"01-04 years","Berrien","59","0","1"
"05-09 years","Berrien","70","0","0"
"10-17 years","Berrien","192","0","1"
"18-29 years","Berrien","375","0","0"
"30-39 years","Berrien","318","0","5"
"40-49 years","Berrien","244","1","8"
"50-59 years","Berrien","275","6","24"
"60-69 years","Berrien","209","11","29"
"70-79 years","Berrien","145","18","22"
"80 & Older years","Berrien","73","15","15"
"<1 years","Berrien","18","0","0"
"Unknown years","Berrien","2","0","0"
"01-04 years","Bibb","479","0","8"
"05-09 years","Bibb","885","0","4"
"10-17 years","Bibb","2166","0","15"
"18-29 years","Bibb","6387","4","144"
"30-39 years","Bibb","4838","11","204"
"40-49 years","Bibb","4287","28","325"
"50-59 years","Bibb","3817","64","448"
"60-69 years","Bibb","2847","144","590"
"70-79 years","Bibb","1550","173","494"
"80 & Older years","Bibb","867","200","396"
"<1 years","Bibb","131","0","8"
"Unknown years","Bibb","9","0","1"
"01-04 years","Bleckley","23","0","0"
"05-09 years","Bleckley","60","0","0"
"10-17 years","Bleckley","168","0","1"
"18-29 years","Bleckley","336","0","6"
"30-39 years","Bleckley","208","1","5"
"40-49 years","Bleckley","188","1","2"
"50-59 years","Bleckley","173","4","9"
"60-69 years","Bleckley","125","9","15"
"70-79 years","Bleckley","85","8","15"
"80 & Older years","Bleckley","67","18","15"
"<1 years","Bleckley","10","0","0"
"Unknown years","Bleckley","1","0","0"
"01-04 years","Brantley","50","0","0"
"05-09 years","Brantley","90","0","0"
"10-17 years","Brantley","264","0","1"
"18-29 years","Brantley","474","0","6"
"30-39 years","Brantley","354","3","8"
"40-49 years","Brantley","332","5","20"
"50-59 years","Brantley","360","18","36"
"60-69 years","Brantley","253","16","42"
"70-79 years","Brantley","171","25","46"
"80 & Older years","Brantley","70","15","19"
"<1 years","Brantley","9","0","0"
"Unknown years","Brantley","7","0","0"
"01-04 years","Brooks","50","0","1"
"05-09 years","Brooks","70","0","0"
"10-17 years","Brooks","161","0","0"
"18-29 years","Brooks","329","0","4"
"30-39 years","Brooks","268","1","10"
"40-49 years","Brooks","249","2","17"
"50-59 years","Brooks","277","7","33"
"60-69 years","Brooks","175","12","29"
"70-79 years","Brooks","150","17","28"
"80 & Older years","Brooks","87","20","23"
"<1 years","Brooks","22","0","0"
"Unknown years","Brooks","1","0","0"
"01-04 years","Bryan","199","0","0"
"05-09 years","Bryan","324","0","2"
"10-17 years","Bryan","818","0","4"
"18-29 years","Bryan","1298","1","20"
"30-39 years","Bryan","1167","4","30"
"40-49 years","Bryan","1105","5","52"
"50-59 years","Bryan","768","8","56"
"60-69 years","Bryan","480","18","66"
"70-79 years","Bryan","275","19","99"
"80 & Older years","Bryan","106","12","35"
"<1 years","Bryan","80","0","5"
"Unknown years","Bryan","17","0","0"
"01-04 years","Bulloch","260","0","1"
"05-09 years","Bulloch","448","0","1"
"10-17 years","Bulloch","1092","0","3"
"18-29 years","Bulloch","3774","1","18"
"30-39 years","Bulloch","1491","5","32"
"40-49 years","Bulloch","1129","7","41"
"50-59 years","Bulloch","1009","19","64"
"60-69 years","Bulloch","655","24","76"
"70-79 years","Bulloch","325","28","64"
"80 & Older years","Bulloch","156","19","45"
"<1 years","Bulloch","100","0","5"
"Unknown years","Bulloch","2","0","0"
"01-04 years","Burke","55","0","0"
"05-09 years","Burke","105","0","0"
"10-17 years","Burke","269","0","3"
"18-29 years","Burke","576","2","15"
"30-39 years","Burke","467","2","19"
"40-49 years","Burke","467","5","26"
"50-59 years","Burke","416","6","39"
"60-69 years","Burke","334","10","51"
"70-79 years","Burke","164","16","45"
"80 & Older years","Burke","53","13","21"
"<1 years","Burke","19","0","0"
"Unknown years","Burke","4","0","0"
"01-04 years","Butts","90","0","3"
"05-09 years","Butts","117","0","0"
"10-17 years","Butts","349","0","6"
"18-29 years","Butts","878","0","11"
"30-39 years","Butts","787","1","12"
"40-49 years","Butts","697","5","27"
"50-59 years","Butts","721","18","55"
"60-69 years","Butts","481","24","57"
"70-79 years","Butts","310","36","54"
"80 & Older years","Butts","185","42","17"
"<1 years","Butts","38","0","3"
"Unknown years","Butts","2","0","0"
"01-04 years","Calhoun","28","0","0"
"05-09 years","Calhoun","23","0","0"
"10-17 years","Calhoun","71","0","1"
"18-29 years","Calhoun","170","0","9"
"30-39 years","Calhoun","174","3","8"
"40-49 years","Calhoun","162","1","11"
"50-59 years","Calhoun","146","4","21"
"60-69 years","Calhoun","114","4","27"
"70-79 years","Calhoun","46","7","12"
"80 & Older years","Calhoun","32","2","11"
"<1 years","Calhoun","6","0","0"
"Unknown years","Calhoun","1","0","0"
"01-04 years","Camden","221","0","0"
"05-09 years","Camden","354","0","2"
"10-17 years","Camden","874","0","2"
"18-29 years","Camden","1829","0","12"
"30-39 years","Camden","1496","3","26"
"40-49 years","Camden","1046","10","30"
"50-59 years","Camden","1098","14","39"
"60-69 years","Camden","744","26","57"
"70-79 years","Camden","412","14","37"
"80 & Older years","Camden","165","23","30"
"<1 years","Camden","41","0","2"
"Unknown years","Camden","41","0","0"
"01-04 years","Candler","23","0","0"
"05-09 years","Candler","47","0","0"
"10-17 years","Candler","127","0","0"
"18-29 years","Candler","230","0","2"
"30-39 years","Candler","191","0","7"
"40-49 years","Candler","186","5","4"
"50-59 years","Candler","207","13","20"
"60-69 years","Candler","141","10","20"
"70-79 years","Candler","103","15","23"
"80 & Older years","Candler","36","8","15"
"<1 years","Candler","11","0","0"
"01-04 years","Carroll","278","0","3"
"05-09 years","Carroll","457","0","4"
"10-17 years","Carroll","1436","0","7"
"18-29 years","Carroll","3246","1","23"
"30-39 years","Carroll","2283","4","28"
"40-49 years","Carroll","2038","10","49"
"50-59 years","Carroll","1929","17","68"
"60-69 years","Carroll","1289","34","105"
"70-79 years","Carroll","729","41","81"
"80 & Older years","Carroll","378","60","56"
"<1 years","Carroll","103","0","2"
"Unknown years","Carroll","13","0","2"
"01-04 years","Catoosa","252","0","1"
"05-09 years","Catoosa","439","0","2"
"10-17 years","Catoosa","1220","0","2"
"18-29 years","Catoosa","2278","1","16"
"30-39 years","Catoosa","1852","2","17"
"40-49 years","Catoosa","1856","4","38"
"50-59 years","Catoosa","1698","13","63"
"60-69 years","Catoosa","1157","16","81"
"70-79 years","Catoosa","693","31","91"
"80 & Older years","Catoosa","444","46","64"
"<1 years","Catoosa","82","0","1"
"Unknown years","Catoosa","39","0","3"
"01-04 years","Charlton","30","0","0"
"05-09 years","Charlton","62","0","0"
"10-17 years","Charlton","137","0","0"
"18-29 years","Charlton","491","1","4"
"30-39 years","Charlton","407","2","6"
"40-49 years","Charlton","328","3","14"
"50-59 years","Charlton","251","5","13"
"60-69 years","Charlton","223","12","32"
"70-79 years","Charlton","120","11","26"
"80 & Older years","Charlton","46","10","18"
"<1 years","Charlton","12","0","0"
"Unknown years","Charlton","3","0","0"
"01-04 years","Chatham","1741","0","13"
"05-09 years","Chatham","2750","1","6"
"10-17 years","Chatham","5316","0","34"
"18-29 years","Chatham","12119","7","194"
"30-39 years","Chatham","9219","26","283"
"40-49 years","Chatham","6767","43","346"
"50-59 years","Chatham","5678","89","482"
"60-69 years","Chatham","4170","150","626"
"70-79 years","Chatham","2122","183","575"
"80 & Older years","Chatham","1137","219","479"
"<1 years","Chatham","616","0","16"
"Unknown years","Chatham","105","0","2"
"01-04 years","Chattahoochee","26","0","0"
"05-09 years","Chattahoochee","51","0","0"
"10-17 years","Chattahoochee","215","0","2"
"18-29 years","Chattahoochee","4787","7","10"
"30-39 years","Chattahoochee","513","2","6"
"40-49 years","Chattahoochee","124","1","1"
"50-59 years","Chattahoochee","69","1","11"
"60-69 years","Chattahoochee","43","1","7"
