"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","8776","39"
"Hispanic/Latino","American Indian/Alaska Native","600","4"
"Hispanic/Latino","Asian","989","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","627","4"
"Hispanic/Latino","Other","59749","473"
"Hispanic/Latino","Unknown","37148","16"
"Hispanic/Latino","White","84796","858"
"Non-Hispanic/Latino","African-American/Black","492203","9297"
"Non-Hispanic/Latino","American Indian/Alaska Native","1095","22"
"Non-Hispanic/Latino","Asian","41179","472"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1321","17"
"Non-Hispanic/Latino","Other","34258","170"
"Non-Hispanic/Latino","Unknown","18962","15"
"Non-Hispanic/Latino","White","679046","16629"
"Unknown","African-American/Black","43667","19"
"Unknown","American Indian/Alaska Native","772","0"
"Unknown","Asian","7253","3"
"Unknown","Native Hawaiian/Pacific Islander","425","0"
"Unknown","Other","34641","19"
"Unknown","Unknown","278662","101"
"Unknown","White","54042","30"
