"","X","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"67",129,"China","Guangxi Zhuang Autonomous Region","Baise",2,0,0,0,0,"2020-26JAN"
"68",130,"China","Guangxi Zhuang Autonomous Region","Beihai",9,0,0,0,0,"2020-26JAN"
"69",131,"China","Guangxi Zhuang Autonomous Region","Chongzuo",0,0,0,0,0,"2020-26JAN"
"70",132,"China","Guangxi Zhuang Autonomous Region","Fangchenggang",2,0,0,0,0,"2020-26JAN"
"71",133,"China","Guangxi Zhuang Autonomous Region","Guigang",0,0,0,0,0,"2020-26JAN"
"72",135,"China","Guangxi Zhuang Autonomous Region","Guilin",11,0,0,0,0,"2020-26JAN"
"73",136,"China","Guangxi Zhuang Autonomous Region","Hechi",3,0,0,0,0,"2020-26JAN"
"74",137,"China","Guangxi Zhuang Autonomous Region","Hezhou",0,0,0,0,0,"2020-26JAN"
"75",138,"China","Guangxi Zhuang Autonomous Region","Laibin",0,0,0,0,0,"2020-26JAN"
"76",139,"China","Guangxi Zhuang Autonomous Region","Liuzhou",5,0,0,0,0,"2020-26JAN"
"77",140,"China","Guangxi Zhuang Autonomous Region","NanNing",1,0,0,0,0,"2020-26JAN"
"78",141,"China","Guangxi Zhuang Autonomous Region","Qinzhou",0,0,0,0,0,"2020-26JAN"
"79",142,"China","Guangxi Zhuang Autonomous Region","Wuzhou",2,0,0,0,0,"2020-26JAN"
"80",143,"China","Guangxi Zhuang Autonomous Region","Yulin",1,0,0,0,0,"2020-26JAN"
"81",144,"China","Guizhou Province","Anshun",0,0,0,0,0,"2020-26JAN"
"82",145,"China","Guizhou Province","Bijie",0,0,0,0,0,"2020-26JAN"
"83",146,"China","Guizhou Province","Guiyang",1,0,0,0,0,"2020-26JAN"
"84",147,"China","Guizhou Province","Liupanshui",0,0,0,0,0,"2020-26JAN"
"85",148,"China","Guizhou Province","Qiandongnan Miao and Dong Autonomous Prefecture",0,0,0,0,0,"2020-26JAN"
"86",149,"China","Guizhou Province","Qiannan Buyi and Miao Autonomous Prefecture",1,0,0,0,0,"2020-26JAN"
"87",150,"China","Guizhou Province","Qianxinan Buyi and Miao Autonomous Prefecture",1,0,0,0,0,"2020-26JAN"
"88",151,"China","Guizhou Province","Tongren",2,0,0,0,0,"2020-26JAN"
"89",152,"China","Guizhou Province","Zunyi",0,0,0,0,0,"2020-26JAN"
"90",153,"China","Hainan Province","Baisha Li Autonomous County",0,0,0,0,0,"2020-26JAN"
"91",154,"China","Hainan Province","Baoting Li and Miao Autonomous County",0,0,0,0,0,"2020-26JAN"
"92",155,"China","Hainan Province","Changjiang Li Autonomous County",0,0,0,0,0,"2020-26JAN"
"93",156,"China","Hainan Province","Chengmai County",0,0,0,0,0,"2020-26JAN"
"94",157,"China","Hainan Province","Danzhou",3,0,0,0,0,"2020-26JAN"
"95",158,"China","Hainan Province","Ding'an County",0,0,0,0,0,"2020-26JAN"
"96",159,"China","Hainan Province","Dongfang City",0,0,0,0,0,"2020-26JAN"
"97",160,"China","Hainan Province","Haikou",3,0,0,0,0,"2020-26JAN"
"98",161,"China","Hainan Province","Ledong Li Autonomous County",0,0,0,0,0,"2020-26JAN"
"99",162,"China","Hainan Province","Lingao County",1,0,0,0,0,"2020-26JAN"
"100",164,"China","Hainan Province","Lingshui Li Autonomous County",0,0,0,0,0,"2020-26JAN"
"101",165,"China","Hainan Province","Qionghai City",0,0,0,0,0,"2020-26JAN"
"102",166,"China","Hainan Province","Qiongzhong Li and Miao Autonomous County",0,0,0,0,0,"2020-26JAN"
"103",167,"China","Hainan Province","Sansha",0,0,0,0,0,"2020-26JAN"
"104",169,"China","Hainan Province","Sanya",8,0,0,0,0,"2020-26JAN"
"105",170,"China","Hainan Province","Tunchang County",0,0,0,0,0,"2020-26JAN"
"106",171,"China","Hainan Province","Wanning City",5,0,0,0,0,"2020-26JAN"
"107",172,"China","Hainan Province","Wuzhishan City",0,0,0,0,0,"2020-26JAN"
"108",173,"China","Hebei Province","Baoding",3,0,0,0,0,"2020-26JAN"
"109",174,"China","Hebei Province","Cangzhou",2,0,0,1,0,"2020-26JAN"
