"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","3639","27"
"Hispanic/Latino","American Indian/Alaska Native","170","0"
"Hispanic/Latino","Asian","378","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","255","2"
"Hispanic/Latino","Other","37987","353"
"Hispanic/Latino","Unknown","16179","6"
"Hispanic/Latino","White","50927","638"
"Non-Hispanic/Latino","African-American/Black","263240","6567"
"Non-Hispanic/Latino","American Indian/Alaska Native","454","15"
"Non-Hispanic/Latino","Asian","19199","377"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","779","11"
"Non-Hispanic/Latino","Other","14735","83"
"Non-Hispanic/Latino","Unknown","7610","10"
"Non-Hispanic/Latino","White","378298","10873"
"Unknown","African-American/Black","23444","14"
"Unknown","American Indian/Alaska Native","173","0"
"Unknown","Asian","4476","2"
"Unknown","Native Hawaiian/Pacific Islander","184","0"
"Unknown","Other","25523","9"
"Unknown","Unknown","116698","38"
"Unknown","White","36524","16"
