"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases"
"Appling","1179","US-13001","13","1","18561","103","38","6352.03","204.73","220.89","41"
"Atkinson","488","US-13003","13","3","8330","63","7","5858.34","84.03","132.05","11"
"Bacon","638","US-13005","13","5","11404","48","16","5594.53","140.3","131.53","15"
"Baker","92","US-13007","13","7","3116","20","6","2952.5","192.55","128.37","4"
"Baldwin","2339","US-13009","13","9","44428","174","65","5264.7","146.3","180.07","80"
"Banks","576","US-13011","13","11","19982","74","8","2882.59","40.04","155.14","31"
"Barrow","2683","US-13013","13","13","86383","272","51","3105.94","59.04","222.27","192"
"Bartow","3717","US-13015","13","15","110771","338","96","3355.57","86.67","270.83","300"
"Ben Hill","887","US-13017","13","17","16645","92","34","5328.93","204.27","258.34","43"
"Berrien","503","US-13019","13","19","19276","26","14","2609.46","72.63","124.51","24"
"Bibb","6719","US-13021","13","21","152150","909","200","4416.04","131.45","166.28","253"
"Bleckley","514","US-13023","13","23","12838","35","27","4003.74","210.31","186.95","24"
"Brantley","473","US-13025","13","25","19202","41","13","2463.29","67.7","302.05","58"
"Brooks","553","US-13027","13","27","15727","54","26","3516.25","165.32","57.23","9"
"Bryan","1309","US-13029","13","29","39137","95","16","3344.66","40.88","178.86","70"
"Bulloch","3129","US-13031","13","31","79467","147","33","3937.48","41.53","137.16","109"
"Burke","904","US-13033","13","33","22342","91","12","4046.19","53.71","156.66","35"
"Butts","751","US-13035","13","35","25174","58","44","2983.24","174.78","119.17","30"
"Calhoun","277","US-13037","13","37","6317","50","10","4384.99","158.3","221.62","14"
"Camden","1467","US-13039","13","39","53924","70","18","2720.5","33.38","165.05","89"
"Candler","550","US-13043","13","43","10837","40","25","5075.21","230.69","239.92","26"
"Carroll","3442","US-13045","13","45","120119","185","78","2865.49","64.94","223.94","269"
"Catoosa","1504","US-13047","13","47","68771","85","23","2186.97","33.44","215.21","148"
"Charlton","650","US-13049","13","49","13251","28","10","4905.29","75.47","45.28","6"
"Chatham","9548","US-13051","13","51","292176","842","191","3267.89","65.37","147.86","432"
"Chattahoochee","1804","US-13053","13","53","10749","14","1","16782.96","9.3","800.07","86"
"Chattooga","979","US-13055","13","55","24766","65","29","3953","117.1","395.7","98"
"Cherokee","7386","US-13057","13","57","266617","538","102","2770.27","38.26","232.54","620"
"Clarke","5877","US-13059","13","59","129779","253","50","4528.47","38.53","217.29","282"
