Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,252,7
Hispanic/Latino,American Indian/Alaska Native,16,0
Hispanic/Latino,Asian,25,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,16,0
Hispanic/Latino,Other,4905,62
Hispanic/Latino,Unknown,2278,3
Hispanic/Latino,White,6893,72
Non-Hispanic/Latino,African-American/Black,21570,1332
Non-Hispanic/Latino,American Indian/Alaska Native,47,3
Non-Hispanic/Latino,Asian,989,47
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,45,5
Non-Hispanic/Latino,Other,953,7
Non-Hispanic/Latino,Unknown,672,1
Non-Hispanic/Latino,White,19440,1284
Unknown,African-American/Black,3492,14
Unknown,American Indian/Alaska Native,8,0
Unknown,Asian,305,0
Unknown,Native Hawaiian/Pacific Islander,31,0
Unknown,Other,1394,2
Unknown,Unknown,24113,11
Unknown,White,3049,6
