"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9128","43"
"Hispanic/Latino","American Indian/Alaska Native","598","3"
"Hispanic/Latino","Asian","1048","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","646","4"
"Hispanic/Latino","Other","60409","492"
"Hispanic/Latino","Unknown","37627","8"
"Hispanic/Latino","White","87436","913"
"Non-Hispanic/Latino","African-American/Black","507430","9906"
"Non-Hispanic/Latino","American Indian/Alaska Native","1100","29"
"Non-Hispanic/Latino","Asian","43646","507"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1372","15"
"Non-Hispanic/Latino","Other","34449","178"
"Non-Hispanic/Latino","Unknown","18683","6"
"Non-Hispanic/Latino","White","703113","17915"
"Unknown","African-American/Black","42900","15"
"Unknown","American Indian/Alaska Native","693","0"
"Unknown","Asian","7418","2"
"Unknown","Native Hawaiian/Pacific Islander","419","0"
"Unknown","Other","33878","10"
"Unknown","Unknown","271221","102"
"Unknown","White","53165","32"
