county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,920,23,82,4956.63
Atkinson,416,3,53,4994
Bacon,533,10,40,4673.8
Baker,71,3,16,2278.56
Baldwin,1765,52,131,3972.72
Banks,395,6,54,1976.78
Barrow,1857,41,221,2149.73
Bartow,2520,73,248,2274.96
Ben Hill,650,16,70,3905.08
Berrien,404,9,19,2095.87
Bibb,5486,131,788,3605.65
Bleckley,375,17,23,2921.02
Brantley,315,8,26,1640.45
Brooks,483,22,52,3071.15
Bryan,891,9,71,2276.62
Bulloch,2299,22,124,2893.02
Burke,683,9,72,3057.02
Butts,571,41,49,2268.21
Calhoun,228,7,44,3609.31
Camden,1071,7,40,1986.13
Candler,367,16,20,3386.55
Carroll,2404,63,148,2001.35
Catoosa,914,16,63,1329.05
Charlton,580,6,19,4377.03
Chatham,7282,130,671,2492.33
Chattahoochee,1376,2,13,12801.19
Chattooga,615,6,36,2483.24
Cherokee,5095,80,437,1910.98
Clarke,3410,32,176,2627.54
Clay,114,2,8,3992.99
Clayton,6618,146,617,2170.99
Clinch,306,4,25,4597.36
Cobb,17479,401,1612,2210.89
Coffee,1845,38,266,4286.51
Colquitt,1804,27,139,3974.18
Columbia,3266,46,155,2058.87
Cook,517,11,52,2964.96
Coweta,2308,31,111,1518.41
Crawford,154,3,26,1259.4
Crisp,480,15,64,2153.53
Dade,214,4,14,1324.09
Dawson,711,7,70,2631.29
DeKalb,16900,311,1893,2130.73
Decatur,1012,22,78,3844.69
Dodge,344,7,29,1687.52
Dooly,292,14,49,2179.1
Dougherty,3001,180,612,3337.97
Douglas,3227,67,371,2124.34
Early,423,32,34,4169.13
Echols,238,2,9,5996.47
Effingham,1140,18,79,1780.53
Elbert,512,1,29,2702.56
Emanuel,810,22,62,3573.95
Evans,380,5,29,3555.72
Fannin,484,8,38,1838.91
Fayette,1613,40,83,1372.25
Floyd,2446,34,195,2448.06
Forsyth,3281,36,273,1299.37
Franklin,596,11,46,2554.76
Fulton,25439,535,2203,2314.36
Gilmer,763,9,75,2428.62
Glascock,35,2,4,1157.02
Glynn,3141,78,240,3650.33
Gordon,1577,31,106,2716.67
Grady,686,15,85,2795.44
Greene,465,20,51,2484.37
Gwinnett,24870,351,2505,2560.89
Habersham,1390,65,189,3034.93
Hall,8023,130,869,3888.07
Hancock,368,39,59,4491.64
Haralson,350,8,23,1139.25
Harris,737,21,81,2123.19
Hart,431,11,57,1650.9
Heard,176,5,12,1422.8
Henry,4529,84,178,1888.14
Houston,2735,71,345,1741.61
Irwin,233,4,29,2470.05
Jackson,1609,27,133,2153.95
Jasper,192,4,19,1352.21
Jeff Davis,659,12,41,4350.41
Jefferson,700,19,68,4571.28
Jenkins,342,25,56,3987.87
Johnson,353,14,48,3653.87
Jones,475,4,42,1661.36
Lamar,328,16,35,1695.35
Lanier,275,5,15,2656.75
Laurens,1379,50,118,2915.68
Lee,641,25,97,2138.73
Liberty,945,18,103,1526.56
Lincoln,200,7,24,2461.54
Long,191,3,13,959.08
Lowndes,3565,72,184,3024.31
Lumpkin,772,12,79,2283.89
Macon,211,10,45,1624.58
Madison,554,8,51,1835.84
Marion,178,6,18,2146.39
McDuffie,528,13,63,2444.78
McIntosh,261,6,24,1791.72
Meriwether,499,11,66,2373.93
Miller,222,1,10,3851.49
Mitchell,721,45,139,3268.95
Monroe,601,43,77,2167.56
Montgomery,236,3,17,2558.54
Morgan,429,2,30,2241.61
Murray,725,4,42,1800.75
Muscogee,5580,146,610,2911.92
Newton,2371,63,236,2110.29
Non-GA Resident/Unknown State,16307,134,591,0
Oconee,593,20,55,1420.8
Oglethorpe,286,11,43,1876.64
Paulding,2403,39,137,1392.7
Peach,578,18,93,2111.42
Pickens,533,7,51,1589.62
Pierce,532,14,62,2721.92
Pike,287,8,26,1521.74
Polk,1265,16,82,2909.25
Pulaski,238,8,28,2184.89
Putnam,634,20,66,2896.96
Quitman,31,1,6,1351.35
Rabun,293,6,39,1724.95
Randolph,318,27,54,4708.32
Richmond,6191,137,502,3061.21
Rockdale,1695,33,195,1784.96
Schley,96,2,13,1819.91
Screven,305,9,38,2194.24
Seminole,303,8,23,3722.36
Spalding,1202,54,163,1739.26
Stephens,882,28,91,3350.05
Stewart,373,11,73,6085.82
Sumter,877,60,187,2983.09
Talbot,155,5,22,2517.05
Taliaferro,19,0,1,1164.22
Tattnall,704,7,53,2770.45
Taylor,163,7,26,2048.25
Telfair,355,13,33,2269.24
Terrell,321,31,73,3791.19
Thomas,1446,54,156,3254.48
Tift,1560,51,195,3820.72
Toombs,1128,28,87,4180.41
Towns,221,6,25,1836.46
Treutlen,225,5,25,3294.77
Troup,2634,89,292,3740.73
Turner,281,21,45,3479.45
Twiggs,168,7,36,2077.67
Union,511,14,62,2016.97
Unknown,2505,3,53,0
Upson,672,58,69,2557.37
Walker,1107,24,53,1590.29
Walton,1562,48,153,1630.24
Ware,1367,46,155,3812.79
Warren,123,5,23,2360.84
Washington,619,6,41,3048.96
Wayne,998,26,84,3329.55
Webster,40,2,9,1568.63
Wheeler,154,8,16,1947.15
White,571,14,84,1797.97
Whitfield,4079,55,216,3896.94
Wilcox,226,20,47,2571.1
Wilkes,231,3,25,2306.77
Wilkinson,295,17,53,3307.55
Worth,511,29,84,2536.99
