Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,738,11
Hispanic/Latino,American Indian/Alaska Native,68,1
Hispanic/Latino,Asian,77,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,89,0
Hispanic/Latino,Other,12825,139
Hispanic/Latino,Unknown,5154,4
Hispanic/Latino,White,16872,204
Non-Hispanic/Latino,African-American/Black,60278,2497
Non-Hispanic/Latino,American Indian/Alaska Native,113,5
Non-Hispanic/Latino,Asian,2989,105
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,172,6
Non-Hispanic/Latino,Other,2963,13
Non-Hispanic/Latino,Unknown,2303,17
Non-Hispanic/Latino,White,64486,2861
Unknown,African-American/Black,11209,18
Unknown,American Indian/Alaska Native,54,0
Unknown,Asian,1012,0
Unknown,Native Hawaiian/Pacific Islander,123,2
Unknown,Other,4701,3
Unknown,Unknown,79890,32
Unknown,White,13238,13
