"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","5433","35"
"Hispanic/Latino","American Indian/Alaska Native","277","2"
"Hispanic/Latino","Asian","549","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","375","4"
"Hispanic/Latino","Other","46896","437"
"Hispanic/Latino","Unknown","24196","8"
"Hispanic/Latino","White","62991","803"
"Non-Hispanic/Latino","African-American/Black","350211","8666"
"Non-Hispanic/Latino","American Indian/Alaska Native","624","23"
"Non-Hispanic/Latino","Asian","25456","436"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","988","16"
"Non-Hispanic/Latino","Other","21430","90"
"Non-Hispanic/Latino","Unknown","10983","12"
"Non-Hispanic/Latino","White","509826","15219"
"Unknown","African-American/Black","26155","27"
"Unknown","American Indian/Alaska Native","216","0"
"Unknown","Asian","4872","2"
"Unknown","Native Hawaiian/Pacific Islander","207","0"
"Unknown","Other","27598","8"
"Unknown","Unknown","134296","80"
"Unknown","White","40703","46"
