"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","5158","39"
"Hispanic/Latino","American Indian/Alaska Native","273","1"
"Hispanic/Latino","Asian","521","6"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","364","6"
"Hispanic/Latino","Other","45843","450"
"Hispanic/Latino","Unknown","22136","9"
"Hispanic/Latino","White","61421","756"
"Non-Hispanic/Latino","African-American/Black","338713","8452"
"Non-Hispanic/Latino","American Indian/Alaska Native","608","17"
"Non-Hispanic/Latino","Asian","24415","421"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","974","16"
"Non-Hispanic/Latino","Other","21291","301"
"Non-Hispanic/Latino","Unknown","10539","14"
"Non-Hispanic/Latino","White","491987","14846"
"Unknown","African-American/Black","28252","27"
"Unknown","American Indian/Alaska Native","232","0"
"Unknown","Asian","5127","2"
"Unknown","Native Hawaiian/Pacific Islander","218","0"
"Unknown","Other","28691","17"
"Unknown","Unknown","146971","83"
"Unknown","White","43185","48"
