Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,757,12
Hispanic/Latino,American Indian/Alaska Native,69,1
Hispanic/Latino,Asian,81,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,89,0
Hispanic/Latino,Other,13021,139
Hispanic/Latino,Unknown,5219,6
Hispanic/Latino,White,17148,213
Non-Hispanic/Latino,African-American/Black,61262,2549
Non-Hispanic/Latino,American Indian/Alaska Native,113,5
Non-Hispanic/Latino,Asian,3119,106
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,176,7
Non-Hispanic/Latino,Other,3082,13
Non-Hispanic/Latino,Unknown,2353,17
Non-Hispanic/Latino,White,66531,2926
Unknown,African-American/Black,11293,18
Unknown,American Indian/Alaska Native,55,0
Unknown,Asian,1029,0
Unknown,Native Hawaiian/Pacific Islander,128,2
Unknown,Other,4721,3
Unknown,Unknown,81583,40
Unknown,White,13521,13
