"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","14903","1","276"
"05-09 years","Georgia","25285","2","212"
"10-17 years","Georgia","79030","9","783"
"18-29 years","Georgia","222853","135","4253"
"30-39 years","Georgia","162959","283","5612"
"40-49 years","Georgia","154629","694","8144"
"50-59 years","Georgia","144625","1834","12091"
"60-69 years","Georgia","97181","3790","14131"
"70-79 years","Georgia","55763","5383","13268"
"80 & Older years","Georgia","31756","6889","10079"
"<1 years","Georgia","4080","0","219"
"Unknown years","Georgia","3589","0","79"
"01-04 years","Appling","37","0","0"
"05-09 years","Appling","70","0","0"
"10-17 years","Appling","193","0","2"
"18-29 years","Appling","403","1","7"
"30-39 years","Appling","282","1","7"
"40-49 years","Appling","297","4","21"
"50-59 years","Appling","328","7","33"
"60-69 years","Appling","270","16","58"
"70-79 years","Appling","183","18","37"
"80 & Older years","Appling","97","21","35"
"<1 years","Appling","7","0","0"
"Unknown years","Appling","1","0","0"
"01-04 years","Atkinson","8","0","1"
"05-09 years","Atkinson","30","0","1"
"10-17 years","Atkinson","75","0","1"
"18-29 years","Atkinson","207","0","10"
"30-39 years","Atkinson","134","0","11"
"40-49 years","Atkinson","155","2","28"
"50-59 years","Atkinson","152","2","28"
"60-69 years","Atkinson","97","6","28"
"70-79 years","Atkinson","50","5","20"
"80 & Older years","Atkinson","15","5","11"
"<1 years","Atkinson","3","0","0"
"01-04 years","Bacon","25","0","0"
"05-09 years","Bacon","44","0","0"
"10-17 years","Bacon","113","0","1"
"18-29 years","Bacon","436","0","3"
"30-39 years","Bacon","219","0","5"
"40-49 years","Bacon","213","2","14"
"50-59 years","Bacon","179","2","16"
"60-69 years","Bacon","145","10","30"
"70-79 years","Bacon","90","8","22"
"80 & Older years","Bacon","43","9","14"
"<1 years","Bacon","4","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","9","0","0"
"05-09 years","Baker","5","0","0"
"10-17 years","Baker","10","0","0"
"18-29 years","Baker","35","0","0"
"30-39 years","Baker","24","0","4"
"40-49 years","Baker","22","2","3"
"50-59 years","Baker","27","0","2"
"60-69 years","Baker","34","3","15"
"70-79 years","Baker","19","3","11"
"80 & Older years","Baker","13","3","5"
"<1 years","Baker","2","0","0"
"01-04 years","Baldwin","39","0","0"
"05-09 years","Baldwin","77","0","0"
"10-17 years","Baldwin","232","1","6"
"18-29 years","Baldwin","1369","0","16"
"30-39 years","Baldwin","531","1","16"
"40-49 years","Baldwin","536","2","34"
"50-59 years","Baldwin","536","13","63"
"60-69 years","Baldwin","419","23","78"
"70-79 years","Baldwin","275","29","60"
"80 & Older years","Baldwin","165","50","66"
"<1 years","Baldwin","16","0","1"
"Unknown years","Baldwin","4","0","0"
"01-04 years","Banks","14","0","0"
"05-09 years","Banks","34","0","1"
"10-17 years","Banks","127","0","4"
"18-29 years","Banks","340","0","9"
"30-39 years","Banks","244","0","9"
"40-49 years","Banks","261","2","21"
"50-59 years","Banks","281","3","28"
"60-69 years","Banks","244","8","54"
"70-79 years","Banks","165","16","63"
"80 & Older years","Banks","88","14","32"
"<1 years","Banks","7","0","1"
"Unknown years","Banks","19","0","1"
"01-04 years","Barrow","136","0","2"
"05-09 years","Barrow","233","0","0"
"10-17 years","Barrow","856","0","8"
"18-29 years","Barrow","1998","2","41"
"30-39 years","Barrow","1724","1","53"
"40-49 years","Barrow","1716","6","81"
"50-59 years","Barrow","1454","9","125"
"60-69 years","Barrow","955","36","158"
"70-79 years","Barrow","545","37","114"
"80 & Older years","Barrow","254","52","95"
"<1 years","Barrow","39","0","2"
"Unknown years","Barrow","15","0","0"
"01-04 years","Bartow","141","0","6"
"05-09 years","Bartow","249","0","2"
"10-17 years","Bartow","1013","0","14"
"18-29 years","Bartow","2267","0","29"
"30-39 years","Bartow","1876","5","54"
"40-49 years","Bartow","1938","3","93"
"50-59 years","Bartow","2001","18","167"
"60-69 years","Bartow","1244","47","167"
"70-79 years","Bartow","828","76","202"
"80 & Older years","Bartow","413","77","131"
"<1 years","Bartow","50","0","3"
"Unknown years","Bartow","72","0","7"
"01-04 years","Ben Hill","31","0","1"
"05-09 years","Ben Hill","22","0","0"
"10-17 years","Ben Hill","116","0","0"
"18-29 years","Ben Hill","295","1","5"
"30-39 years","Ben Hill","231","3","11"
"40-49 years","Ben Hill","221","1","13"
"50-59 years","Ben Hill","250","6","32"
"60-69 years","Ben Hill","213","13","33"
"70-79 years","Ben Hill","148","19","53"
"80 & Older years","Ben Hill","73","19","19"
"<1 years","Ben Hill","6","0","1"
"01-04 years","Berrien","20","0","0"
"05-09 years","Berrien","25","0","0"
"10-17 years","Berrien","110","0","1"
"18-29 years","Berrien","235","0","0"
"30-39 years","Berrien","193","0","3"
"40-49 years","Berrien","164","0","5"
"50-59 years","Berrien","187","3","17"
"60-69 years","Berrien","138","8","19"
"70-79 years","Berrien","99","14","20"
"80 & Older years","Berrien","55","12","15"
"<1 years","Berrien","4","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","185","0","5"
"05-09 years","Bibb","323","0","0"
"10-17 years","Bibb","927","0","12"
"18-29 years","Bibb","3583","1","93"
"30-39 years","Bibb","2585","6","129"
"40-49 years","Bibb","2439","19","224"
"50-59 years","Bibb","2234","30","312"
"60-69 years","Bibb","1785","93","450"
"70-79 years","Bibb","1026","121","381"
"80 & Older years","Bibb","627","159","316"
"<1 years","Bibb","59","0","5"
"Unknown years","Bibb","5","0","0"
"01-04 years","Bleckley","10","0","0"
"05-09 years","Bleckley","24","0","0"
"10-17 years","Bleckley","79","0","0"
"18-29 years","Bleckley","213","0","4"
"30-39 years","Bleckley","116","1","4"
"40-49 years","Bleckley","115","1","2"
"50-59 years","Bleckley","118","2","6"
"60-69 years","Bleckley","95","6","12"
"70-79 years","Bleckley","66","4","12"
"80 & Older years","Bleckley","61","18","12"
"<1 years","Bleckley","3","0","0"
"01-04 years","Brantley","21","0","0"
"05-09 years","Brantley","23","0","0"
"10-17 years","Brantley","119","0","1"
"18-29 years","Brantley","221","0","4"
"30-39 years","Brantley","179","0","4"
"40-49 years","Brantley","189","2","12"
"50-59 years","Brantley","209","3","18"
"60-69 years","Brantley","147","5","17"
"70-79 years","Brantley","108","17","33"
"80 & Older years","Brantley","51","10","13"
"<1 years","Brantley","2","0","0"
"Unknown years","Brantley","6","0","0"
"01-04 years","Brooks","20","0","1"
"05-09 years","Brooks","29","0","0"
"10-17 years","Brooks","97","0","0"
"18-29 years","Brooks","214","0","1"
"30-39 years","Brooks","157","0","4"
"40-49 years","Brooks","151","1","12"
"50-59 years","Brooks","174","2","23"
"60-69 years","Brooks","116","6","20"
"70-79 years","Brooks","100","11","20"
"80 & Older years","Brooks","63","18","16"
"<1 years","Brooks","8","0","0"
"01-04 years","Bryan","65","0","0"
"05-09 years","Bryan","130","0","0"
"10-17 years","Bryan","366","0","3"
"18-29 years","Bryan","636","0","13"
"30-39 years","Bryan","556","1","13"
"40-49 years","Bryan","585","0","23"
"50-59 years","Bryan","413","5","33"
"60-69 years","Bryan","300","12","39"
"70-79 years","Bryan","173","12","61"
"80 & Older years","Bryan","72","9","28"
"<1 years","Bryan","19","0","0"
"Unknown years","Bryan","7","0","0"
"01-04 years","Bulloch","92","0","1"
"05-09 years","Bulloch","171","0","2"
"10-17 years","Bulloch","558","0","2"
"18-29 years","Bulloch","2453","0","12"
"30-39 years","Bulloch","771","2","23"
"40-49 years","Bulloch","656","3","26"
"50-59 years","Bulloch","606","8","39"
"60-69 years","Bulloch","437","18","51"
"70-79 years","Bulloch","214","17","44"
"80 & Older years","Bulloch","111","17","38"
"<1 years","Bulloch","32","0","2"
"Unknown years","Bulloch","3","0","0"
"01-04 years","Burke","25","0","0"
"05-09 years","Burke","53","0","0"
"10-17 years","Burke","156","0","1"
"18-29 years","Burke","382","1","8"
"30-39 years","Burke","304","1","14"
"40-49 years","Burke","321","2","18"
"50-59 years","Burke","300","4","35"
"60-69 years","Burke","226","7","43"
"70-79 years","Burke","128","14","36"
"80 & Older years","Burke","42","11","15"
"<1 years","Burke","8","0","0"
"Unknown years","Burke","2","0","0"
"01-04 years","Butts","28","0","3"
"05-09 years","Butts","38","0","1"
"10-17 years","Butts","137","0","4"
"18-29 years","Butts","484","0","7"
"30-39 years","Butts","444","0","8"
"40-49 years","Butts","399","4","19"
"50-59 years","Butts","430","8","27"
"60-69 years","Butts","301","17","38"
"70-79 years","Butts","206","24","31"
"80 & Older years","Butts","116","31","9"
"<1 years","Butts","7","0","1"
"Unknown years","Butts","3","0","0"
"01-04 years","Calhoun","9","0","0"
"05-09 years","Calhoun","4","0","0"
"10-17 years","Calhoun","44","0","0"
"18-29 years","Calhoun","81","0","6"
"30-39 years","Calhoun","71","2","7"
"40-49 years","Calhoun","86","2","10"
"50-59 years","Calhoun","93","2","18"
"60-69 years","Calhoun","74","2","20"
"70-79 years","Calhoun","28","6","9"
"80 & Older years","Calhoun","17","2","8"
"<1 years","Calhoun","3","0","0"
"Unknown years","Calhoun","1","0","0"
"01-04 years","Camden","83","0","0"
"05-09 years","Camden","98","0","1"
"10-17 years","Camden","345","0","1"
"18-29 years","Camden","1053","0","9"
"30-39 years","Camden","761","1","20"
"40-49 years","Camden","585","2","21"
"50-59 years","Camden","636","4","28"
"60-69 years","Camden","455","10","36"
"70-79 years","Camden","261","5","26"
"80 & Older years","Camden","109","17","25"
"<1 years","Camden","11","0","2"
"Unknown years","Camden","55","0","1"
"01-04 years","Candler","10","0","0"
"05-09 years","Candler","23","0","0"
"10-17 years","Candler","72","0","0"
"18-29 years","Candler","155","0","1"
"30-39 years","Candler","111","0","3"
"40-49 years","Candler","140","3","2"
"50-59 years","Candler","146","6","13"
"60-69 years","Candler","112","9","15"
"70-79 years","Candler","81","14","20"
"80 & Older years","Candler","28","6","13"
"<1 years","Candler","5","0","0"
"Unknown years","Candler","1","0","0"
"01-04 years","Carroll","112","0","1"
"05-09 years","Carroll","168","0","2"
"10-17 years","Carroll","687","0","6"
"18-29 years","Carroll","1912","0","15"
"30-39 years","Carroll","1226","4","21"
"40-49 years","Carroll","1176","4","37"
"50-59 years","Carroll","1175","13","63"
"60-69 years","Carroll","819","26","91"
"70-79 years","Carroll","484","36","74"
"80 & Older years","Carroll","282","52","47"
"<1 years","Carroll","30","0","1"
"Unknown years","Carroll","6","0","0"
"01-04 years","Catoosa","102","0","0"
"05-09 years","Catoosa","176","0","1"
"10-17 years","Catoosa","572","0","2"
"18-29 years","Catoosa","1186","0","8"
"30-39 years","Catoosa","903","1","14"
"40-49 years","Catoosa","1022","2","21"
"50-59 years","Catoosa","948","6","41"
"60-69 years","Catoosa","657","8","64"
"70-79 years","Catoosa","408","21","66"
"80 & Older years","Catoosa","270","32","53"
"<1 years","Catoosa","43","0","1"
"Unknown years","Catoosa","87","0","4"
"01-04 years","Charlton","15","0","0"
"05-09 years","Charlton","38","0","0"
"10-17 years","Charlton","81","0","0"
"18-29 years","Charlton","350","1","2"
"30-39 years","Charlton","302","1","5"
"40-49 years","Charlton","239","2","11"
"50-59 years","Charlton","171","3","6"
"60-69 years","Charlton","169","8","23"
"70-79 years","Charlton","71","6","16"
"80 & Older years","Charlton","37","9","17"
"<1 years","Charlton","4","0","0"
"01-04 years","Chatham","635","0","3"
"05-09 years","Chatham","842","1","2"
"10-17 years","Chatham","2012","0","15"
