"sex","county name","cases","deaths","hospitalization"
"Female","Georgia","650497","10428","41165"
"Male","Georgia","558815","11920","39295"
"Unknown","Georgia","10006","6","188"
"Female","Appling","1505","36","114"
"Male","Appling","1242","47","112"
"Unknown","Appling","14","0","0"
"Female","Atkinson","605","10","78"
"Male","Atkinson","518","14","86"
"Unknown","Atkinson","7","0","0"
"Female","Bacon","785","18","65"
"Male","Bacon","1065","24","73"
"Unknown","Bacon","4","0","1"
"Female","Baker","127","5","18"
"Male","Baker","109","8","23"
"Female","Baldwin","2861","49","160"
"Male","Baldwin","2267","99","211"
"Unknown","Baldwin","18","0","0"
"Female","Banks","1241","28","143"
"Male","Banks","1057","24","120"
"Unknown","Banks","14","0","0"
"Female","Barrow","6660","82","426"
"Male","Barrow","5744","89","380"
"Unknown","Barrow","45","0","1"
"Female","Bartow","7835","125","456"
"Male","Bartow","6967","157","509"
"Unknown","Bartow","106","0","2"
"Female","Ben Hill","1049","29","93"
"Male","Ben Hill","778","37","83"
"Unknown","Ben Hill","2","0","0"
"Female","Berrien","824","22","49"
"Male","Berrien","667","21","36"
"Unknown","Berrien","4","0","0"
"Female","Bibb","11138","260","1162"
"Male","Bibb","8386","252","987"
"Unknown","Bibb","163","0","3"
"Female","Bleckley","611","19","30"
"Male","Bleckley","460","16","26"
"Unknown","Bleckley","9","0","1"
"Female","Brantley","1015","27","77"
"Male","Brantley","872","34","68"
"Unknown","Brantley","11","0","0"
"Female","Brooks","766","17","67"
"Male","Brooks","585","30","45"
"Unknown","Brooks","9","0","0"
"Female","Bryan","2345","21","131"
"Male","Bryan","2107","31","154"
"Unknown","Bryan","38","0","2"
"Female","Bulloch","4409","49","150"
"Male","Bulloch","3416","38","125"
"Unknown","Bulloch","15","0","0"
"Female","Burke","1251","24","103"
"Male","Burke","993","20","87"
"Unknown","Burke","13","0","1"
"Female","Butts","1559","40","73"
"Male","Butts","1574","50","99"
"Unknown","Butts","89","0","1"
"Female","Calhoun","311","14","42"
"Male","Calhoun","294","7","47"
"Unknown","Calhoun","3","0","0"
"Female","Camden","3026","38","114"
"Male","Camden","2670","33","92"
"Unknown","Camden","24","0","0"
"Female","Candler","597","16","46"
"Male","Candler","504","31","36"
"Unknown","Candler","1","0","0"
"Female","Carroll","5140","67","179"
"Male","Carroll","4564","80","197"
"Unknown","Carroll","42","0","0"
"Female","Catoosa","4223","43","145"
"Male","Catoosa","3668","38","138"
"Unknown","Catoosa","79","0","3"
"Female","Charlton","640","15","51"
"Male","Charlton","1025","25","47"
"Unknown","Charlton","3","0","0"
