Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,233,7
Hispanic/Latino,American Indian/Alaska Native,18,1
Hispanic/Latino,Asian,23,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,13,0
Hispanic/Latino,Other,3932,52
Hispanic/Latino,Unknown,1805,1
Hispanic/Latino,White,5795,73
Non-Hispanic/Latino,African-American/Black,17806,1288
Non-Hispanic/Latino,American Indian/Alaska Native,46,3
Non-Hispanic/Latino,Asian,845,44
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,37,5
Non-Hispanic/Latino,Other,713,7
Non-Hispanic/Latino,Unknown,496,0
Non-Hispanic/Latino,White,15925,1231
Unknown,African-American/Black,3135,13
Unknown,American Indian/Alaska Native,8,0
Unknown,Asian,259,0
Unknown,Native Hawaiian/Pacific Islander,30,0
Unknown,Other,746,2
Unknown,Unknown,16691,14
Unknown,White,2539,4
