Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,675,12
Hispanic/Latino,American Indian/Alaska Native,55,1
Hispanic/Latino,Asian,69,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,77,0
Hispanic/Latino,Other,11675,125
Hispanic/Latino,Unknown,4915,3
Hispanic/Latino,White,15573,182
Non-Hispanic/Latino,African-American/Black,56173,2262
Non-Hispanic/Latino,American Indian/Alaska Native,107,5
Non-Hispanic/Latino,Asian,2617,98
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,146,6
Non-Hispanic/Latino,Other,2621,12
Non-Hispanic/Latino,Unknown,2040,16
Non-Hispanic/Latino,White,55667,2508
Unknown,African-American/Black,10868,21
Unknown,American Indian/Alaska Native,47,0
Unknown,Asian,928,0
Unknown,Native Hawaiian/Pacific Islander,117,1
Unknown,Other,4586,4
Unknown,Unknown,79803,40
Unknown,White,11831,15
