Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,410,9
Hispanic/Latino,American Indian/Alaska Native,29,0
Hispanic/Latino,Asian,40,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,29,0
Hispanic/Latino,Other,7384,87
Hispanic/Latino,Unknown,3314,3
Hispanic/Latino,White,9917,101
Non-Hispanic/Latino,African-American/Black,34529,1524
Non-Hispanic/Latino,American Indian/Alaska Native,71,5
Non-Hispanic/Latino,Asian,1417,54
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,80,7
Non-Hispanic/Latino,Other,1509,10
Non-Hispanic/Latino,Unknown,1077,5
Non-Hispanic/Latino,White,30834,1510
Unknown,African-American/Black,5835,15
Unknown,American Indian/Alaska Native,21,0
Unknown,Asian,479,1
Unknown,Native Hawaiian/Pacific Islander,76,0
Unknown,Other,2763,4
Unknown,Unknown,51437,16
Unknown,White,5337,9
