"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","3385","26"
"Hispanic/Latino","American Indian/Alaska Native","154","0"
"Hispanic/Latino","Asian","351","2"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","230","2"
"Hispanic/Latino","Other","36208","346"
"Hispanic/Latino","Unknown","14367","5"
"Hispanic/Latino","White","49318","637"
"Non-Hispanic/Latino","African-American/Black","242814","6473"
"Non-Hispanic/Latino","American Indian/Alaska Native","411","15"
"Non-Hispanic/Latino","Asian","18382","373"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","742","11"
"Non-Hispanic/Latino","Other","12592","66"
"Non-Hispanic/Latino","Unknown","6253","7"
"Non-Hispanic/Latino","White","354038","10687"
"Unknown","African-American/Black","23879","13"
"Unknown","American Indian/Alaska Native","176","0"
"Unknown","Asian","4525","2"
"Unknown","Native Hawaiian/Pacific Islander","179","0"
"Unknown","Other","24353","6"
"Unknown","Unknown","101971","26"
"Unknown","White","37817","14"
