"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9218","46"
"Hispanic/Latino","American Indian/Alaska Native","592","3"
"Hispanic/Latino","Asian","1064","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","660","4"
"Hispanic/Latino","Other","60959","500"
"Hispanic/Latino","Unknown","37409","8"
"Hispanic/Latino","White","88627","934"
"Non-Hispanic/Latino","African-American/Black","518733","10185"
"Non-Hispanic/Latino","American Indian/Alaska Native","1085","28"
"Non-Hispanic/Latino","Asian","44637","522"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1410","15"
"Non-Hispanic/Latino","Other","34751","168"
"Non-Hispanic/Latino","Unknown","18464","6"
"Non-Hispanic/Latino","White","719618","18401"
"Unknown","African-American/Black","40551","10"
"Unknown","American Indian/Alaska Native","556","0"
"Unknown","Asian","7326","2"
"Unknown","Native Hawaiian/Pacific Islander","417","0"
"Unknown","Other","33706","10"
"Unknown","Unknown","254235","98"
"Unknown","White","51736","22"
