Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,329,7
Hispanic/Latino,American Indian/Alaska Native,23,0
Hispanic/Latino,Asian,29,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,21,0
Hispanic/Latino,Other,5897,66
Hispanic/Latino,Unknown,2723,3
Hispanic/Latino,White,8059,86
Non-Hispanic/Latino,African-American/Black,26576,1384
Non-Hispanic/Latino,American Indian/Alaska Native,57,4
Non-Hispanic/Latino,Asian,1157,48
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,65,6
Non-Hispanic/Latino,Other,1170,10
Non-Hispanic/Latino,Unknown,893,2
Non-Hispanic/Latino,White,23634,1355
Unknown,African-American/Black,4147,6
Unknown,American Indian/Alaska Native,10,0
Unknown,Asian,376,0
Unknown,Native Hawaiian/Pacific Islander,42,0
Unknown,Other,2071,2
Unknown,Unknown,33326,11
Unknown,White,3796,6
