"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","1655","12"
"Hispanic/Latino","American Indian/Alaska Native","74","0"
"Hispanic/Latino","Asian","166","0"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","135","0"
"Hispanic/Latino","Other","21732","205"
"Hispanic/Latino","Unknown","9524","5"
"Hispanic/Latino","White","29350","353"
"Non-Hispanic/Latino","African-American/Black","126135","3656"
"Non-Hispanic/Latino","American Indian/Alaska Native","236","10"
"Non-Hispanic/Latino","Asian","8383","174"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","389","6"
"Non-Hispanic/Latino","Other","5829","21"
"Non-Hispanic/Latino","Unknown","4669","16"
"Non-Hispanic/Latino","White","177892","5186"
"Unknown","African-American/Black","17580","17"
"Unknown","American Indian/Alaska Native","109","0"
"Unknown","Asian","2173","0"
"Unknown","Native Hawaiian/Pacific Islander","122","0"
"Unknown","Other","8859","8"
"Unknown","Unknown","99051","25"
"Unknown","White","26695","16"
