"city_source","ADM2_source","ADM1_source","country_source","country_code_source","city_destination","ADM2_destination","ADM1_destination","country_destination","country_code_destination","travel_advisor","travel_advisor_type","travel_restriction_date","travel_restriction_date_end","strict_restrictions","notes","tr_source1","accessed_date1","who_by1","tr_source2","accessed_date2","who_by2"
NA,NA,NA,"ALL",NA,NA,NA,NA,"Albania","AL",NA,NA,2020-03-23,NA,"flights suspended","flights to Albania are suspended, except for Air Albania flights from Istanbul","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-23,"TCO",NA,NA,NA
NA,NA,NA,"Iran","IR",NA,NA,NA,"Afghanistan","AF",NA,NA,2020-02-23,NA,"no non-residents allowed","Afghanistan suspends all passenger movement (air and ground) to and from Iran","https://www.aljazeera.com/news/2020/02/china-coronavirus-outbreak-latest-updates-200222222743195.html",2020-02-24,"CAS",NA,NA,NA
NA,NA,NA,"Samoa","WS",NA,NA,NA,"American Samoa","AS",NA,NA,2020-03-14,NA,"medical certificate required","Passengers arriving from Samoa must obtain a health clearance from Ministry of Health (MOH) 3 days prior to arrival","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-17,"CAS",NA,NA,NA
NA,NA,NA,"Tonga","TO",NA,NA,NA,"American Samoa","AS",NA,NA,2020-03-14,NA,"medical certificate required","Passengers who transited or have been in countries affected by Coronavirus (COVI-19), when arriving from Hawaii, must: spend 14 days in Hawaii; and obtain a health clearance 3 days before arrival in Samoa (American)","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-17,"CAS",NA,NA,NA
NA,NA,NA,"ALL",NA,NA,NA,NA,"American Samoa","AS","Talofa Airways","Corporate",2020-03-14,NA,"flights suspended","Flights from Tonga with Talofa Airways are suspended.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-17,"CAS",NA,NA,NA
NA,NA,NA,"Algeria","DZ",NA,NA,NA,"Angola","AO",NA,NA,2020-03-01,2020-03-04,"no non-residents allowed","Authorities previously announced a similar measure temporarily barring those traveling from Nigeria, Egypt, Guinea Bissau, and Algeria from entering Angola. However, the Angolan Interministerial Commission decided to withdraw African countries from the list.","https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1",2020-03-12,"CAS","https://www.garda.com/crisis24/news-alerts/321156/angola-entry-restrictions-updated-amid-covid-19-outbreak-march-4-update-2",2020-03-12,"CAS"
NA,NA,NA,"China","CN",NA,NA,NA,"Angola","AO",NA,NA,2020-03-01,NA,"no non-residents allowed","1. Passengers and airline crew who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) are not allowed to enter Angola. This does not apply to airline crew and nationals of Angola. 2. Residents of Angola, airline crew and nationals of Angola who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) will be put in quarantine.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-12,"CAS","https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1",2020-03-12,"CAS"
NA,NA,NA,"Egypt","EG",NA,NA,NA,"Angola","AO",NA,NA,2020-03-01,2020-03-04,"no non-residents allowed","Authorities previously announced a similar measure temporarily barring those traveling from Nigeria, Egypt, Guinea Bissau, and Algeria from entering Angola. However, the Angolan Interministerial Commission decided to withdraw African countries from the list.","https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1",2020-03-12,"CAS","https://www.garda.com/crisis24/news-alerts/321156/angola-entry-restrictions-updated-amid-covid-19-outbreak-march-4-update-2",2020-03-12,"CAS"
NA,NA,NA,"France","FR",NA,NA,NA,"Angola","AO",NA,NA,2020-03-18,NA,"no non-residents allowed","Passengers and airline crew who have been in China (People's Rep.), France, Iran, Italy, Korea (Rep.), Portugal or Spain are not allowed to enter Angola","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-23,"TCO",NA,NA,NA
NA,NA,NA,"Iran","IR",NA,NA,NA,"Angola","AO",NA,NA,2020-03-01,NA,"no non-residents allowed","1. Passengers and airline crew who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) are not allowed to enter Angola. This does not apply to airline crew and nationals of Angola. 2. Residents of Angola, airline crew and nationals of Angola who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) will be put in quarantine.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-12,"CAS","https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1",2020-03-12,"CAS"
NA,NA,NA,"Italy","IT",NA,NA,NA,"Angola","AO",NA,NA,2020-03-01,NA,"no non-residents allowed","1. Passengers and airline crew who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) are not allowed to enter Angola. This does not apply to airline crew and nationals of Angola. 2. Residents of Angola, airline crew and nationals of Angola who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) will be put in quarantine.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-12,"CAS","https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1",2020-03-12,"CAS"
NA,NA,NA,"Nigeria","NG",NA,NA,NA,"Angola","AO",NA,NA,2020-03-01,2020-03-04,"no non-residents allowed","Authorities previously announced a similar measure temporarily barring those traveling from Nigeria, Egypt, Guinea Bissau, and Algeria from entering Angola. However, the Angolan Interministerial Commission decided to withdraw African countries from the list.","https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1",2020-03-12,"CAS","https://www.garda.com/crisis24/news-alerts/321156/angola-entry-restrictions-updated-amid-covid-19-outbreak-march-4-update-2",2020-03-12,"CAS"
NA,NA,NA,"South Korea","KR",NA,NA,NA,"Angola","AO",NA,NA,2020-03-01,NA,"no non-residents allowed","1. Passengers and airline crew who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) are not allowed to enter Angola. This does not apply to airline crew and nationals of Angola. 2. Residents of Angola, airline crew and nationals of Angola who arrive from or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) will be put in quarantine.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-12,"CAS","https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1",2020-03-12,"CAS"
NA,NA,NA,"Portugal","PT",NA,NA,NA,"Angola","AO",NA,NA,2020-03-18,NA,"no non-residents allowed","Passengers and airline crew who have been in China (People's Rep.), France, Iran, Italy, Korea (Rep.), Portugal or Spain are not allowed to enter Angola","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-23,"TCO",NA,NA,NA
NA,NA,NA,"Spain","ES",NA,NA,NA,"Angola","AO",NA,NA,2020-03-18,NA,"no non-residents allowed","Passengers and airline crew who have been in China (People's Rep.), France, Iran, Italy, Korea (Rep.), Portugal or Spain are not allowed to enter Angola","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-23,"TCO",NA,NA,NA
NA,NA,NA,"ALL",NA,NA,NA,NA,"Anguilla","AI",NA,NA,2020-03-21,2020-04-04,"flights suspended","all airports closed","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"China","CN",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-01-31,NA,"no non-residents allowed","Visitors and airline crew who have been in China (People's Rep.) in the past 28 days are not allowed to enter Antigua and Barbuda. Nationals and residents diplomats of Antigua and Barbuda who have been in China (People's Rep.) in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-02-12,"TCO","https://www.garda.com/crisis24/news-alerts/310756/antigua-bermuda-authorities-ban-entry-to-travelers-from-mainland-china-amid-coronavirus-january-31",2020-02-24,"CAS"
NA,NA,NA,"Iran","IR",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-12,NA,"no non-residents allowed","1. Passengers and airline crew who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. 2. Nationals and resident diplomats of Antigua and Barbuda who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-13,"CAS",NA,NA,NA
NA,NA,NA,"Italy","IT",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-10,NA,"no non-residents allowed","Passengers and airline crew who have been in China (People’s Rep.) or Italy in the past 28 days are not allowed to enter Antigua and Barbuda.Nationals and resident diplomats of Antigua and Barbuda who have been in China (People’s Rep.) or Italy in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-13,"CAS",NA,NA,NA
NA,NA,NA,"Japan","JP",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-12,NA,"no non-residents allowed","1. Passengers and airline crew who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. 2. Nationals and resident diplomats of Antigua and Barbuda who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-13,"CAS",NA,NA,NA
NA,NA,NA,"Singapore","SG",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-12,NA,"no non-residents allowed","1. Passengers and airline crew who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. 2. Nationals and resident diplomats of Antigua and Barbuda who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-13,"CAS",NA,NA,NA
NA,NA,NA,"South Korea","KR",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-12,NA,"no non-residents allowed","1. Passengers and airline crew who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. 2. Nationals and resident diplomats of Antigua and Barbuda who have been in China (People's Rep.), Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-13,"CAS",NA,NA,NA
NA,NA,NA,"Austria","AT",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Belgium","BE",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Bulgaria","BG",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Canada","CA",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Croatia","HR",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Cyprus","CY",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Czechia","CZ",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Denmark","DK",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Estonia","EE",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Finland","FI",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"France","FR",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Germany","DE",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Greece","GR",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Iceland","IS",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Hungary","HU",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Ireland","IE",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Latvia","LV",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Liechtenstein","LI",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Lithuania","LT",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Luxembourg","LU",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Malta","MT",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
NA,NA,NA,"Netherlands","NL",NA,NA,NA,"Antigua and Barbuda","AG",NA,NA,2020-03-26,NA,"no non-residents allowed","Passengers and airline crew who have been in Austria, Belgium, Bulgaria,
 Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, 
Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, 
Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, 
Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United
 Kingdom in the past 28 days are not allowed to enter Antigua and 
Barbuda. Does not apply to residents","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-27,"TCO",NA,NA,NA
