"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","3680","27"
"Hispanic/Latino","American Indian/Alaska Native","181","0"
"Hispanic/Latino","Asian","381","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","263","2"
"Hispanic/Latino","Other","38458","353"
"Hispanic/Latino","Unknown","16535","6"
"Hispanic/Latino","White","51240","641"
"Non-Hispanic/Latino","African-American/Black","266326","6587"
"Non-Hispanic/Latino","American Indian/Alaska Native","461","15"
"Non-Hispanic/Latino","Asian","19318","378"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","785","11"
"Non-Hispanic/Latino","Other","15158","86"
"Non-Hispanic/Latino","Unknown","7788","10"
"Non-Hispanic/Latino","White","382137","10931"
"Unknown","African-American/Black","23663","14"
"Unknown","American Indian/Alaska Native","173","0"
"Unknown","Asian","4500","2"
"Unknown","Native Hawaiian/Pacific Islander","186","0"
"Unknown","Other","25538","9"
"Unknown","Unknown","119142","39"
"Unknown","White","36896","17"
