"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Appling","3428","US-13001","13","1","18561","255","102","18468.83","549.54","1939.55","360","1096","11","19"
"Atkinson","1457","US-13003","13","3","8330","190","32","17491","384.15","1836.73","153","510","7","19"
"Bacon","2433","US-13005","13","5","11404","187","53","21334.62","464.75","2288.67","261","873","12","14"
"Baker","302","US-13007","13","7","3116","44","13","9691.91","417.2","962.77","30","216","1","3"
"Baldwin","7053","US-13009","13","9","44428","416","177","15875.12","398.4","1314.49","584","2049","30","17"
"Banks","3216","US-13011","13","11","19982","308","68","16094.49","340.31","1331.2","266","473","6","5"
"Barrow","18785","US-13013","13","13","86383","949","215","21746.18","248.89","1851.06","1599","2324","8","6"
"Bartow","20851","US-13015","13","15","110771","1164","358","18823.52","323.19","1309.01","1450","6818","51","95"
"Ben Hill","2123","US-13017","13","17","16645","183","72","12754.58","432.56","606.79","101","1891","42","65"
"Berrien","1951","US-13019","13","19","19276","104","51","10121.39","264.58","1177.63","227","2789","21","36"
"Bibb","27670","US-13021","13","21","152150","2597","618","18186","406.18","1309.89","1993","7490","76","77"
"Bleckley","1428","US-13023","13","23","12838","67","41","11123.23","319.36","1145.04","147","1795","44","64"
"Brantley","2365","US-13025","13","25","19202","173","80","12316.43","416.62","1416.52","272","1426","15","32"
"Brooks","1793","US-13027","13","27","15727","142","58","11400.78","368.79","1239.91","195","1469","19","24"
"Bryan","6475","US-13029","13","29","39137","365","67","16544.45","171.19","2322.61","909","2033","13","16"
"Bulloch","10257","US-13031","13","31","79467","338","102","12907.24","128.36","1187.91","944","4541","130","206"
"Burke","2898","US-13033","13","33","22342","216","52","12971.09","232.75","1262.2","282","2115","39","31"
"Butts","4563","US-13035","13","35","25174","241","124","18125.84","492.57","1163.9","293","1684","12","14"
"Calhoun","926","US-13037","13","37","6317","100","21","14658.86","332.44","3799.27","240","332","1","3"
"Camden","8121","US-13039","13","39","53924","230","85","15060.08","157.63","1809.95","976","2218","17","35"
"Candler","1290","US-13043","13","43","10837","90","51","11903.66","470.61","784.35","85","671","40","38"
"Carroll","13975","US-13045","13","45","120119","421","166","11634.3","138.2","831.68","999","8893","223","291"
"Catoosa","11687","US-13047","13","47","68771","369","108","16994.08","157.04","1772.55","1219","1597","28","36"
"Charlton","2059","US-13049","13","49","13251","113","44","15538.45","332.05","1298.02","172","626","14","19"
"Chatham","50693","US-13051","13","51","292176","2993","703","17350.16","240.61","2092.23","6113","7893","60","58"
"Chattahoochee","5840","US-13053","13","53","10749","49","16","54330.64","148.85","1730.39","186","848","5","4"
"Chattooga","5040","US-13055","13","55","24766","299","101","20350.48","407.82","2293.47","568","1134","16","20"
"Cherokee","43771","US-13057","13","57","266617","2239","493","16417.18","184.91","1255.36","3347","16972","33","49"
"Clarke","25322","US-13059","13","59","129779","1055","190","19511.63","146.4","1791.51","2325","3381","9","5"
"Clay","343","US-13061","13","61","2855","14","4","12014.01","140.11","1541.16","44","159","0","4"
"Clayton","55725","US-13063","13","63","304838","2935","776","18280.2","254.56","2091.93","6377","5703","59","18"
"Clinch","1342","US-13065","13","65","6656","90","35","20162.26","525.84","2373.8","158","578","2","10"
"Cobb","128706","US-13067","13","67","790588","4588","1425","16279.78","180.25","1339.64","10591","34426","123","252"
"Coffee","8008","US-13069","13","69","43042","953","199","18605.08","462.34","1719.25","740","1989","51","97"
"Colquitt","7615","US-13071","13","71","45393","376","140","16775.71","308.42","1709.51","776","2883","71","35"
"Columbia","19118","US-13073","13","73","158631","773","274","12051.87","172.73","1173.16","1861","14571","64","93"
"Cook","2003","US-13075","13","75","17437","135","54","11487.07","309.69","843.03","147","2707","12","22"
"Coweta","20134","US-13077","13","77","152001","1242","374","13245.97","246.05","936.84","1424","11604","48","48"
"Crawford","1131","US-13079","13","79","12228","114","41","9249.26","335.3","1022.24","125","526","8","5"
"Crisp","2487","US-13081","13","81","22289","196","68","11157.97","305.08","1193.41","266","1942","61","93"
"Dade","2375","US-13083","13","83","16162","91","23","14694.96","142.31","1336.47","216","541","5","7"
"Dawson","5875","US-13085","13","85","27021","371","87","21742.35","321.97","1831.91","495","673","3","3"
"DeKalb","121574","US-13089","13","89","793154","7482","1330","15327.92","167.68","1531.86","12150","16925","151","68"
"Decatur","4477","US-13087","13","87","26322","242","82","17008.59","311.53","2036.32","536","1738","34","69"
"Dodge","2041","US-13091","13","91","20385","129","64","10012.26","313.96","1319.6","269","2959","74","82"
"Dooly","1478","US-13093","13","93","13400","109","39","11029.85","291.04","1253.73","168","792","24","30"
"Dougherty","13363","US-13095","13","95","89905","1507","409","14863.47","454.92","1986.54","1786","4828","39","21"
"Douglas","27269","US-13097","13","97","151906","1216","276","17951.23","181.69","1128.99","1715","6313","63","118"
"Early","2024","US-13099","13","99","10146","113","53","19948.75","522.37","1971.22","200","586","5","17"
"Echols","452","US-13101","13","101","3969","16","5","11388.26","125.98","655.08","26","452","6","9"
"Effingham","9774","US-13103","13","103","64026","553","155","15265.67","242.09","1942.96","1244","2475","24","22"
"Elbert","2573","US-13105","13","105","18945","229","76","13581.42","401.16","1192.93","226","1852","21","21"
"Emanuel","3304","US-13107","13","107","22664","188","76","14578.19","335.33","1535.47","348","2358","70","176"
"Evans","1432","US-13109","13","109","10687","116","38","13399.46","355.57","1375.5","147","728","23","35"
"Fannin","3967","US-13111","13","111","26320","296","105","15072.19","398.94","1128.42","297","866","21","18"
"Fayette","15927","US-13113","13","113","117544","867","244","13549.82","207.58","1219.12","1433","5081","35","20"
"Floyd","22097","US-13115","13","115","99916","1423","342","22115.58","342.29","2053.73","2052","3659","90","112"
"Forsyth","40894","US-13117","13","117","252507","1425","308","16195.19","121.98","1449.46","3660","10121","16","17"
"Franklin","4237","US-13119","13","119","23329","244","71","18161.94","304.34","1448.84","338","886","19","12"
"Fulton","176173","US-13121","13","121","1099181","9288","1797","16027.66","163.49","1341.64","14747","28548","176","144"
"Gilmer","4466","US-13123","13","123","31417","415","127","14215.23","404.24","1238.18","389","1835","25","22"
"Glascock","255","US-13125","13","125","3025","28","8","8429.75","264.46","892.56","27","323","15","6"
"Glynn","17300","US-13127","13","127","86047","710","322","20105.29","374.21","2140.69","1842","4156","40","42"
"Gordon","11351","US-13129","13","129","58049","470","200","19554.17","344.54","1621.04","941","3358","30","39"
"Grady","3486","US-13131","13","131","24540","257","73","14205.38","297.47","1870.42","459","1853","25","23"
"Greene","3024","US-13133","13","133","18717","244","66","16156.44","352.62","983.06","184","717","9","3"
"Gwinnett","167018","US-13135","13","135","971145","7067","1559","17198.05","160.53","1626.64","15797","30856","105","85"
"Habersham","8036","US-13137","13","137","45800","672","210","17545.85","458.52","1340.61","614","1395","19","21"
"Hall","45022","US-13139","13","139","206349","3354","688","21818.38","333.42","1499.4","3094","6286","43","35"
"Hancock","1329","US-13141","13","141","8193","128","79","16221.16","964.24","1110.7","91","178","7","4"
"Haralson","3317","US-13143","13","143","30722","103","51","10796.82","166","1135.99","349","1889","93","54"
"Harris","4934","US-13145","13","145","34712","295","89","14214.1","256.4","2007.95","697","858","10","15"
"Hart","3066","US-13147","13","147","26107","182","50","11743.98","191.52","1103.15","288","1565","27","20"
"Heard","1416","US-13149","13","149","12370","87","28","11447.05","226.35","727.57","90","655","16","21"
"Henry","44045","US-13151","13","151","239866","1842","538","18362.34","224.29","1201.09","2881","11548","46","36"
"Houston","22087","US-13153","13","153","157039","1150","303","14064.66","192.95","1274.21","2001","15131","137","335"
"Irwin","1007","US-13155","13","155","9433","99","22","10675.29","233.22","487.65","46","743","20","15"
"Jackson","17865","US-13157","13","157","74700","952","235","23915.66","314.59","1971.89","1473","2563","14","10"
"Jasper","1582","US-13159","13","159","14199","142","35","11141.63","246.5","1253.61","178","1424","32","14"
"Jeff Davis","2217","US-13161","13","161","15148","128","45","14635.6","297.07","1709.8","259","1474","19","82"
"Jefferson","2155","US-13163","13","163","15313","200","74","14073.01","483.25","705.28","108","1301","26","28"
"Jenkins","1053","US-13165","13","165","8576","98","43","12278.45","501.4","1084.42","93","386","21","35"
"Johnson","1409","US-13167","13","167","9661","121","53","14584.41","548.6","2121.93","205","743","13","21"
"Jones","3569","US-13169","13","169","28591","297","93","12482.95","325.28","1136.72","325","1164","9","11"
"Lamar","3175","US-13171","13","171","19347","218","90","16410.81","465.19","1266.35","245","1489","15","20"
"Lanier","1059","US-13173","13","173","10351","37","12","10230.9","115.93","1584.39","164","1124","6","14"
"Laurens","8313","US-13175","13","175","47296","451","218","17576.54","460.93","1776.05","840","4929","51","54"
"Lee","3615","US-13177","13","177","29971","335","83","12061.66","276.93","1484.77","445","3063","9","4"
"Liberty","10355","US-13179","13","179","61904","366","101","16727.51","163.16","2707.42","1676","1201","39","26"
"Lincoln","829","US-13181","13","181","8125","81","29","10203.08","356.92","566.15","46","704","6","8"
"Long","2119","US-13183","13","183","19915","85","21","10640.22","105.45","1812.7","361","450","8","6"
"Lowndes","14416","US-13185","13","185","117878","585","239","12229.59","202.75","1314.07","1549","15108","95","194"
"Lumpkin","6193","US-13187","13","187","33802","449","95","18321.4","281.05","1813.5","613","529","18","3"
"Macon","1159","US-13193","13","193","12988","112","41","8923.62","315.68","585.16","76","878","6","9"
"Madison","5769","US-13195","13","195","30177","363","74","19117.21","245.22","1812.64","547","949","11","6"
"Marion","930","US-13197","13","197","8293","82","36","11214.28","434.1","1314.36","109","497","7","7"
"McDuffie","2886","US-13189","13","189","21597","238","67","13362.97","310.23","801.04","173","1924","17","28"
"McIntosh","1862","US-13191","13","191","14567","96","31","12782.32","212.81","1153.29","168","387","4","4"
"Meriwether","3146","US-13199","13","199","21020","278","104","14966.7","494.77","1094.2","230","1130","22","9"
"Miller","1234","US-13201","13","201","5764","57","15","21408.74","260.24","2029.84","117","388","10","6"
"Mitchell","2939","US-13205","13","205","22056","307","92","13325.17","417.12","1691.15","373","1940","12","23"
"Monroe","3760","US-13207","13","207","27727","269","121","13560.79","436.4","1096.4","304","1838","35","42"
"Montgomery","1391","US-13209","13","209","9224","66","43","15080.23","466.18","1506.94","139","504","4","6"
"Morgan","2752","US-13211","13","211","19138","176","43","14379.77","224.68","1348.1","258","1512","10","12"
"Murray","8749","US-13213","13","213","40261","395","148","21730.71","367.6","2436.6","981","1981","10","14"
"Muscogee","30687","US-13215","13","215","191626","2115","615","16014.01","320.94","1597.9","3062","5363","88","118"
"Newton","17297","US-13217","13","217","112354","1868","347","15395.09","308.85","1063.6","1195","6270","47","29"
"Non-GA Resident/Unknown State","59063","US-.","","","0","2921","845","0","0","0","11859","15011","434","171"
"Oconee","6610","US-13219","13","219","41737","248","83","15837.27","198.86","1626.85","679","1763","9","5"
"Oglethorpe","2296","US-13221","13","221","15240","179","45","15065.62","295.28","1266.4","193","801","1","1"
"Paulding","24917","US-13223","13","223","172542","692","274","14441.12","158.8","1065.25","1838","11472","100","121"
"Peach","3551","US-13225","13","225","27375","306","98","12971.69","357.99","975.34","267","2269","19","35"
"Pickens","4919","US-13227","13","227","33530","438","107","14670.44","319.12","1359.98","456","2836","33","26"
"Pierce","2654","US-13229","13","229","19545","275","91","13578.92","465.59","1463.29","286","2541","17","52"
