county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,254,14,42,1368.46
Atkinson,137,2,16,1644.66
Bacon,228,4,19,1999.3
Baker,43,3,12,1379.97
Baldwin,479,33,75,1078.15
Banks,130,0,22,650.59
Barrow,466,25,105,539.46
Bartow,671,42,155,605.75
Ben Hill,156,1,12,937.22
Berrien,113,0,5,586.22
Bibb,730,38,177,479.79
Bleckley,56,1,5,436.21
Brantley,85,2,6,442.66
Brooks,143,11,16,909.26
Bryan,116,5,22,296.39
Bulloch,286,4,21,359.9
Burke,141,6,32,631.1
Butts,264,33,29,1048.7
Calhoun,161,5,35,2548.68
Camden,113,2,9,209.55
Candler,32,0,4,295.28
Carroll,673,39,115,560.28
Catoosa,303,7,27,440.59
Charlton,45,2,6,339.6
Chatham,1095,37,171,374.77
Chattahoochee,404,0,6,3758.49
Chattooga,56,2,4,226.12
Cherokee,1253,44,178,469.96
Clarke,485,15,56,373.71
Clay,57,2,5,1996.5
Clayton,1884,79,222,618.03
Clinch,103,3,10,1547.48
Cobb,4607,240,848,582.73
Coffee,532,17,96,1236
Colquitt,907,18,70,1998.11
Columbia,422,9,53,266.03
Cook,130,1,16,745.54
Coweta,643,15,58,423.02
Crawford,39,0,4,318.94
Crisp,268,12,44,1202.39
Dade,64,1,3,395.99
Dawson,133,3,21,492.21
DeKalb,5448,171,870,686.88
Decatur,249,8,27,945.98
Dodge,92,2,9,451.31
Dooly,200,12,43,1492.54
Dougherty,1883,154,458,2094.43
Douglas,878,36,179,577.99
Early,260,31,26,2562.59
Echols,182,0,6,4585.54
Effingham,126,1,14,196.8
Elbert,99,0,8,522.57
Emanuel,105,3,10,463.29
Evans,19,0,0,177.79
Fannin,94,1,7,357.14
Fayette,326,17,46,277.34
Floyd,495,15,54,495.42
Forsyth,788,15,88,312.07
Franklin,187,1,14,801.58
Fulton,6610,311,1058,601.36
Gilmer,181,2,23,576.12
Glascock,7,0,0,231.4
Glynn,533,4,29,619.43
Gordon,351,18,43,604.66
Grady,185,4,33,753.87
Greene,97,9,20,518.25
Gwinnett,7685,169,985,791.33
Habersham,662,35,91,1445.41
Hall,3117,59,431,1510.55
Hancock,210,32,37,2563.16
Haralson,68,5,16,221.34
Harris,306,9,37,881.54
Hart,56,0,5,214.5
Heard,48,3,7,388.04
Henry,1141,33,108,475.68
Houston,578,23,131,368.06
Irwin,56,1,8,593.66
Jackson,354,10,47,473.9
Jasper,66,1,8,464.82
Jeff Davis,99,2,8,653.55
Jefferson,88,1,12,574.68
Jenkins,95,11,24,1107.74
Johnson,87,2,16,900.53
Jones,62,0,5,216.85
Lamar,112,6,13,578.9
Lanier,129,3,10,1246.26
Laurens,156,1,18,329.84
Lee,385,22,67,1284.58
Liberty,114,1,16,184.16
Lincoln,36,1,8,443.08
Long,37,1,2,185.79
Lowndes,1136,9,87,963.71
Lumpkin,135,3,29,399.38
Macon,113,9,36,870.03
Madison,89,4,14,294.93
Marion,78,2,11,940.55
McDuffie,89,6,22,412.09
McIntosh,30,1,2,205.94
Meriwether,177,2,22,842.06
Miller,47,0,3,815.41
Mitchell,444,38,97,2013.06
Monroe,156,16,26,562.63
Montgomery,31,0,3,336.08
Morgan,49,0,6,256.04
Murray,194,2,18,481.86
Muscogee,1520,43,220,793.21
Newton,571,11,85,508.22
Non-Georgia Resident,4410,43,202,0
Oconee,146,10,23,349.81
Oglethorpe,88,7,17,577.43
Paulding,560,15,91,324.56
Peach,98,9,25,357.99
Pickens,89,5,16,265.43
Pierce,161,4,26,823.74
Pike,87,3,10,461.29
Polk,205,1,15,471.46
Pulaski,49,2,7,449.83
Putnam,137,12,21,626
Quitman,15,1,5,653.88
Rabun,41,3,14,241.38
Randolph,197,25,36,2916.79
Richmond,852,48,202,421.28
Rockdale,436,11,91,459.14
Schley,24,1,7,454.98
Screven,89,6,21,640.29
Seminole,50,2,8,614.25
Spalding,383,32,61,554.19
Stephens,212,6,36,805.23
Stewart,112,3,24,1827.38
Sumter,550,50,146,1870.81
Talbot,68,2,14,1104.25
Taliaferro,2,0,0,122.55
Tattnall,128,0,9,503.72
Taylor,27,2,10,339.28
Telfair,106,3,10,677.58
Terrell,225,27,54,2657.38
Thomas,417,32,69,938.53
Tift,695,25,97,1702.18
Toombs,230,5,17,852.39
Towns,38,1,10,315.77
Treutlen,23,1,3,336.8
Troup,1335,31,140,1895.93
Turner,176,16,34,2179.3
Twiggs,23,1,7,284.44
Union,68,3,18,268.4
Unknown,2379,2,32,0
Upson,348,43,44,1324.35
Walker,315,11,16,452.52
Walton,383,28,57,399.73
Ware,395,15,61,1101.72
Warren,19,0,9,364.68
Washington,91,1,11,448.23
Wayne,57,0,6,190.16
Webster,21,1,5,823.53
Wheeler,45,0,2,568.97
White,139,4,28,437.68
Whitfield,1001,10,50,956.32
Wilcox,126,15,20,1433.45
Wilkes,53,1,9,529.26
Wilkinson,75,8,23,840.9
Worth,303,22,54,1504.32
