"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","4902","37"
"Hispanic/Latino","American Indian/Alaska Native","276","1"
"Hispanic/Latino","Asian","478","6"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","354","6"
"Hispanic/Latino","Other","45223","435"
"Hispanic/Latino","Unknown","22234","10"
"Hispanic/Latino","White","59330","729"
"Non-Hispanic/Latino","African-American/Black","327171","8106"
"Non-Hispanic/Latino","American Indian/Alaska Native","602","19"
"Non-Hispanic/Latino","Asian","23445","411"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","937","15"
"Non-Hispanic/Latino","Other","21429","265"
"Non-Hispanic/Latino","Unknown","11727","11"
"Non-Hispanic/Latino","White","473992","14225"
"Unknown","African-American/Black","28397","25"
"Unknown","American Indian/Alaska Native","221","0"
"Unknown","Asian","5028","2"
"Unknown","Native Hawaiian/Pacific Islander","216","0"
"Unknown","Other","28856","16"
"Unknown","Unknown","161547","73"
"Unknown","White","43099","47"
