"","X","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"73",136,"China","Guangxi Zhuang Autonomous Region","Hechi",22,21,0,1,0,"2020-15FEB"
"74",137,"China","Guangxi Zhuang Autonomous Region","Hezhou",4,4,0,0,0,"2020-15FEB"
"75",138,"China","Guangxi Zhuang Autonomous Region","Laibin",11,11,0,0,0,"2020-15FEB"
"76",139,"China","Guangxi Zhuang Autonomous Region","Liuzhou",24,16,0,0,8,"2020-15FEB"
"77",140,"China","Guangxi Zhuang Autonomous Region","NanNing",50,39,0,0,11,"2020-15FEB"
"78",141,"China","Guangxi Zhuang Autonomous Region","Qinzhou",8,7,0,0,1,"2020-15FEB"
"79",142,"China","Guangxi Zhuang Autonomous Region","Wuzhou",5,0,0,0,5,"2020-15FEB"
"80",143,"China","Guangxi Zhuang Autonomous Region","Yulin",10,9,0,0,1,"2020-15FEB"
"81",144,"China","Guizhou Province","Anshun",4,4,0,0,0,"2020-15FEB"
"82",145,"China","Guizhou Province","Bijie",23,16,0,0,7,"2020-15FEB"
"83",146,"China","Guizhou Province","Guiyang",34,28,0,0,6,"2020-15FEB"
"84",147,"China","Guizhou Province","Liupanshui",10,6,0,1,3,"2020-15FEB"
"85",148,"China","Guizhou Province","Qiandongnan Miao and Dong Autonomous Prefecture",10,6,0,0,4,"2020-15FEB"
"86",149,"China","Guizhou Province","Qiannan Buyi and Miao Autonomous Prefecture",17,12,0,0,5,"2020-15FEB"
"87",150,"China","Guizhou Province","Qianxinan Buyi and Miao Autonomous Prefecture",4,0,0,0,4,"2020-15FEB"
"88",151,"China","Guizhou Province","Tongren",10,3,0,0,7,"2020-15FEB"
"89",152,"China","Guizhou Province","Zunyi",31,26,0,0,5,"2020-15FEB"
"90",153,"China","Hainan Province","Baisha Li Autonomous County",0,0,0,0,0,"2020-15FEB"
"91",154,"China","Hainan Province","Baoting Li and Miao Autonomous County",3,3,0,0,0,"2020-15FEB"
"92",155,"China","Hainan Province","Changjiang Li Autonomous County",7,7,0,0,0,"2020-15FEB"
"93",156,"China","Hainan Province","Chengmai County",9,7,0,1,1,"2020-15FEB"
"94",157,"China","Hainan Province","Danzhou",15,13,0,0,2,"2020-15FEB"
"95",158,"China","Hainan Province","Ding'an County",3,1,0,1,1,"2020-15FEB"
"96",159,"China","Hainan Province","Dongfang City",3,2,0,0,1,"2020-15FEB"
"97",160,"China","Hainan Province","Haikou",33,23,0,0,10,"2020-15FEB"
"98",161,"China","Hainan Province","Ledong Li Autonomous County",2,2,0,0,0,"2020-15FEB"
"99",162,"China","Hainan Province","Lingao County",6,3,0,0,3,"2020-15FEB"
"100",164,"China","Hainan Province","Lingshui Li Autonomous County",4,4,0,0,0,"2020-15FEB"
"101",165,"China","Hainan Province","Qionghai City",6,4,0,1,1,"2020-15FEB"
"102",166,"China","Hainan Province","Qiongzhong Li and Miao Autonomous County",1,0,0,0,1,"2020-15FEB"
"103",167,"China","Hainan Province","Sansha",3,2,0,0,1,"2020-15FEB"
"104",169,"China","Hainan Province","Sanya",54,38,0,1,15,"2020-15FEB"
"105",170,"China","Hainan Province","Tunchang County",0,0,0,0,0,"2020-15FEB"
"106",171,"China","Hainan Province","Wanning City",13,10,0,0,3,"2020-15FEB"
"107",172,"China","Hainan Province","Wuzhishan City",0,0,0,0,0,"2020-15FEB"
"108",173,"China","Hebei Province","Baoding",32,13,0,0,19,"2020-15FEB"
"109",174,"China","Hebei Province","Cangzhou",47,31,0,2,14,"2020-15FEB"
"110",175,"China","Hebei Province","Chengde",7,5,0,0,2,"2020-15FEB"
"111",176,"China","Hebei Province","Handan",31,22,0,0,9,"2020-15FEB"
"112",177,"China","Hebei Province","Hengshui",8,4,0,0,4,"2020-15FEB"
"113",178,"China","Hebei Province","Langfang",30,16,0,0,14,"2020-15FEB"
"114",179,"China","Hebei Province","Qinhuangdao",10,7,0,0,3,"2020-15FEB"
"115",180,"China","Hebei Province","Shijiazhuang",28,21,0,0,7,"2020-15FEB"
"116",181,"China","Hebei Province","Tangshan",51,42,0,0,9,"2020-15FEB"
"117",182,"China","Hebei Province","Xingtai",22,11,0,1,10,"2020-15FEB"
"118",183,"China","Hebei Province","Zhangjiakou",34,25,0,0,9,"2020-15FEB"
"119",184,"China","Heilongjiang Province","Daqing",19,16,0,1,2,"2020-15FEB"
"120",185,"China","Heilongjiang Province","Daxinganling Prefecture",2,2,0,0,0,"2020-15FEB"
"121",186,"China","Heilongjiang Province","Harbin",182,149,0,3,30,"2020-15FEB"
"122",187,"China","Heilongjiang Province","Hegang",5,3,0,0,2,"2020-15FEB"
"123",188,"China","Heilongjiang Province","Heihe",14,14,0,0,0,"2020-15FEB"
"124",189,"China","Heilongjiang Province","Jiamusi",15,6,0,0,9,"2020-15FEB"
"125",190,"China","Heilongjiang Province","Jixi",46,45,0,0,1,"2020-15FEB"
"126",191,"China","Heilongjiang Province","Mudanjiang",12,11,0,0,1,"2020-15FEB"
"127",192,"China","Heilongjiang Province","Qiqihar",38,29,0,1,8,"2020-15FEB"
"128",193,"China","Heilongjiang Province","Qitaihe",16,12,0,0,4,"2020-15FEB"
"129",194,"China","Heilongjiang Province","Shuangyashan",49,46,0,2,1,"2020-15FEB"
"130",195,"China","Heilongjiang Province","Suihua",46,30,0,4,12,"2020-15FEB"
"131",196,"China","Heilongjiang Province","Yichun",1,1,0,0,0,"2020-15FEB"
"132",197,"China","Henan Province","Anyang",51,33,0,0,18,"2020-15FEB"
"133",198,"China","Henan Province","Area to be identified",0,-9,0,3,6,"2020-15FEB"
"134",199,"China","Henan Province","Hebi",19,15,0,0,4,"2020-15FEB"
"135",200,"China","Henan Province","Jiaozuo",30,23,0,1,6,"2020-15FEB"
"136",201,"China","Henan Province","Jiyuan",4,4,0,0,0,"2020-15FEB"
"137",202,"China","Henan Province","Kaifeng",26,20,0,0,6,"2020-15FEB"
"138",203,"China","Henan Province","Luohe",34,25,0,0,9,"2020-15FEB"
"139",204,"China","Henan Province","Luoyang",31,22,0,0,9,"2020-15FEB"
"140",205,"China","Henan Province","Nanyang",151,97,0,2,52,"2020-15FEB"
"141",206,"China","Henan Province","Pingdingshan",58,37,0,1,20,"2020-15FEB"
"142",207,"China","Henan Province","Puyang",17,15,0,0,2,"2020-15FEB"
"143",208,"China","Henan Province","Sanmenxia",7,3,0,0,4,"2020-15FEB"
"144",209,"China","Henan Province","Shangqiu",91,59,0,2,30,"2020-15FEB"
"145",210,"China","Henan Province","Xinxiang",56,44,0,2,10,"2020-15FEB"
"146",211,"China","Henan Province","Xinyang",261,195,0,2,64,"2020-15FEB"
"147",212,"China","Henan Province","Xuchang",38,31,0,0,7,"2020-15FEB"
"148",213,"China","Henan Province","Zhengzhou",296,164,0,0,132,"2020-15FEB"
"149",215,"China","Henan Province","Zhoukou",71,46,0,0,25,"2020-15FEB"
"150",216,"China","Henan Province","Zhumadian",138,79,0,0,59,"2020-15FEB"
"151",217,"China","Hong Kong Special Administrative Region","Hong Kong Special Administrative Region",0,0,0,0,0,"2020-15FEB"
"152",218,"China","Hubei Province","Enshi Tujia and Miao Autonomous Prefecture",247,167,0,4,76,"2020-15FEB"
"153",219,"China","Hubei Province","Ezhou",1230,974,0,34,222,"2020-15FEB"
"154",220,"China","Hubei Province","Huanggang",2823,2032,0,75,716,"2020-15FEB"
"155",221,"China","Hubei Province","Huangshi",988,782,0,14,192,"2020-15FEB"
"156",222,"China","Hubei Province","Jingmen",909,762,0,30,117,"2020-15FEB"
"157",223,"China","Hubei Province","Jingzhou",1490,1191,0,36,263,"2020-15FEB"
"158",224,"China","Hubei Province","Qianjiang",166,148,0,6,12,"2020-15FEB"
"159",225,"China","Hubei Province","Shennongjia Forestry District",10,2,0,0,8,"2020-15FEB"
"160",227,"China","Hubei Province","Shiyan",602,484,0,2,116,"2020-15FEB"
"161",228,"China","Hubei Province","Suizhou",1254,1119,0,22,113,"2020-15FEB"
"162",229,"China","Hubei Province","Tianmen",447,410,0,10,27,"2020-15FEB"
"163",230,"China","Hubei Province","Wuhan",39462,35314,0,1233,2915,"2020-15FEB"
"164",231,"China","Hubei Province","Xiangyang",1144,1011,0,19,114,"2020-15FEB"
"165",233,"China","Hubei Province","Xianning",852,692,0,8,152,"2020-15FEB"
"166",234,"China","Hubei Province","Xiantao",523,419,0,17,87,"2020-15FEB"
"167",235,"China","Hubei Province","Xiaogan",3201,2783,0,65,353,"2020-15FEB"
"168",236,"China","Hubei Province","Yichang",901,740,0,21,140,"2020-15FEB"
"169",237,"China","Hubei Province","Prison System",0,0,0,0,0,"2020-15FEB"
"170",238,"China","Hunan Province","Changde",78,50,0,0,28,"2020-15FEB"
"171",239,"China","Hunan Province","Changsha",241,168,0,0,73,"2020-15FEB"
"172",240,"China","Hunan Province","Chenzhou",39,17,0,0,22,"2020-15FEB"
"173",241,"China","Hunan Province","Hengyang",47,19,0,0,28,"2020-15FEB"
"174",242,"China","Hunan Province","Huaihua",40,10,0,0,30,"2020-15FEB"
"175",243,"China","Hunan Province","Loudi",75,46,0,0,29,"2020-15FEB"
"176",244,"China","Hunan Province","Shaoyang",100,40,0,1,59,"2020-15FEB"
"177",245,"China","Hunan Province","Xiangtan",35,21,0,0,14,"2020-15FEB"
