Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,441,10
Hispanic/Latino,American Indian/Alaska Native,32,0
Hispanic/Latino,Asian,43,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,35,0
Hispanic/Latino,Other,7711,89
Hispanic/Latino,Unknown,3418,3
Hispanic/Latino,White,10372,103
Non-Hispanic/Latino,African-American/Black,36362,1573
Non-Hispanic/Latino,American Indian/Alaska Native,70,4
Non-Hispanic/Latino,Asian,1507,58
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,82,7
Non-Hispanic/Latino,Other,1571,11
Non-Hispanic/Latino,Unknown,1135,7
Non-Hispanic/Latino,White,32366,1577
Unknown,African-American/Black,6167,14
Unknown,American Indian/Alaska Native,24,0
Unknown,Asian,496,1
Unknown,Native Hawaiian/Pacific Islander,83,0
Unknown,Other,2889,5
Unknown,Unknown,54697,22
Unknown,White,5687,11
