"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Appling","2810","US-13001","13","1","18561","244","97","15139.27","522.6","48.49","9","735","10","17"
"Atkinson","1194","US-13003","13","3","8330","181","32","14333.73","384.15","48.02","4","402","5","18"
"Bacon","1974","US-13005","13","5","11404","164","52","17309.72","455.98","140.3","16","689","12","13"
"Baker","244","US-13007","13","7","3116","44","13","7830.55","417.2","0","0","131","1","3"
"Baldwin","5315","US-13009","13","9","44428","398","172","11963.18","387.14","27.01","12","1491","27","17"
"Banks","2497","US-13011","13","11","19982","291","63","12496.25","315.28","155.14","31","346","5","4"
"Barrow","13477","US-13013","13","13","86383","887","195","15601.45","225.74","200.27","173","1765","7","5"
"Bartow","15844","US-13015","13","15","110771","1056","321","14303.38","289.79","137.22","152","5294","46","78"
"Ben Hill","1874","US-13017","13","17","16645","181","71","11258.64","426.55","30.04","5","1374","38","61"
"Berrien","1557","US-13019","13","19","19276","96","51","8077.4","264.58","10.38","2","1967","21","34"
"Bibb","20531","US-13021","13","21","152150","2405","591","13493.92","388.43","76.9","117","5685","71","68"
"Bleckley","1108","US-13023","13","23","12838","64","40","8630.63","311.58","23.37","3","1233","44","64"
"Brantley","1908","US-13025","13","25","19202","164","76","9936.46","395.79","57.29","11","1243","13","31"
"Brooks","1410","US-13027","13","27","15727","136","54","8965.47","343.36","50.87","8","1040","19","25"
"Bryan","4691","US-13029","13","29","39137","333","65","11986.1","166.08","79.21","31","1695","11","15"
"Bulloch","8017","US-13031","13","31","79467","324","100","10088.46","125.84","54.11","43","3287","123","192"
"Burke","2325","US-13033","13","33","22342","199","49","10406.41","219.32","67.14","15","1463","37","29"
"Butts","3438","US-13035","13","35","25174","204","113","13656.95","448.88","83.42","21","1367","10","15"
"Calhoun","618","US-13037","13","37","6317","90","21","9783.12","332.44","79.15","5","233","0","2"
"Camden","6121","US-13039","13","39","53924","225","80","11351.16","148.36","77.89","42","1989","17","35"
"Candler","1113","US-13043","13","43","10837","87","49","10270.37","452.15","9.23","1","453","41","37"
"Carroll","10291","US-13045","13","45","120119","393","162","8567.34","134.87","93.24","112","6537","196","284"
"Catoosa","8715","US-13047","13","47","68771","323","98","12672.49","142.5","181.76","125","1267","24","31"
"Charlton","1752","US-13049","13","49","13251","111","43","13221.64","324.5","60.37","8","529","13","18"
"Chatham","33733","US-13051","13","51","292176","2699","673","11545.44","230.34","83.51","244","5708","53","56"
"Chattahoochee","5428","US-13053","13","53","10749","42","16","50497.72","148.85","669.83","72","764","5","4"
"Chattooga","3770","US-13055","13","55","24766","258","91","15222.48","367.44","149.4","37","960","17","20"
"Cherokee","32365","US-13057","13","57","266617","2065","459","12139.14","172.16","134.65","359","12724","29","46"
"Clarke","17833","US-13059","13","59","129779","813","179","13741.05","137.93","130.99","170","2724","8","5"
"Clay","235","US-13061","13","61","2855","14","4","8231.17","140.11","35.03","1","80","0","4"
"Clayton","36311","US-13063","13","63","304838","2328","735","11911.57","241.11","160.09","488","4475","45","17"
"Clinch","1014","US-13065","13","65","6656","86","34","15234.38","510.82","60.1","4","488","2","10"
"Cobb","88008","US-13067","13","67","790588","4323","1326","11131.97","167.72","145.97","1154","25530","115","248"
"Coffee","6384","US-13069","13","69","43042","913","194","14832.02","450.72","41.82","18","1581","50","98"
"Colquitt","5590","US-13071","13","71","45393","354","135","12314.67","297.4","74.9","34","2010","68","32"
"Columbia","14983","US-13073","13","73","158631","691","259","9445.19","163.27","87.62","139","10551","60","92"
"Cook","1683","US-13075","13","75","17437","129","53","9651.89","303.95","0","0","1959","12","23"
"Coweta","13345","US-13077","13","77","152001","905","352","8779.55","231.58","173.03","263","8306","41","41"
"Crawford","835","US-13079","13","79","12228","110","40","6828.59","327.12","24.53","3","316","6","4"
"Crisp","1868","US-13081","13","81","22289","187","66","8380.82","296.11","31.41","7","1334","52","88"
"Dade","1891","US-13083","13","83","16162","72","18","11700.28","111.37","253.68","41","368","4","4"
"Dawson","4291","US-13085","13","85","27021","354","75","15880.24","277.56","188.74","51","516","2","3"
"DeKalb","82555","US-13089","13","89","793154","6609","1257","10408.45","158.48","120.66","957","12133","134","65"
"Decatur","3498","US-13087","13","87","26322","225","79","13289.26","300.13","79.78","21","1326","31","67"
"Dodge","1536","US-13091","13","91","20385","125","63","7534.95","309.05","4.91","1","2105","71","80"
"Dooly","1089","US-13093","13","93","13400","104","38","8126.87","283.58","14.93","2","576","24","26"
