"","ADM0_EN","ADM1_EN","ADM2_EN","date.of.notification"
"99","China","Hebei Province","Handan",2020-01-26
"100","China","Hebei Province","Hengshui",2020-01-28
"101","China","Hebei Province","Langfang",2020-01-27
"102","China","Hebei Province","Qinhuangdao",2020-02-01
"103","China","Hebei Province","Shijiazhuang",2020-01-23
"104","China","Hebei Province","Tangshan",2020-01-28
"105","China","Hebei Province","Xingtai",2020-01-27
"106","China","Hebei Province","Zhangjiakou",2020-01-29
"107","China","Heilongjiang Province","Daqing",2020-01-24
"108","China","Heilongjiang Province","Daxinganling Prefecture",2020-01-29
"109","China","Heilongjiang Province","Harbin",2020-01-23
"110","China","Heilongjiang Province","Hegang",2020-01-30
"111","China","Heilongjiang Province","Heihe",2020-02-02
"112","China","Heilongjiang Province","Jiamusi",2020-01-26
"113","China","Heilongjiang Province","Jixi",2020-01-29
"114","China","Heilongjiang Province","Mudanjiang",2020-01-23
"115","China","Heilongjiang Province","Qiqihar",2020-01-26
"116","China","Heilongjiang Province","Qitaihe",2020-01-27
"117","China","Heilongjiang Province","Shuangyashan",2020-01-27
"118","China","Heilongjiang Province","Suihua",2020-01-24
"119","China","Heilongjiang Province","Yichun",2020-02-14
"120","China","Henan Province","Anyang",2020-01-26
"121","China","Henan Province","Hebi",2020-01-27
"122","China","Henan Province","Jiaozuo",2020-01-28
"123","China","Henan Province","Jiyuan",2020-02-03
"124","China","Henan Province","Kaifeng",2020-01-27
"125","China","Henan Province","Luohe",2020-01-26
"126","China","Henan Province","Luoyang",2020-01-22
"127","China","Henan Province","Nanyang",2020-01-25
"128","China","Henan Province","Pingdingshan",2020-01-25
"129","China","Henan Province","Puyang",2020-01-29
"130","China","Henan Province","Sanmenxia",2020-01-22
"131","China","Henan Province","Shangqiu",2020-01-27
"132","China","Henan Province","Xinxiang",2020-01-25
"133","China","Henan Province","Xinyang",2020-01-24
"134","China","Henan Province","Xuchang",2020-01-27
"135","China","Henan Province","Zhengzhou",2020-01-22
"136","China","Henan Province","Zhoukou",2020-01-24
"137","China","Henan Province","Zhumadian",2020-01-25
"138","China","Hong Kong Special Administrative Region","Hong Kong Special Administrative Region",2020-01-22
"139","China","Hubei Province","Enshi Tujia and Miao Autonomous Prefecture",2020-01-25
"140","China","Hubei Province","Ezhou",2020-01-25
"141","China","Hubei Province","Huanggang",2020-01-21
"142","China","Hubei Province","Huangshi",2020-01-25
"143","China","Hubei Province","Jingmen",2020-01-22
"144","China","Hubei Province","Jingzhou",2020-01-22
"145","China","Hubei Province","Prison System",2020-02-20
"146","China","Hubei Province","Qianjiang",2020-01-27
"147","China","Hubei Province","Shennongjia Forestry District",2020-01-28
"148","China","Hubei Province","Shiyan",2020-01-23
"149","China","Hubei Province","Suizhou",2020-01-25
"150","China","Hubei Province","Tianmen",2020-01-25
"151","China","Hubei Province","Wuhan",2019-12-31
"152","China","Hubei Province","Xiangyang",2020-01-25
"153","China","Hubei Province","Xianning",2020-01-26
"154","China","Hubei Province","Xiantao",2020-01-23
"155","China","Hubei Province","Xiaogan",2020-01-23
"156","China","Hubei Province","Yichang",2020-01-23
"157","China","Hunan Province","Changde",2020-01-25
"158","China","Hunan Province","Changsha",2020-01-21
"159","China","Hunan Province","Chenzhou",2020-01-23
"160","China","Hunan Province","Hengyang",2020-01-25
"161","China","Hunan Province","Huaihua",2020-01-23
"162","China","Hunan Province","Loudi",2020-01-24
"163","China","Hunan Province","Shaoyang",2020-01-25
"164","China","Hunan Province","Xiangtan",2020-01-24
"165","China","Hunan Province","Xiangxi Tujia and Miao Autonomous Prefecture",2020-01-26
"166","China","Hunan Province","Yiyang",2020-01-25
"167","China","Hunan Province","Yongzhou",2020-01-23
"168","China","Hunan Province","Yueyang",2020-01-24
"169","China","Hunan Province","Zhangjiajie",2020-01-30
"170","China","Hunan Province","Zhuzhou",2020-01-24
"171","China","Inner Mongolia Autonomous Region","Baotou",2020-01-28
"172","China","Inner Mongolia Autonomous Region","Bayannur",2020-01-29
"173","China","Inner Mongolia Autonomous Region","Chifeng",2020-01-25
"174","China","Inner Mongolia Autonomous Region","Hinggan League",2020-01-28
"175","China","Inner Mongolia Autonomous Region","Hohhot",2020-01-28
"176","China","Inner Mongolia Autonomous Region","Hulunbuir",2020-01-24
"177","China","Inner Mongolia Autonomous Region","Ordos",2020-01-25
"178","China","Inner Mongolia Autonomous Region","Tongliao",2020-01-28
"179","China","Inner Mongolia Autonomous Region","Ulanqab",2020-01-30
"180","China","Inner Mongolia Autonomous Region","Wuhai",2020-02-02
"181","China","Inner Mongolia Autonomous Region","Xilingol League",2020-01-25
"182","China","Jiangsu Province","Changzhou",2020-01-25
"183","China","Jiangsu Province","Huai'an",2020-01-26
"184","China","Jiangsu Province","Lianyungang",2020-01-23
"185","China","Jiangsu Province","Nanjing",2020-01-23
"186","China","Jiangsu Province","Nantong",2020-01-24
"187","China","Jiangsu Province","Suqian",2020-01-25
"188","China","Jiangsu Province","Suzhou",2020-01-22
"189","China","Jiangsu Province","Taizhou",2020-01-26
"190","China","Jiangsu Province","Wuxi",2020-01-24
"191","China","Jiangsu Province","Xuzhou",2020-01-27
"192","China","Jiangsu Province","Yancheng",2020-01-25
"193","China","Jiangsu Province","Yangzhou",2020-01-23
"194","China","Jiangsu Province","Zhenjiang",2020-01-26
"195","China","Jiangxi Province","Fuzhou",2020-01-21
"196","China","Jiangxi Province","Ganzhou",2020-01-24
"197","China","Jiangxi Province","Ji'an",2020-01-24
"198","China","Jiangxi Province","Jingdezhen",2020-01-24
"199","China","Jiangxi Province","Jiujiang",2020-01-24
"200","China","Jiangxi Province","Nanchang",2020-01-22
"201","China","Jiangxi Province","Pingxiang",2020-01-21
"202","China","Jiangxi Province","Shangrao",2020-01-24
"203","China","Jiangxi Province","Xinyu",2020-01-24
"204","China","Jiangxi Province","Yichun",2020-01-24
"205","China","Jiangxi Province","Yingtan",2020-01-28
"206","China","Jilin Province","Baicheng",2020-02-08
"207","China","Jilin Province","Changchun",2020-01-23
"208","China","Jilin Province","Jilin",2020-01-24
"209","China","Jilin Province","Liaoyuan",2020-02-04
"210","China","Jilin Province","Siping",2020-01-27
"211","China","Jilin Province","Songyuan",2020-01-24
"212","China","Jilin Province","Tonghua",2020-01-29
"213","China","Jilin Province","Yanbian Korean Autonomous Prefecture",2020-01-30
"214","China","Liaoning Province","Anshan",2020-02-01
"215","China","Liaoning Province","Benxi",2020-01-25
"216","China","Liaoning Province","Chaoyang",2020-01-24
"217","China","Liaoning Province","Dalian",2020-01-22
"218","China","Liaoning Province","Dandong",2020-01-26
"219","China","Liaoning Province","Fushun",2020-01-22
"220","China","Liaoning Province","Fuxin",2020-02-01
"221","China","Liaoning Province","Huludao",2020-01-25
"222","China","Liaoning Province","Jinzhou",2020-01-28
"223","China","Liaoning Province","Liaoyang",2020-01-28
"224","China","Liaoning Province","Panjin",2020-01-26
"225","China","Liaoning Province","Shenyang",2020-01-23
"226","China","Liaoning Province","Tieling",2020-01-25
"227","China","Liaoning Province","Yingkou",2020-01-25
"228","China","Macao Special Administrative Region","Macao Special Administrative Region",2020-01-21
"229","China","Ningxia Hui Autonomous Region","Guyuan",2020-01-25
"230","China","Ningxia Hui Autonomous Region","Shizuishan",2020-02-04
"231","China","Ningxia Hui Autonomous Region","Wuzhong",2020-01-28
"232","China","Ningxia Hui Autonomous Region","Yinchuan",2020-01-22
"233","China","Ningxia Hui Autonomous Region","Zhongwei",2020-01-24
"234","China","Qinghai Province","Haibei Tibetan Autonomous Prefecture",2020-02-03
"235","China","Qinghai Province","Xining",2020-01-25
"236","China","Shaanxi Province","Ankang",2020-01-24
"237","China","Shaanxi Province","Baoji",2020-01-28
"238","China","Shaanxi Province","Hanzhong",2020-01-26
"239","China","Shaanxi Province","Shangluo",2020-01-25
"240","China","Shaanxi Province","Tongchuan",2020-01-25
"241","China","Shaanxi Province","Weinan",2020-01-27
"242","China","Shaanxi Province","Xi'an",2020-01-23
"243","China","Shaanxi Province","Xianyang",2020-01-23
"244","China","Shaanxi Province","Yan'an",2020-01-24
"245","China","Shaanxi Province","Yulin",2020-01-30
"246","China","Shandong Province","Binzhou",2020-01-25
"247","China","Shandong Province","Dezhou",2020-01-25
"248","China","Shandong Province","Heze",2020-01-25
"249","China","Shandong Province","Jinan",2020-01-24
"250","China","Shandong Province","Jining",2020-01-24
"251","China","Shandong Province","Liaocheng",2020-01-25
"252","China","Shandong Province","Linyi",2020-01-23
"253","China","Shandong Province","Qingdao",2020-01-21
"254","China","Shandong Province","Rizhao",2020-01-24
"255","China","Shandong Province","Tai'an",2020-01-28
"256","China","Shandong Province","Weifang",2020-01-24
"257","China","Shandong Province","Weihai",2020-01-22
"258","China","Shandong Province","Yantai",2020-01-24
"259","China","Shandong Province","Zaozhuang",2020-01-27
"260","China","Shandong Province","Zibo",2020-01-26
"261","China","Shanghai Municipality","Shanghai Municipality",2020-01-19
"262","China","Shanxi Province","Changzhi",2020-01-25
"263","China","Shanxi Province","Datong",2020-01-25
"264","China","Shanxi Province","Jincheng",2020-02-01
"265","China","Shanxi Province","Jinzhong",2020-01-26
"266","China","Shanxi Province","Linfen",2020-01-27
"267","China","Shanxi Province","Lüliang",2020-01-27
"268","China","Shanxi Province","Shuozhou",2020-01-27
"269","China","Shanxi Province","Taiyuan",2020-01-22
"270","China","Shanxi Province","Xinzhou",2020-02-01
"271","China","Shanxi Province","Yangquan",2020-01-26
"272","China","Shanxi Province","Yuncheng",2020-01-25
"273","China","Sichuan Province","Bazhong",2020-01-29
"274","China","Sichuan Province","Chengdu",2020-01-21
"275","China","Sichuan Province","Dazhou",2020-01-23
"276","China","Sichuan Province","Deyang",2020-01-24
"277","China","Sichuan Province","Garzê Tibetan Autonomous Prefecture",2020-01-26
"278","China","Sichuan Province","Guang'an",2020-01-22
"279","China","Sichuan Province","Guangyuan",2020-01-29
"280","China","Sichuan Province","Leshan",2020-01-26
"281","China","Sichuan Province","Liangshan Yi Autonomous Prefecture",2020-01-27
"282","China","Sichuan Province","Luzhou",2020-01-25
"283","China","Sichuan Province","Meishan",2020-01-26
"284","China","Sichuan Province","Mianyang",2020-01-22
"285","China","Sichuan Province","Nanchong",2020-01-26
"286","China","Sichuan Province","Neijiang",2020-01-25
"287","China","Sichuan Province","Ngawa Tibetan and Qiang Autonomous Prefecture",2020-01-31
"288","China","Sichuan Province","Panzhihua",2020-01-31
"289","China","Sichuan Province","Suining",2020-01-24
"290","China","Sichuan Province","Ya'an",2020-01-24
"291","China","Sichuan Province","Yibin",2020-01-27
"292","China","Sichuan Province","Zigong",2020-01-25
"293","China","Sichuan Province","Ziyang",2020-01-27
"294","China","Taiwan Province","Taiwan province",2020-01-21
"295","China","Tianjin Municipality","Tianjin Municipality",2020-01-21
"296","China","Tibet Autonomous Region","Lhasa",2020-02-04
"297","China","Xinjiang Uygur Autonomous Region","Aksu Prefecture",2020-01-31
"298","China","Xinjiang Uygur Autonomous Region","Bayingolin Mongolia Autonomous Prefecture",2020-02-06
"299","China","Xinjiang Uygur Autonomous Region","Changji Hui Autonomous Prefecture",2020-02-04
"300","China","Xinjiang Uygur Autonomous Region","Ili Kazak Autonomous Prefecture",2020-01-26
"301","China","Xinjiang Uygur Autonomous Region","Karamay",2020-01-28
"302","China","Xinjiang Uygur Autonomous Region","Shihezi",2020-01-29
"303","China","Xinjiang Uygur Autonomous Region","Tarbaĝatay Prefecture",2020-02-01
"304","China","Xinjiang Uygur Autonomous Region","Turpan",2020-01-28
"305","China","Xinjiang Uygur Autonomous Region","Ürümqi",2020-01-25
"306","China","Yunnan Province","Baoshan",2020-01-26
"307","China","Yunnan Province","Chuxiong Yi Autonomous Prefecture",2020-02-11
"308","China","Yunnan Province","Dali Bai Autonomous Prefecture",2020-02-11
"309","China","Yunnan Province","Dehong Dai and Jingpo Autonomous Prefecture",2020-02-11
"310","China","Yunnan Province","Honghe Hani and Yi Autonomous Prefecture",2020-01-25
"311","China","Yunnan Province","Kunming",2020-01-21
"312","China","Yunnan Province","Lijiang",2020-01-24
"313","China","Yunnan Province","Lincang",2020-02-01
"314","China","Yunnan Province","Pu'er",2020-01-29
"315","China","Yunnan Province","Qujing",2020-01-25
"316","China","Yunnan Province","Wenshan Zhuang and Miao Autonomous Prefecture",2020-02-11
"317","China","Yunnan Province","Xishuangbanna Dai Autonomous Prefecture",2020-01-24
"318","China","Yunnan Province","Yuxi",2020-01-25
"319","China","Yunnan Province","Zhaotong",2020-01-26
"320","China","Zhejiang Province","Hangzhou",2020-01-22
"321","China","Zhejiang Province","Huzhou",2020-01-26
"322","China","Zhejiang Province","Jiaxing",2020-01-24
"323","China","Zhejiang Province","Jinhua",2020-01-23
"324","China","Zhejiang Province","Lishui",2020-01-26
"325","China","Zhejiang Province","Ningbo",2020-01-21
"326","China","Zhejiang Province","Quzhou",2020-01-23
"327","China","Zhejiang Province","Shaoxing",2020-01-23
"328","China","Zhejiang Province","Taizhou",2020-01-22
"329","China","Zhejiang Province","Wenzhou",2020-01-21
"330","China","Zhejiang Province","Zhoushan",2020-01-22
"331","China","Gansu province","Area to be identified",NA
"332","China","Gansu province","Jiayuguan",NA
"333","China","Gansu province","Jiuquan",NA
"334","China","Gansu province","Wuwei",NA
"335","China","Guangdong Province","Area to be identified",NA
"336","China","Guangdong Province","Yunfu",NA
"337","China","Guangxi Zhuang Autonomous Region","Area to be identified",NA
"338","China","Guangxi Zhuang Autonomous Region","Chongzuo",NA
"339","China","Hainan Province","Baisha Li Autonomous County",NA
"340","China","Hainan Province","Tunchang County",NA
"341","China","Hainan Province","Wuzhishan City",NA
"342","China","Henan Province","Area to be identified",NA
"343","China","Inner Mongolia Autonomous Region","Alxa League",NA
"344","China","Jilin Province","Baishan",NA
"345","China","Qinghai Province","Golog Tibetan Autonomous Prefecture",NA
"346","China","Qinghai Province","Haidong",NA
"347","China","Qinghai Province","Hainan Tibetan Autonomous Prefecture",NA
"348","China","Qinghai Province","Haixi Mongolian Autonomous Prefecture",NA
"349","China","Qinghai Province","Huangnan Tibetan Autonomous Prefecture",NA
"350","China","Qinghai Province","Yushu Tibetan Autonomous Prefecture",NA
"351","China","Shandong Province","Dongying",NA
"352","China","Shandong Province","Laiwu",NA
"353","China","Tibet Autonomous Region","Lhoka",NA
"354","China","Tibet Autonomous Region","Nagqu Prefecture",NA
"355","China","Tibet Autonomous Region","Ngari Prefecture",NA
"356","China","Tibet Autonomous Region","Nyingchi",NA
"357","China","Tibet Autonomous Region","Qamdo",NA
"358","China","Tibet Autonomous Region","Xigazê",NA
"359","China","Xinjiang Uygur Autonomous Region","Altay Prefecture",NA
"360","China","Xinjiang Uygur Autonomous Region","Bortala Mongol Autonomous Prefecture",NA
"361","China","Xinjiang Uygur Autonomous Region","Hami",NA
"362","China","Xinjiang Uygur Autonomous Region","Hotan Prefecture",NA
"363","China","Xinjiang Uygur Autonomous Region","Kashi Prefecture",NA
"364","China","Xinjiang Uygur Autonomous Region","Kizilsu Kirgiz Autonomous Prefecture",NA
"365","China","Yunnan Province","Dêqên Tibetan Autonomous Prefecture",NA
"366","China","Yunnan Province","Nujiang Lisu Autonomous Prefecture",NA
