"","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE","source_type","source_url","who_by","access_date","notes"
"1","China","Anhui Province","Anqing",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"2","China","Anhui Province","Bengbu",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"3","China","Anhui Province","Bozhou",1,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"4","China","Anhui Province","Chizhou",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"5","China","Anhui Province","Chuzhou",1,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"6","China","Anhui Province","Fuyang",1,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"7","China","Anhui Province","Hefei",5,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"8","China","Anhui Province","Huaibei",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"9","China","Anhui Province","Huainan",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"10","China","Anhui Province","Huangshan",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"11","China","Anhui Province","Lu'an",1,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"12","China","Anhui Province","Ma'anshan",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"13","China","Anhui Province","Suzhou",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"14","China","Anhui Province","Tongling",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"15","China","Anhui Province","Wuhu",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"16","China","Anhui Province","Xuancheng",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"17","China","Fujian Province","Fuzhou",2,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"18","China","Fujian Province","Longyan",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"19","China","Fujian Province","Nanping",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"20","China","Fujian Province","Ningde",1,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"21","China","Fujian Province","Putian",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"22","China","Fujian Province","Quanzhou",1,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"23","China","Fujian Province","Sanming",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"24","China","Fujian Province","Xiamen",1,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"25","China","Fujian Province","Zhangzhou",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
"26","China","Gansu province","Area to be identified",0,0,0,0,0,"2020-01-23","DXY","see dxy-html-archive folder","ARW","22MAR2020",""
