Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,552,12
Hispanic/Latino,American Indian/Alaska Native,60,0
Hispanic/Latino,Asian,48,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,65,0
Hispanic/Latino,Other,9733,109
Hispanic/Latino,Unknown,4194,2
Hispanic/Latino,White,12964,135
Non-Hispanic/Latino,African-American/Black,46158,1842
Non-Hispanic/Latino,American Indian/Alaska Native,91,4
Non-Hispanic/Latino,Asian,2008,69
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,108,7
Non-Hispanic/Latino,Other,2070,15
Non-Hispanic/Latino,Unknown,1569,11
Non-Hispanic/Latino,White,42556,1925
Unknown,African-American/Black,8571,19
Unknown,American Indian/Alaska Native,43,0
Unknown,Asian,677,2
Unknown,Native Hawaiian/Pacific Islander,98,0
Unknown,Other,3656,8
Unknown,Unknown,75351,51
Unknown,White,8453,18
