"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","1025856","13329","54257"
"Male","Georgia","853601","15349","51084"
"Unknown","Georgia","15196","6","338"
"Female","Appling","1905","50","133"
"Male","Appling","1587","54","127"
"Unknown","Appling","14","0","0"
"Female","Atkinson","821","14","98"
"Male","Atkinson","671","20","98"
"Unknown","Atkinson","6","0","0"
"Female","Bacon","1200","23","96"
"Male","Bacon","1312","33","100"
"Unknown","Bacon","6","0","0"
"Female","Baker","168","5","22"
"Male","Baker","141","8","23"
"Unknown","Baker","2","0","0"
"Female","Baldwin","4063","63","181"
"Male","Baldwin","3163","120","241"
"Unknown","Baldwin","27","0","0"
"Female","Banks","1787","35","169"
"Male","Banks","1496","37","145"
"Unknown","Banks","16","0","1"
"Female","Barrow","10471","105","516"
"Male","Barrow","8766","118","448"
"Unknown","Barrow","71","0","1"
"Female","Bartow","11359","169","587"
"Male","Bartow","9740","202","601"
"Unknown","Bartow","113","0","0"
"Female","Ben Hill","1234","31","99"
"Male","Ben Hill","914","41","86"
"Unknown","Ben Hill","5","0","0"
"Female","Berrien","1098","28","58"
"Male","Berrien","887","24","48"
"Unknown","Berrien","6","0","0"
"Female","Bibb","16202","324","1438"
"Male","Bibb","11972","308","1212"
"Unknown","Bibb","356","1","5"
"Female","Bleckley","836","23","38"
"Male","Bleckley","602","18","31"
"Unknown","Bleckley","11","0","0"
"Female","Brantley","1337","37","93"
"Male","Brantley","1111","45","85"
"Unknown","Brantley","7","0","0"
"Female","Brooks","1039","23","82"
"Male","Brooks","807","37","67"
"Unknown","Brooks","7","0","0"
"Female","Bryan","3490","26","171"
"Male","Bryan","3199","41","202"
"Unknown","Bryan","7","0","0"
"Female","Bulloch","5888","59","193"
"Male","Bulloch","4580","45","159"
"Unknown","Bulloch","34","0","0"
"Female","Burke","1621","26","114"
"Male","Burke","1309","29","110"
"Unknown","Burke","12","0","1"
"Female","Butts","2299","58","111"
"Male","Butts","2339","70","136"
"Unknown","Butts","34","0","0"
"Female","Calhoun","397","14","45"
"Male","Calhoun","559","7","54"
"Unknown","Calhoun","15","0","1"
"Female","Camden","4533","44","126"
"Male","Camden","3819","46","111"
"Unknown","Camden","52","0","0"
"Female","Candler","709","17","54"
"Male","Candler","596","34","38"
"Unknown","Candler","1","0","0"
"Female","Carroll","7623","78","204"
"Male","Carroll","6574","92","219"
"Unknown","Carroll","65","0","7"
"Female","Catoosa","6444","62","193"
"Male","Catoosa","5619","55","188"
"Unknown","Catoosa","112","0","3"
"Female","Charlton","860","18","61"
"Male","Charlton","1270","26","53"
"Unknown","Charlton","20","0","0"
"Female","Chatham","28536","333","1600"
"Male","Chatham","23488","397","1488"
"Unknown","Chatham","143","0","5"
"Female","Chattahoochee","580","3","20"
"Male","Chattahoochee","5293","13","29"
"Unknown","Chattahoochee","22","0","0"
"Female","Chattooga","2831","52","145"
"Male","Chattooga","2348","56","161"
"Unknown","Chattooga","18","0","0"
"Female","Cherokee","23923","221","1061"
"Male","Cherokee","20636","295","1218"
"Unknown","Cherokee","184","0","1"
"Female","Clarke","14618","83","576"
"Male","Clarke","11195","110","516"
"Unknown","Clarke","57","0","1"
"Female","Clay","203","1","8"
"Male","Clay","148","3","6"
"Unknown","Clay","3","0","0"
"Female","Clayton","32587","407","1626"
"Male","Clayton","23931","397","1361"
"Unknown","Clayton","300","0","6"
"Female","Clinch","727","15","49"
"Male","Clinch","648","20","45"
"Unknown","Clinch","2","0","0"
"Female","Cobb","72064","671","2297"
"Male","Cobb","59597","821","2342"
"Unknown","Cobb","658","0","5"
"Female","Coffee","4567","106","552"
"Male","Coffee","3683","93","435"
"Unknown","Coffee","32","0","0"
"Female","Colquitt","4153","66","191"
"Male","Colquitt","3638","81","192"
"Unknown","Colquitt","20","0","0"
"Female","Columbia","10604","115","400"
"Male","Columbia","9254","168","395"
"Unknown","Columbia","49","0","1"
"Female","Cook","1155","25","75"
"Male","Cook","887","29","64"
"Unknown","Cook","2","0","0"
"Female","Coweta","11024","170","666"
"Male","Coweta","9484","224","609"
"Unknown","Coweta","90","0","5"
"Female","Crawford","632","19","56"
"Male","Crawford","537","23","60"
"Unknown","Crawford","8","0","0"
"Female","Crisp","1413","34","118"
"Male","Crisp","1058","34","78"
"Unknown","Crisp","62","0","0"
"Female","Dade","1273","14","48"
"Male","Dade","1167","11","48"
"Unknown","Dade","21","0","0"
"Female","Dawson","3256","37","175"
"Male","Dawson","2758","54","204"
"Unknown","Dawson","34","0","0"
"Female","DeKalb","69329","664","4140"
"Male","DeKalb","54570","712","3570"
"Unknown","DeKalb","1010","1","18"
"Female","Decatur","2721","38","135"
"Male","Decatur","2061","47","112"
"Unknown","Decatur","42","0","0"
"Female","Dodge","1060","31","68"
"Male","Dodge","996","35","62"
"Unknown","Dodge","39","0","0"
"Female","Dooly","783","17","56"
"Male","Dooly","719","22","53"
"Unknown","Dooly","14","0","0"
"Female","Dougherty","7880","220","875"
"Male","Dougherty","5844","199","656"
"Unknown","Dougherty","219","0","1"
"Female","Douglas","15480","141","661"
"Male","Douglas","12288","153","571"
"Unknown","Douglas","98","0","2"
"Female","Early","1225","30","75"
"Male","Early","833","24","39"
"Unknown","Early","17","0","0"
"Female","Echols","191","1","4"
"Male","Echols","268","4","12"
"Unknown","Echols","1","0","0"
"Female","Effingham","5426","66","291"
"Male","Effingham","4672","91","282"
"Unknown","Effingham","29","0","0"
"Female","Elbert","1507","38","144"
"Male","Elbert","1103","40","98"
"Unknown","Elbert","13","0","1"
"Female","Emanuel","1871","45","123"
"Male","Emanuel","1495","33","75"
"Unknown","Emanuel","20","0","0"
"Female","Evans","824","18","71"
"Male","Evans","649","20","46"
"Unknown","Evans","7","0","0"
"Female","Fannin","2207","41","143"
"Male","Fannin","1885","70","171"
"Unknown","Fannin","14","0","0"
"Female","Fayette","8695","115","430"
"Male","Fayette","7643","142","469"
"Unknown","Fayette","81","0","1"
"Female","Floyd","12362","154","732"
"Male","Floyd","10201","216","743"
"Unknown","Floyd","114","0","2"
"Female","Forsyth","21730","134","656"
"Male","Forsyth","19701","190","784"
"Unknown","Forsyth","1081","0","0"
"Female","Franklin","2391","27","136"
