"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths"
"Appling","1920","US-13001","13","1","18561","189","67","10344.27","360.97","70.04","13","395","5"
"Atkinson","804","US-13003","13","3","8330","125","20","9651.86","240.1","60.02","5","243","3"
"Bacon","1294","US-13005","13","5","11404","91","29","11346.9","254.3","96.46","11","364","11"
"Baker","164","US-13007","13","7","3116","35","10","5263.16","320.92","0","0","67","0"
"Baldwin","3887","US-13009","13","9","44428","328","117","8748.99","263.35","31.51","14","690","17"
"Banks","1664","US-13011","13","11","19982","200","36","8327.49","180.16","35.03","7","182","2"
"Barrow","8965","US-13013","13","13","86383","627","140","10378.2","162.07","47.46","41","1241","4"
"Bartow","11397","US-13015","13","15","110771","844","219","10288.79","197.71","67.71","75","3499","17"
"Ben Hill","1504","US-13017","13","17","16645","160","62","9035.75","372.48","18.02","3","605","20"
"Berrien","1079","US-13019","13","19","19276","75","33","5597.63","171.2","25.94","5","804","13"
"Bibb","13547","US-13021","13","21","152150","1799","418","8903.71","274.73","48.64","74","2555","43"
"Bleckley","809","US-13023","13","23","12838","50","33","6301.6","257.05","23.37","3","671","17"
"Brantley","963","US-13025","13","25","19202","85","35","5015.1","182.27","20.83","4","696","5"
"Brooks","961","US-13027","13","27","15727","91","36","6110.51","228.91","19.08","3","457","12"
"Bryan","2836","US-13029","13","29","39137","186","38","7246.34","97.09","38.33","15","915","3"
"Bulloch","5220","US-13031","13","31","79467","224","62","6568.76","78.02","46.56","37","1576","59"
"Burke","1811","US-13033","13","33","22342","160","40","8105.81","179.04","26.86","6","804","24"
"Butts","2378","US-13035","13","35","25174","139","83","9446.25","329.71","43.7","11","817","7"
"Calhoun","449","US-13037","13","37","6317","75","16","7107.8","253.28","47.49","3","136","0"
"Camden","3297","US-13039","13","39","53924","143","32","6114.16","59.34","48.22","26","762","6"
"Candler","789","US-13043","13","43","10837","63","38","7280.61","350.65","36.91","4","199","30"
"Carroll","7521","US-13045","13","45","120119","318","132","6261.29","109.89","24.14","29","4014","113"
"Catoosa","5885","US-13047","13","47","68771","264","66","8557.39","95.97","94.52","65","723","7"
"Charlton","1264","US-13049","13","49","13251","68","28","9538.9","211.3","166.03","22","309","8"
"Chatham","20628","US-13051","13","51","292176","1665","434","7060.13","148.54","37.65","110","2980","28"
"Chattahoochee","3745","US-13053","13","53","10749","33","13","34840.45","120.94","1162.9","125","663","4"
"Chattooga","2261","US-13055","13","55","24766","185","67","9129.45","270.53","36.34","9","613","9"
"Cherokee","22803","US-13057","13","57","266617","1371","318","8552.72","119.27","37.51","100","8686","16"
"Clarke","12923","US-13059","13","59","129779","505","142","9957.7","109.42","21.58","28","2256","7"
"Clay","186","US-13061","13","61","2855","10","3","6514.89","105.08","0","0","51","0"
"Clayton","24534","US-13063","13","63","304838","1442","490","8048.21","160.74","40.35","123","2839","28"
"Clinch","741","US-13065","13","65","6656","68","25","11132.81","375.6","135.22","9","243","2"
"Cobb","61975","US-13067","13","67","790588","3407","1003","7839.1","126.87","33.39","264","17978","96"
"Coffee","4257","US-13069","13","69","43042","656","143","9890.34","332.23","30.2","13","1069","33"
"Colquitt","3653","US-13071","13","71","45393","262","85","8047.5","187.25","116.76","53","1157","43"
"Columbia","11204","US-13073","13","73","158631","488","166","7062.93","104.65","15.13","24","5884","45"
"Cook","1176","US-13075","13","75","17437","107","40","6744.28","229.4","28.67","5","679","4"
"Coweta","8873","US-13077","13","77","152001","398","214","5837.46","140.79","21.71","33","5475","14"
"Crawford","521","US-13079","13","79","12228","72","19","4260.71","155.38","8.18","1","139","2"
"Crisp","1460","US-13081","13","81","22289","168","58","6550.32","260.22","13.46","3","644","31"
"Dade","1244","US-13083","13","83","16162","62","13","7697.07","80.44","43.31","7","220","1"
"Dawson","2763","US-13085","13","85","27021","250","48","10225.38","177.64","22.2","6","335","2"
"DeKalb","59044","US-13089","13","89","793154","4835","983","7444.2","123.94","32.4","257","8015","86"
"Decatur","2166","US-13087","13","87","26322","150","55","8228.86","208.95","19","5","801","16"
"Dodge","1092","US-13091","13","91","20385","109","58","5356.88","284.52","0","0","1022","46"
"Dooly","802","US-13093","13","93","13400","92","30","5985.07","223.88","7.46","1","283","14"
"Dougherty","5668","US-13095","13","95","89905","1059","287","6304.43","319.23","15.57","14","2024","24"
"Douglas","12284","US-13097","13","97","151906","906","185","8086.58","121.79","27.65","42","3257","45"
"Early","1041","US-13099","13","99","10146","77","42","10260.2","413.96","98.56","10","153","5"
"Echols","363","US-13101","13","101","3969","13","4","9145.88","100.78","25.2","1","115","5"
"Effingham","3900","US-13103","13","103","64026","261","69","6091.28","107.77","46.86","30","790","3"
"Elbert","1537","US-13105","13","105","18945","130","59","8112.96","311.43","31.67","6","759","15"
